disease_name_ab,study,f1,auc,cms,AUC ROC,Average Precision,F1 value,aupr value,acc value,mcc value
CAD,PRJDB6472,0.3333333333333333,0.6845238095238095,"[[26  2]
 [24  0]]",0.5253,0.5336,0.4132,0.5271,0.5,0.1225
CAD,PRJDB7456,0.3225806451612903,0.8505050505050505,"[[30  0]
 [33  0]]",0.7298,0.7344,0.6298,0.7259,0.6508,0.3116
OB,PRJEB11419,0.4094150530320742,0.6781540428461375,"[[358   3]
 [315  23]]",0.514,0.5065,0.3253,0.5042,0.4821,
OB,PRJEB28687,0.3589717835398832,0.6768761601697163,"[[ 99 320]
 [  6  84]]",0.6451,0.3331,0.4544,0.3304,0.4754,0.1554
IBS,PRJNA268708,0.2299465240641711,0.6271586460971679,"[[ 86   0]
 [202   0]]",0.6285,0.7987,0.5212,0.7991,0.7188,0.1907
IBS,PRJEB11419,0.3540054151470375,0.5419150720868307,"[[ 19 440]
 [  7 380]]",0.5488,0.5078,0.3182,0.5067,0.4586,0.0149
SZ,PRJNA896324,0.3146032726150046,0.7691387559808612,"[[21  1]
 [36  2]]",0.6513,0.7544,0.6429,0.7472,0.7,0.3162
SZ,PRJNA807473,0.3060344827586206,0.8655712050078247,"[[71  0]
 [90  0]]",0.6658,0.6959,0.6415,0.6916,0.6708,0.3255
SZ,PRJCA000673,0.6903798256537983,0.7712264150943396,"[[27 26]
 [ 8 56]]",0.8022,0.8112,0.6771,0.8089,0.7094,0.4389
SZ,PRJNA880407,0.6281780725555222,0.692,"[[28 22]
 [15 35]]",0.7826,0.8244,0.6637,0.8236,0.68,0.4009
BD,PRJNA1068750,0.3432835820895522,0.717391304347826,"[[46  0]
 [42  0]]",0.7772,0.7741,0.7386,0.7744,0.7386,0.4789
BD,PRJEB11419,0.3333333333333333,0.7422222222222222,"[[15  0]
 [15  0]]",0.6889,0.714,0.6528,0.7024,0.6667,0.3637
BD,PRJEB23500,0.2831325301204819,0.7047872340425532,"[[47  0]
 [72  0]]",0.6262,0.7284,0.4385,0.7284,0.6218,0.1355
IBD,qiita_2538,0.3367633302151543,0.7326329194524037,"[[360   0]
 [349   0]]",0.5112,0.5865,0.452,0.5871,0.543,0.1777
IBD,PRJEB13679,0.3950930053324445,0.6669575989639056,"[[285  10]
 [508  94]]",0.6849,0.8061,0.5393,0.8048,0.7001,0.2211
IBD,PRJNA317429,0.6110056925996206,0.7471124620060791,"[[36 11]
 [19 16]]",0.7708,0.6929,0.6812,0.6859,0.6829,0.4321
