otu,mean_rank_diff,case_minus_control,enrichment
FJ681503.1.1439,1.0,0.5283359420897596,0.43795844562865505
KC632239.1.1415,2.0,-0.5229040256992744,0.29570299454359045
KC160493.1.1379,3.0,-0.501569178211376,0.6726022133508398
ET777577.1.1211,4.0,0.4695294576543154,0.42335838382906
FJ558124.1.1310,5.0,-0.4470775716694976,0.2244819874627435
MG755769.1.1243,6.0,0.4189853536028472,0.20860874145626992
DQ366691.1.1269,7.0,-0.4053008338751246,0.20350548198793175
ET748003.1.1201,8.0,0.4044020221056724,0.269188442407839
JQ449983.1.1321,9.0,0.3984344698882841,0.5150337159364519
JF058250.1.1351,10.0,0.393336082597908,0.32767933172220215
FJ558238.1.1275,11.0,0.3615584464228744,0.18001644167889946
ET462209.1.1302,12.0,0.3554697107576694,0.2881093294386944
FJ365251.1.1334,13.0,0.32453032498090406,0.4105452079602708
ET767275.1.1355,14.0,0.31182981742923,0.6213178905754946
JQ460078.1.1253,15.0,-0.3104869453798397,0.6572986980007712
JQ467954.1.1230,16.0,0.297614029073098,0.18744760591407575
ET458691.1.1268,17.0,0.2875327029104475,0.3616013172299224
GFIM01005958.9.1236,18.0,-0.2577601455285011,0.2068752110730363
ET467714.1.1256,19.0,0.25635666406966895,0.22272366094838297
HQ809011.1.1451,20.0,-0.2535329854788167,0.12730137245560838
KX881777.1.1230,21.0,-0.25125504731400594,0.22492573192881107
KF100173.1.1349,22.0,-0.25099186490763353,0.12602545115615355
DQ809763.1.1227,23.0,0.2499935310189619,0.177152226679856
FMIW01000005.418310.419846,24.0,-0.24970600913801527,0.15383004116151458
MH685147.1.1453,25.0,0.2467408460828028,0.14170264560917273
FJ366838.1.1357,26.0,-0.24524717635953527,0.22044602640970062
ET768072.1.1354,27.0,-0.24242322601271848,0.6491893329142464
ET772516.1.1285,28.0,0.23387798525184061,0.34861351451783723
HM308748.1.1356,29.0,0.23356699800871117,0.3368958761363697
JX048356.1.1310,30.0,-0.22973013897117855,0.44744298616198247
