otu,mean_rank_diff,case_minus_control,enrichment
KF722436.1.1288,1.0,-1.6916510946044219,4.650134933418571
EF519868.1.1382,2.0,1.3788846535296295,1.134256044814516
FJ558430.1.1233,3.0,0.9332892444002578,1.2621811564854057
HQ754370.1.1215,4.0,0.4495025957805051,0.49116886190230125
HQ704868.1.1255,5.0,-0.4236614941146781,0.7948303314648607
ET767580.1.1355,6.0,-0.3767557976269533,0.7739869449621044
KF067104.1.1358,7.0,0.3285132821331585,0.28171493010277976
JQ455437.1.1278,8.0,0.3137830461816195,0.5525146556734869
JQ460078.1.1253,9.0,-0.3102917491944588,1.1066107969746006
DQ809291.1.1378,10.0,-0.3051575283689741,0.23462951886918673
KF101789.1.1361,11.0,-0.30507228710996037,0.1541301618270525
GT413690.1.1212,12.0,0.3003951927241697,0.2189296230223332
DQ804810.1.1224,13.0,-0.29880796349182526,0.4269258257229546
DQ803256.1.1283,14.0,-0.2949158597337351,0.4934006368242429
ET766105.1.1352,15.0,-0.28047163598267044,0.4160249312357228
MG245801.1.1200,16.0,0.27341547686191914,0.1632331205145786
ET469562.1.1265,17.0,-0.2634074259411069,0.7134610115013196
KP214597.3.1209,18.0,-0.2630239397674544,0.7258669609308621
MNCJ01001253.264179.265409,19.0,-0.26250571702322406,0.31671941841011914
FJ558427.1.1215,20.0,0.24123014705386325,0.36687510342813423
MH813973.1.1314,21.0,0.23530669404137344,0.20397830529260652
EF096145.1.1253,22.0,0.20752023363381822,0.7431901654840907
ET768072.1.1354,23.0,0.20454195987113727,0.41691330500726503
JF122646.1.1384,24.0,0.20180746117848572,0.13898846049954078
ET451487.1.1331,25.0,-0.1984693926931037,0.33827645227281766
ET777577.1.1211,26.0,-0.19679627601556682,0.5305848187373199
MG675050.1.1274,27.0,0.1957972570504353,0.11689388480623003
ET767216.1.1327,28.0,-0.19484268948911865,0.10057621218895554
DQ794427.1.1242,29.0,-0.1921460194712426,0.35669090572651724
AF129868.1.1462,30.0,-0.1880599479720039,0.17436021307004912
