otu,mean_rank_diff,case_minus_control,enrichment
DQ793705.1.1389,1.0,0.36368714278840447,0.48409359622044135
ET763235.1.1354,2.0,0.24115667151646902,0.7268059517377758
MF034070.1.1200,3.0,0.23421599233385437,0.20744349410068016
JQ460118.1.1339,4.0,-0.2178544971378233,0.19421603997926104
DQ795266.1.1352,5.0,0.2175564458272056,0.26991271889769364
GQ491160.1.1334,6.0,0.19554552966431582,0.3872202656837278
ET765930.1.1352,7.0,-0.1922703171207464,0.27445079554219076
JQ467788.1.1220,8.0,0.1664559523957232,0.3421357032871666
KF096013.1.1247,9.0,-0.16524749296569044,0.2894706076949147
ET772388.1.1232,10.0,-0.14983994011116636,0.5154772867124341
ET762155.1.1287,11.0,-0.14895949423035793,0.6900695735249818
ET774350.1.1258,12.0,-0.1481529208591903,1.1198713120407144
KF098874.1.1361,13.0,-0.14708977599723355,0.18822063223708776
JQ467834.1.1286,14.0,0.14424763528910456,0.30026186131274374
DQ804982.1.1277,15.0,0.13818123727212026,0.23672812668487248
KC707551.1.1522,16.0,0.13674752080327884,0.2328128296615976
ET771491.1.1290,17.0,-0.13551300981547787,0.6323281932543583
KF101648.1.1374,18.0,0.12887251659233373,0.15619100050925927
DQ174182.1.1339,19.0,-0.1267513979739154,0.22157833555304673
GQ493144.1.1354,20.0,0.12573392656879365,0.2819903433658733
HQ802530.1.1345,21.0,0.11942502371603737,0.15823758887767955
ET763248.1.1299,22.0,-0.11834767721118775,0.21264425632990558
LT576391.1.1479,23.0,0.11775071113656235,0.11934597668297732
GQ047146.1.1361,24.0,-0.11692455445920308,0.3626050284830462
AM277638.1.1452,25.0,0.11659149986423528,0.12763741278362065
DQ803545.1.1390,26.0,0.11422711979672369,0.17210889315922553
EF400498.1.1478,27.0,0.11288229149486878,0.42191223156026225
ET761920.1.1356,28.0,0.11107475668907452,0.7779893688371593
ET467714.1.1256,29.0,-0.11000613118201186,0.7694070721454618
EF111064.1.1259,30.0,0.10921479369459075,0.06023821262589102
