otu,mean_rank_diff,case_minus_control,enrichment
JQ522962.1.1258,1.0,-1.9251494760873014,3.5534246375380825
MH337931.1.1279,2.0,0.6323362952013127,0.5881628871760977
JX048356.1.1310,3.0,0.5110247838548803,0.386269536677299
AY212767.1.1222,4.0,0.48425170305101606,0.6335302875191712
EF519868.1.1382,5.0,0.4649147023005628,0.3061975984940262
FJ362731.1.1336,6.0,-0.39798571502818747,1.0582896218681863
JN004064.1.1431,7.0,0.3884183808573283,0.2655967076131105
ET762257.1.1356,8.0,-0.3756035194116675,0.3063514876876482
FJ366220.1.1396,9.0,-0.3383957379089619,0.11552482895381479
ET468499.1.1202,10.0,-0.33638932573660274,0.39734728191919877
ET763235.1.1354,11.0,-0.3356816036705553,0.46251449661624033
DQ794349.1.1291,12.0,0.33478486769657945,0.35306080907741155
ET381963.1.1486,13.0,-0.3314165057830918,0.5776539095456519
ET764936.1.1278,14.0,-0.32101410229857635,0.5466554831141297
ET705715.1.1218,15.0,-0.31393028863969924,0.5462835573219053
HQ812411.1.1431,16.0,-0.3129281852351725,0.14632093895328185
ET771897.1.1262,17.0,-0.3018564243394961,0.4588241228637322
JX096007.1.1204,18.0,0.2995922852751725,0.19731455646521937
ET765395.1.1357,19.0,-0.2977382178492678,0.4513282451347456
ET469562.1.1265,20.0,0.2977090172171228,0.24959947242918726
ET765003.1.1353,21.0,-0.2958306363127011,0.3471417305900269
HQ766049.1.1250,22.0,0.29094872319355924,0.35376845718215655
DQ824247.1.1290,23.0,0.2898943470701963,0.3076932809396932
ET472436.1.1216,24.0,0.2874224842860314,0.3693438147295602
ET774195.1.1268,25.0,-0.28654794213992235,0.44625019572292396
DQ800088.1.1279,26.0,0.2865098678502964,0.2454485051269322
DQ803256.1.1283,27.0,0.28386983676493693,0.36024750811525735
ET469318.1.1268,28.0,0.27598780366893927,0.3308114120417214
ET196777.1.1200,29.0,0.2704143871039409,0.326474815735807
ET768072.1.1354,30.0,0.26573634484253755,0.2171245183927537
