otu,mean_rank_diff,case_minus_control,enrichment
FJ372109.1.1318,1.0,-0.36256090784633566,0.7117747943554997
FJ367022.1.1341,2.0,-0.3331143113658531,0.6735472275536531
D89330.1.1512,3.0,0.3289687928545276,0.1929803554069704
JN004064.1.1431,4.0,0.2904746291340884,0.35641057014824845
FJ368827.1.1353,5.0,-0.2206733084415301,0.25837917023824675
DQ807821.1.1392,6.0,-0.19879792149673486,0.17560132466498307
ET771897.1.1262,7.0,-0.18013633115153022,0.4545816666476387
JX096007.1.1204,8.0,0.18000255613974753,0.22304814180448454
ET765003.1.1353,9.0,-0.17597776573922508,0.3604390181000574
JF110835.1.1384,10.0,-0.15738651526004677,0.1089905665730456
MH813973.1.1314,11.0,0.15098589229633197,0.20501950839356275
AB733112.1.1328,12.0,0.14684300035142125,0.15014429325976902
EF519868.1.1382,13.0,0.14667967743240717,0.24080799448716686
ET767275.1.1355,14.0,-0.14097433845119234,0.38558651123334203
ET764805.1.1340,15.0,-0.14012626360902106,0.2835661891630057
DQ325765.1.1359,16.0,-0.13613528047917242,0.19588501023421223
ET774350.1.1258,17.0,-0.12410254008075167,0.3535670066543413
AY995251.1.1356,18.0,0.11697006529234823,0.09404734607949126
ET776154.1.1278,19.0,-0.11556851083265696,0.3216259217634247
KJ160210.1.1379,20.0,0.11340355420741288,0.08979961680878444
FJ364950.1.1345,21.0,0.11320869270029484,0.1236934355376884
ET771491.1.1290,22.0,0.11132509311817801,0.2586740026331174
MG245801.1.1200,23.0,0.11058076344555999,0.12681268565056933
ET765909.1.1351,24.0,-0.10923286873138313,0.2774094634606362
ET766313.1.1358,25.0,-0.10719681510415996,0.17717648537547825
ET764464.1.1350,26.0,-0.10583047396595655,0.1601523423858696
DQ805248.1.1377,27.0,-0.10564448185151047,0.16797506854067415
ET766462.1.1298,28.0,-0.1028002960729547,0.14178349620686817
DQ441256.1.1313,29.0,0.10029065896677417,0.21224285328974302
ET767496.1.1347,30.0,-0.0993250806490672,0.30277770071572324
