otu,mean_rank_diff,case_minus_control,enrichment
MH447042.1.1230,1.0,-1.2691865852553672,0.5679465084704383
KF722436.1.1288,2.0,1.1292154731089354,0.9667567885411051
KF084610.1.1355,3.0,0.9844866394331802,0.834863226770078
JN004064.1.1431,4.0,-0.8108661392416815,1.0948701514976766
AJ234058.1.1367,5.0,0.5442797760058619,0.4218987923107485
KF101479.1.1371,6.0,0.5299756732437297,0.45028237964462986
JX096007.1.1204,7.0,0.5059807706438882,0.2795601518169428
D89330.1.1512,8.0,0.4077505597679718,0.22528683895855975
MH337931.1.1279,9.0,0.39138441307193356,0.21624435608084
LLVT01000005.96.1646,10.0,0.3563741609043145,0.24687421479458166
MH698490.1.1502,11.0,-0.35376750006164037,0.15830691783580256
KY003111.1.1207,12.0,-0.3428602813571765,0.9383818041483563
HQ800862.1.1308,13.0,0.33045435269184675,0.7286577268115423
ET467430.1.1257,14.0,-0.31199892998203427,0.7101934766554526
JQ460060.1.1314,15.0,-0.30725064244180356,0.15913127522121426
ET459826.1.1289,16.0,-0.29581498099888714,0.17654154488562895
ET773580.1.1360,17.0,0.2885369957687882,0.3110524743864035
FJ802332.1.1211,18.0,-0.2867680946808981,0.12832544876131513
KF102009.1.1359,19.0,0.2861569972616459,0.16854962918950728
HQ794629.1.1311,20.0,-0.2811937569338936,0.2611169758480115
AJ421779.1.1522,21.0,0.28072157498089273,0.17211081619930219
HQ781017.1.1452,22.0,-0.2797326910286218,0.12517718593974855
ET458691.1.1268,23.0,0.2764021089523536,0.37706122464761105
ET458687.1.1347,24.0,0.27123028346442274,0.19951107202877996
KC464806.1.1200,25.0,-0.26900341338210226,0.12811369412040355
ET774193.1.1245,26.0,0.2629528363982173,0.2025593799073216
MK108014.1.1341,27.0,0.2604121232709813,0.14388067084835038
CAGY01000009.11.1531,28.0,0.25826456972494927,0.19746217232228885
FJ371191.1.1358,29.0,-0.2569160088010058,0.32287699861296865
DQ809347.1.1291,30.0,-0.24669345934584366,0.3447031326199374
