task,source,disease,fid,group,importance,importance_sample_pooled,importance_fold_pooled
lodo,attn,AS,HQ794629.1.1311,Ctrl,-1.8004224756016112,-1.8004224756016112,-1.8004224756016112
lodo,attn,AS,KP334252.1.1211,Ctrl,-1.0782411656226183,-1.0782411656226183,-1.0782411656226183
lodo,attn,AS,KC894545.1.1511,Ctrl,-0.8678788463370573,-0.8678788463370573,-0.8678788463370573
lodo,attn,AS,JQ072269.1.1450,Ctrl,-0.8103021310028062,-0.8103021310028062,-0.8103021310028062
lodo,attn,AS,JQ455259.1.1251,Ctrl,-0.761165295986344,-0.761165295986344,-0.761165295986344
lodo,attn,AS,HQ781028.1.1329,Ctrl,-0.6950698615917009,-0.6950698615917009,-0.6950698615917009
lodo,attn,AS,JQ456273.1.1334,Ctrl,-0.50298674285337,-0.50298674285337,-0.50298674285337
lodo,attn,AS,HM779421.1.1212,Ctrl,-0.4791057194521965,-0.4791057194521965,-0.4791057194521965
lodo,attn,AS,FJ371857.1.1374,Ctrl,-0.4756566593716853,-0.4756566593716853,-0.4756566593716853
lodo,attn,AS,FJ511828.1.1372,Ctrl,-0.4703874704217591,-0.4703874704217591,-0.4703874704217591
lodo,attn,AS,FJ557711.1.1373,Ctrl,-0.4506641373749641,-0.4506641373749641,-0.4506641373749641
lodo,attn,AS,DQ808480.1.1376,Ctrl,-0.432976645269109,-0.432976645269109,-0.432976645269109
lodo,attn,AS,DQ824299.1.1397,Ctrl,-0.425501593731484,-0.425501593731484,-0.425501593731484
lodo,attn,AS,KX130890.1.1202,Ctrl,-0.4202050267941081,-0.4202050267941081,-0.4202050267941081
lodo,attn,AS,FJ368864.1.1363,Ctrl,-0.4152939729002937,-0.4152939729002937,-0.4152939729002937
lodo,attn,AS,JQ186757.1.1359,Ctrl,-0.4096854918905804,-0.4096854918905804,-0.4096854918905804
lodo,attn,AS,HK555826.1.1289,Ctrl,-0.3861989078420539,-0.3861989078420539,-0.3861989078420539
