task,source,fid,group,importance,n_folds_nonzero,n_folds_same_sign,n_folds
lodo,grad,DQ809255.1.1206,Ctrl,-0.004658826665880514,12,12,13
lodo,grad,FJ364454.1.1206,Ctrl,-0.0033289064517957466,12,12,13
lodo,grad,FJ362935.1.1246,Ctrl,-0.002793637953451877,13,13,13
lodo,grad,DQ799182.1.1290,Ctrl,-0.0026696199202835874,7,7,13
lodo,grad,ACBX02000025.1.1217,Ctrl,-0.0025877092436279235,11,11,13
lodo,grad,LARF01000109.1.1225,Ctrl,-0.002481395328813923,13,13,13
lodo,grad,ABQC02000019.758957.760260,Ctrl,-0.0024558502162896462,13,13,13
lodo,grad,EF071253.1.1234,Ctrl,-0.002352323110758677,10,10,13
lodo,grad,DQ824266.1.1288,Ctrl,-0.002320598045709854,10,10,13
lodo,grad,KF842080.1.1260,Ctrl,-0.0021783587831523997,10,10,13
lodo,grad,FJ369668.1.1239,Ctrl,-0.002107277739123631,10,10,13
lodo,grad,JQ455259.1.1251,Ctrl,-0.0019236559688672115,10,10,13
lodo,grad,FJ382054.1.1201,Ctrl,-0.001917539553145382,11,11,13
lodo,grad,DQ793742.1.1312,Ctrl,-0.0019103809088857541,12,12,13
lodo,grad,JX048342.1.1227,Ctrl,-0.001891233600545523,7,7,13
lodo,grad,DQ803441.1.1240,Ctrl,-0.0018892720356976,12,12,13
lodo,grad,GQ133046.1.1200,Ctrl,-0.0018681973092534,13,13,13
lodo,grad,FJ032391.1.1254,Ctrl,-0.0018670643679067403,12,12,13
lodo,grad,DQ807031.1.1284,Ctrl,-0.001856493678803869,12,12,13
lodo,grad,HQ808998.1.1217,Ctrl,-0.0018521810851418771,13,13,13
lodo,grad,FJ367633.1.1229,Ctrl,-0.0017319846504611459,11,11,13
lodo,grad,FJ509926.1.1367,Ctrl,-0.0016889027696046152,12,12,13
lodo,grad,JQ455365.1.1268,Ctrl,-0.0016862775565671232,10,10,13
lodo,grad,GQ491939.1.1201,Ctrl,-0.0016571239475972692,9,9,13
lodo,grad,HQ806883.1.1241,Ctrl,-0.0016024518075635923,10,10,13
lodo,grad,FJ366406.1.1235,Ctrl,-0.0015994378987780858,7,7,13
lodo,grad,DQ809069.1.1219,Ctrl,-0.0015889492344108,13,13,13
lodo,grad,FJ032489.1.1260,Ctrl,-0.0015287131782933507,11,11,13
lodo,grad,FJ371179.1.1259,Ctrl,-0.001424154585178477,12,12,13
lodo,grad,DQ794179.1.1290,Ctrl,-0.0014055416733552383,11,11,13
lodo,grad,AF153858.1.1349,Ctrl,-0.0013943063682176461,10,10,13
lodo,grad,GQ492382.1.1289,Ctrl,-0.0013821613983533152,12,12,13
lodo,grad,ABIY02000114.1.1263,Ctrl,-0.001366704853474208,13,13,13
lodo,grad,AY850463.1.1224,Ctrl,-0.0013404908485775617,13,13,13
lodo,grad,DQ800246.1.1225,Ctrl,-0.001338448082597162,6,6,13
lodo,grad,DQ797836.1.1210,Ctrl,-0.0013275433199309615,10,10,13
lodo,grad,FJ371191.1.1358,Ctrl,-0.0013204897148649465,9,9,13
lodo,grad,DQ800211.1.1202,Ctrl,-0.0013191943672945467,10,9,13
lodo,grad,GQ492286.1.1241,Ctrl,-0.0012820729337583413,12,12,13
lodo,grad,HK693740.1.1297,Ctrl,-0.0012618698886378388,9,9,13
lodo,grad,FJ365668.1.1209,Ctrl,-0.0011859810448502154,10,10,13
lodo,grad,DQ796280.1.1284,Ctrl,-0.0011256496721437847,8,8,13
lodo,grad,CVOZ01000362.1.1219,Ctrl,-0.0011144660108334645,10,9,13
lodo,grad,HQ754370.1.1215,Ctrl,-0.0010991547377563462,10,10,13
lodo,grad,HK240553.1.1243,Ctrl,-0.0010964699328822537,10,10,13
lodo,grad,DQ803925.1.1280,Ctrl,-0.0010915628305814538,11,11,13
lodo,grad,FJ362701.1.1206,Ctrl,-0.001084851382929552,10,10,13
lodo,grad,FJ371591.1.1208,Ctrl,-0.0010383113604180694,13,13,13
lodo,grad,DQ808930.1.1287,Ctrl,-0.001008709362813577,12,12,13
lodo,grad,DQ824417.1.1281,Ctrl,-0.0010080722665714696,12,12,13
lodo,grad,DQ806128.1.1290,Disease,0.0009175468323708001,10,10,13
lodo,grad,FJ366498.1.1310,Disease,0.0009378573535093955,9,9,13
lodo,grad,EF519868.1.1382,Disease,0.0009470257702969,6,6,13
lodo,grad,AY911443.1.1200,Disease,0.0009530515309564139,8,5,13
lodo,grad,DQ802678.1.1231,Disease,0.0009545082036257462,13,13,13
lodo,grad,KX881777.1.1230,Disease,0.0009557188918236058,12,12,13
