,label,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31,dim_32,dim_33,dim_34,dim_35,dim_36,dim_37,dim_38,dim_39,dim_40,dim_41,dim_42,dim_43,dim_44,dim_45,dim_46,dim_47,dim_48,dim_49,dim_50,dim_51,dim_52,dim_53,dim_54,dim_55,dim_56,dim_57,dim_58,dim_59,dim_60,dim_61,dim_62,dim_63,dim_64,dim_65,dim_66,dim_67,dim_68,dim_69,dim_70,dim_71,dim_72,dim_73,dim_74,dim_75,dim_76,dim_77,dim_78,dim_79,dim_80,dim_81,dim_82,dim_83,dim_84,dim_85,dim_86,dim_87,dim_88,dim_89,dim_90,dim_91,dim_92,dim_93,dim_94,dim_95,dim_96,dim_97,dim_98,dim_99
SRR5218304,1,0.08950757501380784,0.39106509515217375,-0.7848552869898933,-0.3775864030633654,-0.2190917767584324,0.3701308092900685,-0.36854161747864317,-0.52217655309609,0.10033426327364785,0.5958089707419276,-0.13319988335881913,0.07219535112380981,0.30183859382356915,-0.07973030848162514,-0.19008291459509305,-1.072672005210604,0.26879318271364483,0.42264020655836376,0.42373935665403095,0.21609437465667725,-0.21716859936714172,0.38763891799109323,-0.4337854843054499,0.11580985788688329,-0.07800198718905449,-0.3645619494574411,-0.19195892342499324,0.02201766667089292,0.06332308426499367,-0.2176803507609293,0.13183114251920156,0.19578457721841655,0.1564208577786173,0.42752902023494244,0.5047062262892723,0.6636130096656936,0.1941739342042378,-0.08698685387415546,0.3179638125002384,-0.5742558730500085,-0.034993141889572144,-0.015726317252431597,0.05182789844859924,0.44405237265995573,0.2623223458150668,-0.5704444604260581,-0.08069002628326416,-0.3933060882346971,-0.3733277218083718,-0.33460253530314993,0.1052540625844683,0.7252612223050424,-0.16650220964636123,-0.12814247022782052,0.043252227029630115,-0.10992017069033214,-0.12230895087122917,-0.2315287185566766,-0.040607769574437826,0.3266055051769529,0.34672178966658457,0.4116017690726689,0.09848379689667906,-0.5181445841278348,-0.21488010224753193,-0.04176348181707518,0.25030743490372387,0.5328643949968475,-0.027587546767400845,0.23534928262233734,0.4642877067838396,-0.1216699087194034,-0.025067024997302463,0.3331906252673694,-0.23678263063941682,0.28542885397161755,0.03382443104471479,-0.6395684054919651,0.03308640367218426,-0.24872893733637674,-0.6058791587129235,-0.2913130677438208,0.16389925565038407,-0.007929378322192602,-0.11295874310391289,-0.19816031546464988,0.029234341212681363,0.10488761003528323,0.3255990160895245,-0.6588576159306935,0.43693497883422033,0.4801664308511785,-0.05637970566749573,-0.1891153421519058,-0.42467598617076874,0.5294260421235647,-0.4141608802601695,-0.09411821407931191,0.16042329876550607,-0.01213382397379194
SRR5218305,0,-0.0038585604301520754,0.16769912838935852,-0.7939615334783282,-0.19324120453425817,-0.19601370607103621,0.3339304157665798,-0.193868202822549,-0.48676867144448416,0.18992412595876626,0.8413336873054504,-0.2992372347840241,0.1921442938702447,0.6144738580499377,-0.15389721947056906,-0.5156982498509544,-0.792633633528437,0.22365472412535123,0.43858578375407625,0.334896913596562,0.07560871541500092,-0.2611161768436432,0.13088992025171006,-0.477925889659673,0.010085358417459897,0.0063212292401918346,-0.0034533781664712088,-0.1261108195675271,-0.066080670271601,-0.10506352356501988,-0.1627108816589628,-0.0547419616154262,0.16981154254504613,-0.09923438089234489,0.4103992421712194,0.5124153111662183,0.6214580301727567,0.13028272879975183,-0.03375254039253507,0.13802985953433172,-0.5642623294677053,-0.3011742191655295,-0.12106375156768731,0.044194135282720835,0.5689403135329485,0.48249917583806173,-0.5804595496904638,-0.04443036798121674,-0.13101692710603988,-0.01553598472050258,-0.30984045192599297,-0.03378223308495113,0.6049389306988034,-0.13415327561753138,-0.23871637188962527,0.039749313944152424,-0.14540590292641095,-0.07583064266613551,-0.25928405140127453,-0.12155660055577755,0.35883763645376476,0.2692093018974577,0.15148575178214482,0.14875721718583787,0.05206430916275297,-0.059420538800103326,-0.1994357899363552,0.08918734533446175,0.3718088519360338,-0.40822125119822367,0.31707858613559176,0.39458976898874554,-0.4677140489220619,-0.07588152800287519,0.28227587576423374,-0.02278615321431841,0.8702510808195386,0.06181421875953674,-0.4713242841618402,0.3598994995866503,-0.25382307171821594,-0.556483767926693,-0.2366840328489031,0.33449675302420345,-0.009459957048030836,-0.15962433815002441,-0.25414511454956873,0.000608174130320549,0.013963118461625916,0.5757984231625285,-0.9080275467463902,0.5067833683320454,0.4681911202413695,-0.020410706688250815,-0.04330418684652874,-0.5237539495740619,0.518860325217247,-0.25247002286570414,-0.11984073264258248,-0.05068057881934302,-0.27250134253076147
SRR5218306,0,0.17381544251527106,0.3798417491572244,-0.9134668622698102,-0.25852392401014057,-0.22228460439613887,0.34903454567704884,-0.48395455735070364,-0.5089290056909833,0.22581192638192857,0.7056781787957463,-0.14077240441526687,0.12970962694713048,0.33308059190000805,-0.12950042422328675,-0.3504806522812162,-0.9395920804568699,0.237875334918499,0.43478390148707796,0.3988168239593506,0.18728456965514592,-0.2441988672528948,0.24629719049802848,-0.4860502438885825,0.06594689882227353,0.0018553159066608974,-0.14662192602242743,-0.17193564772605896,-0.02169874683022499,-0.09027965420058795,-0.25927248171397616,0.03473458079887288,0.1594179059777941,0.08117978199983814,0.484078156628779,0.5432905341897692,0.6677324223731246,0.2051716936486108,-0.2215348234832553,0.25787561173949924,-0.5897437504359654,-0.10909053683280945,-0.10507102310657501,0.07524875378502267,0.5430316882474082,0.32125926124198095,-0.6503791745219912,-0.059159666299819946,-0.2949089418564524,-0.16210176955376351,-0.3371328392199108,0.08915809648377555,0.6324059840823922,-0.1393454053572246,-0.10542641101138932,0.03753375049148287,-0.1861519091097372,-0.12799459163631713,-0.2987535649112293,-0.1066116594842502,0.4079983096037592,0.28420478850603104,0.3326321414538792,0.06823271742489721,-0.2544070226805551,-0.12594712206295558,-0.11779356601514987,0.2146425779376711,0.454980979008334,-0.26720076160771505,0.27746428336415974,0.4813994275672095,-0.23026127687522344,-0.14743885823658534,0.2596384747219937,-0.16742779740265437,0.6175876472677503,0.1834133735724858,-0.5916584240538734,0.10210485543523516,-0.30911741512162344,-0.5969857733164515,-0.29497645795345306,0.2410354209797723,0.07907060640198844,-0.04727128467389515,-0.18954556295648217,0.04383551861558642,0.019832736679485867,0.48773812502622604,-0.7290120997599193,0.5095466215695653,0.3814788654978786,-0.0341375065036118,-0.09523753642237612,-0.4611681231430599,0.565732975091253,-0.3626468468989645,-0.042164272495678494,0.029966709869248525,-0.13130787440708705
SRR5218307,0,0.08976696963821139,0.25008703768253326,-0.837664684014661,-0.2259986060006278,-0.19214752742222377,0.3391684421471187,-0.2999811992049217,-0.5071696170738765,0.20272167452744075,0.7831459194421768,-0.20423024999243872,0.13586492197854177,0.5792938087667737,-0.16267055878415704,-0.37272623660308973,-0.904258268220084,0.22717518066721304,0.3985817347254072,0.3597465455532074,0.1249528346317155,-0.26905488116400583,0.18467771261930466,-0.4210396834782192,0.07034223553325449,0.03149081127984183,-0.09514926161084857,-0.20779617955642088,-0.0409668077315603,-0.11080759763717651,-0.17774654159854567,-0.02408758444445474,0.24285605549812317,-0.0703273458140237,0.4801188771213804,0.5414403357676097,0.6793686944459166,0.11450177816940206,-0.03176773020199367,0.22194958797522954,-0.5990958075438227,-0.31730651003973825,-0.09690116558756147,0.039444725428308756,0.5773609961782183,0.44178510563714163,-0.5521096579198327,-0.08462609563555036,-0.15490978956222534,-0.12090374955109187,-0.35373385569878985,0.043326426829610555,0.664237841963768,-0.18467944730738445,-0.15237771533429623,0.02603377914056182,-0.16622869670391083,-0.14165532642177173,-0.23676504514047078,-0.12735376467130013,0.3822224257247789,0.2743693757802248,0.26904474198818207,0.13002033744539535,-0.05456334565367017,-0.11989800419126238,-0.1516413265573127,0.18393131558384215,0.43117891784225193,-0.3689432086289993,0.270538866519928,0.41025014008794514,-0.28935194281595095,-0.11864143184253148,0.261657927185297,-0.07786877027579717,0.7053925927196231,0.027249813079833984,-0.5148486346006393,0.28679427078792025,-0.30740218077387127,-0.5434193403593132,-0.20100292989185878,0.28961883378880365,-0.008958688804081507,-0.2844092280470899,-0.22513691655227117,-0.07067547738552094,0.016012299629177766,0.49828072105135235,-0.8368367341213993,0.5244624923382487,0.5235411350482276,-0.03389738127589226,-0.09797896444797516,-0.4917802853243692,0.5319323571664947,-0.3471479309456689,-0.11337423537458692,0.012894709195409502,-0.1957582448210035
SRR5218308,0,0.010150172348533357,0.31025161913463045,-0.8639718549592155,-0.22969267198017665,-0.2422546586021781,0.394450235579695,-0.42811294964381624,-0.5216092552457537,0.19621393936020987,0.7512334670339312,-0.22958194783755712,0.05104107941899981,0.5541116446256638,-0.17090322077274323,-0.3127790902342115,-0.9068205654621124,0.2330331275505679,0.38906967427049366,0.41320336716515677,0.20074695561613357,-0.2660433735166277,0.1985514291695186,-0.40081521549395155,0.08793780952692032,0.014136131852865219,-0.21362179730619704,-0.19565695417778833,0.008710171495165144,-0.11403935296194893,-0.21710541737931116,0.016643662537847246,0.3030127329485757,0.02807252747671945,0.5257470394883837,0.5512297749519348,0.7474832545433726,0.18266637410436357,-0.05157580492751939,0.30628281831741333,-0.5377522414284093,-0.19041184442383902,-0.1352818634893213,0.03790650207416287,0.5990311929157802,0.37162324360438753,-0.5735863287534032,-0.018565908074378967,-0.1882864726441247,-0.16662480243082559,-0.4032921237604959,0.05585224074976785,0.7261675920869622,-0.15835366610969817,-0.12413473360772644,-0.007645330790962491,-0.2113762774637767,-0.20150364190340042,-0.25450580354247776,-0.02408056040959699,0.46488707619053976,0.23767097613641194,0.32139461540750097,0.042105489992536604,-0.1442626267671585,-0.1416420013244663,-0.17239331933004515,0.21642586375985826,0.47315841680392623,-0.31880989564316614,0.20710504055023193,0.3876784640763487,-0.2992886496441705,-0.14353961603982107,0.3277540276093142,-0.12050521373748779,0.6593482324055263,0.01224622130393982,-0.5997904273016113,0.22666593534605844,-0.2756071009540132,-0.5454097294381687,-0.3164195269346237,0.3120825993163245,0.05402811935969761,-0.27997098051543745,-0.2170905111623662,-0.043261398162160604,-0.07338097478662219,0.4588936801467623,-0.8362188669187682,0.5571327709725925,0.4529738553932735,-0.0316263808137072,-0.18432514510849224,-0.5074813663959503,0.5743329929453986,-0.32397996953555513,-0.06882943958044052,0.018153733972992216,-0.07265858990805489
SRR5218309,0,0.08453859761357307,0.328961329800742,-0.8582185889993396,-0.2061484456062317,-0.21408612600394658,0.3584359756537846,-0.3773877514260156,-0.41358452822480885,0.10752128277506147,0.6288823182621854,-0.12249257734843663,0.13179477836404527,0.25090194227440016,-0.08630557571138654,-0.3466652397598539,-0.8977136654513223,0.27249124752623693,0.5466648068811212,0.30913301025118145,0.15633905678987503,-0.19650315812655858,0.30795710001673016,-0.45167936677379267,0.03275848925113678,-0.0322927042309727,-0.236148935343538,-0.051402040058746934,-0.026828869245946407,0.04691941770059722,-0.29247044239725384,0.1290202225957598,0.07064176350831985,0.2693992257118225,0.3458089216479233,0.42971892269062145,0.5297461322375706,0.3067552021571568,-0.19922432782394545,0.191398914371218,-0.5406460549150195,-0.010908270520823342,-0.12424394807645253,0.10155555925198964,0.43594798871449064,0.30003646122557776,-0.6126347221434116,-0.09097175619431905,-0.3670900571825249,-0.17608402496469872,-0.2065065779856273,0.08662196780954089,0.5738003956420081,-0.08756827935576439,-0.13242678557123458,0.08963871960129056,-0.12624248223645346,-0.1826812374804701,-0.3423349942479815,-0.09359769629580635,0.3945884630084038,0.24304748220103128,0.21896461503846304,0.086064698440688,-0.327566534280777,-0.056408616581133435,-0.14300971790882094,0.18747022907648767,0.4283172216798578,-0.16212395685059683,0.22361276192324503,0.4502073121922357,-0.34665471741131376,-0.056401670910418034,0.3270140555022018,-0.1507001370191574,0.6052994408777782,0.1892658110175814,-0.5459952673741749,0.020660069904157093,-0.19071397983602115,-0.7030577127422605,-0.3358630282538278,0.2792353055306843,0.0737710680280413,0.0772227059517588,-0.2713156331862722,0.17921867540904454,0.004399802569033844,0.49285165406763554,-0.7681251679147992,0.33451064356735777,0.4335962331720761,-0.049125753343105316,-0.16000990569591522,-0.43615310532706125,0.4882892644298928,-0.3478039896913937,-0.03690745575087411,0.09283463071499552,-0.09973473634038653
SRR5218310,0,0.10188272010002818,0.48910986525671823,-0.7443232248936381,-0.39534569904208183,-0.1305248269012996,0.29739648742335184,-0.26304847321340014,-0.4746752269566059,0.19100820592471532,0.48428523753370556,-0.05736702614064727,0.04822286058749471,0.25281761586666107,-0.13892289570399693,-0.12494406716099807,-1.1751129307917185,0.318934155361993,0.37089934200048447,0.33488825389317106,0.2351327006305967,-0.3155642662729536,0.31068728119134903,-0.31427489247705254,0.2513807841709682,0.0015836882271936961,-0.49108088868004934,-0.06623542095933642,-0.01168927550315857,-0.03718502606664385,-0.36126008576580454,-0.012533210217952728,0.1706352968301092,0.25673104396888186,0.5463398205382484,0.5304212479719094,0.5039698556065559,0.25812613112585886,0.050638828958783834,0.3351101130912347,-0.5351597091981343,-0.22280832273619516,0.07116703050477165,0.02188696712255478,0.29525160576616016,0.22661603774343217,-0.505156858158963,-0.08378926025969642,-0.4166512191295624,-0.3594000270324094,-0.3326529860496521,-0.05655355112893241,0.8424325244767326,-0.15466628542968205,-0.10082071301128183,0.22575999689953669,-0.056414966072355,-0.0669810124007719,-0.39219548855908215,-0.17359443115336554,0.16770096282873834,0.23650633011545455,0.4323600232601166,0.07752390418733869,-0.33022076317242216,-0.17450725819383348,-0.016383265012076924,0.3012529675449644,0.4582807224776064,-0.06447955965995789,0.36347730670656475,0.36277628796441214,-0.08882117697170802,-0.0454105692250388,0.3104816068496023,-0.24536263889500073,0.10083235241472721,-0.06356645801237651,-0.4905117281845638,-0.018652547683034624,-0.24940810991185053,-0.4771980382502079,-0.3969168961048126,0.1603200818811144,-0.0014188551743115699,-0.08782819977828435,-0.22769789291279657,-0.03501799702644348,0.02283403224178723,0.32038801190044197,-0.5408387901261449,0.34681540647787706,0.5869857370853424,-0.06932908722332545,-0.031022020748683383,-0.39438765176704954,0.5625760193381991,-0.40585686958261896,-0.003980130755475589,0.10328859090805054,0.09337720700672694
SRR5218311,0,0.06580322768007006,0.16540095742259706,-0.8125677821891648,-0.15981597134045192,-0.15770019377980912,0.36278470286301207,-0.35053905844688416,-0.5208588242530823,0.19880540881838119,0.8144396543502808,-0.20553165887083327,0.09935521227972847,0.6256207759891238,-0.20855382404157094,-0.4400548734036939,-0.91618783559118,0.2378326223364898,0.351607152393886,0.4004038189138685,0.13267365097999573,-0.3307008274963924,0.1790092938712665,-0.4003492221236229,0.06565978883632592,0.023110611896429743,-0.06561939205442156,-0.2444305172123547,-0.033156112900802066,-0.2098801178591592,-0.15273248297827585,-0.07536835063781057,0.3007704211132867,-0.16729068756103516,0.4951774573751858,0.5677452662161419,0.7827645039984158,0.07234193185078246,0.0077005677989551,0.249466387288911,-0.6182716680424554,-0.3246625619275229,-0.13257295319012233,0.02830434058393751,0.6392848065256008,0.4125369768589735,-0.5247124178068978,-0.06575862424714225,-0.09701640265328544,-0.04932434005396707,-0.39909916051796507,0.06548380425998143,0.7130500466695854,-0.18147476290219597,-0.1596729936344283,0.053669175931385586,-0.18189581756346992,-0.13817323637860163,-0.18164866524083273,-0.13079060667327472,0.43814475515059065,0.24668166041374207,0.25432596249239786,0.14585807919502258,0.03226879026208605,-0.10418095758983068,-0.18137434567324817,0.17366498495851243,0.4678506752742188,-0.4666995235851833,0.2394135519862175,0.4170627583350454,-0.2497901405606951,-0.1335851720401219,0.2504834990416254,-0.06942134244101388,0.8213424299444471,-0.035498355116162984,-0.5439460958753314,0.3626003180231367,-0.2924907771604402,-0.5114821743752275,-0.17245730331965856,0.3568219244480133,-0.023693748616746495,-0.4584550889475005,-0.16961876090083802,-0.10133007913827896,-0.006853029664073672,0.5036460767899241,-0.8653969189950398,0.5668595603534153,0.4980846888252667,-0.047841355204582214,-0.0853398825441088,-0.4998030960559845,0.5349598404552255,-0.3161271746669497,-0.11584299270595823,-0.0997377262849893,-0.24388159811496735
SRR5218312,0,0.08507157183651413,0.3297393960612161,-0.8410919053213937,-0.18693747690745763,-0.23738280364445277,0.2697533794811794,-0.3696701931101935,-0.4075246070112501,0.25905745795794893,0.7815347042466912,-0.08235295755522591,0.08156592611755643,0.3107473339353289,-0.10385707446507045,-0.5033819569008691,-0.9728315430028098,0.25542220739381655,0.4202692551272256,0.3638348621981485,0.1394575493676322,-0.23170620203018188,0.23496645050389425,-0.45319599019629614,0.03097859982933317,-0.018416516748922213,-0.09079282843906965,-0.1526196620294026,0.014236836028950555,-0.07949554471166007,-0.26233813698802677,0.10873444937169552,0.05119798758200237,0.1070571339556149,0.3652051341320787,0.5412994814770562,0.6459699022982802,0.22308394951479776,-0.2002470019672598,0.22902084102055856,-0.5825044555323464,-0.01796935498714447,-0.12104395271411963,0.0595075466803142,0.5479840029563222,0.31037957507318686,-0.5928187482059002,-0.11646513853754316,-0.27329569842134205,-0.12300605273672513,-0.32511297294071745,0.13382947285260474,0.5929266501750264,-0.05611989953156028,-0.1175064891576767,0.0044292009302548,-0.16646399987595423,-0.1172257491520473,-0.2493114471435547,-0.10734573006629944,0.46808542078360915,0.30890167504549026,0.29447750960077557,0.08444547866071973,-0.2816787723984037,-0.10477416430200849,-0.16434361519558088,0.21958947820322855,0.4403614260788475,-0.21822176554373332,0.20384637798581803,0.4955807477235794,-0.25754800864628385,-0.08748085583959307,0.25918673298188616,-0.2163340843149594,0.7753407694399357,0.14516011944838933,-0.4956250957080296,0.12145238901887621,-0.2909817802054541,-0.7302944766623634,-0.22421319067611226,0.2614369179521288,0.10890932168279376,-0.09432536789349147,-0.23516309899943216,0.06710081015314374,0.04635829159191677,0.46737487614154816,-0.7242711974041802,0.44649636106831686,0.3781889472156763,0.006918314761216087,-0.07543694440807615,-0.5070892487253461,0.503641617883529,-0.31406524937067715,-0.13152234043393815,-0.04114011994429997,-0.2725863970283951
SRR5218313,0,0.06168231048754284,0.3635168416159494,-0.9010711099420275,-0.25953025051525663,-0.20063468388148717,0.3007059225014278,-0.46100011680807385,-0.43292999267578125,0.2467612320823329,0.7839695060891765,-0.03983327107770102,0.057938499110085626,0.40568614644663675,-0.13759893072502954,-0.4445159078708717,-0.9373404128210885,0.26392048011933056,0.40055227279663086,0.35956462791987825,0.19875902416450636,-0.34305175287382944,0.22247457717146193,-0.4708712760891233,0.0785633082102452,0.05052468180656433,-0.17124820021646364,-0.1729865542479924,0.0032291561365127563,-0.1299202415559973,-0.28661008372104596,0.0366063980119569,0.15088598536593573,0.04749410493033273,0.5242412984371185,0.5061785514865603,0.7093475918684687,0.1953772551247052,-0.18983796451772963,0.29697708785533905,-0.5584069596869605,-0.07539291254111699,-0.1398076627935682,0.07724373202238764,0.5653021165302822,0.31084470238004414,-0.5907221420535019,-0.1528883363519396,-0.23248321456568583,-0.17194801781858718,-0.35443661361932755,0.10895300550120217,0.6470754468547446,-0.09960456831114632,-0.08759761189243623,0.04306821418660028,-0.19416987696396454,-0.1686721986957959,-0.33019167610577177,-0.08987629100946444,0.4489917957356998,0.28253896135304657,0.3519191699368613,0.08282369588102613,-0.27770744051252094,-0.10471165605953761,-0.14337944671777741,0.2783938305718558,0.4727934081872393,-0.24293854619775498,0.19729093675102508,0.42919620126485825,-0.20147681422531605,-0.12179813746895109,0.32039939728565514,-0.17615780234336853,0.712706310408456,0.09563093100275312,-0.5647611000708171,0.14025173442704336,-0.2783282463039671,-0.6528455944997924,-0.3505702530965209,0.2534438967704773,0.05439230373927525,-0.11387786801372256,-0.22679741254874639,-0.0014488250017166138,0.019707689327853068,0.5017753413745335,-0.7111844633306775,0.46352444269827436,0.38901584169694353,-0.049188779933112006,-0.10140805917658977,-0.44925716732229504,0.5933297989623887,-0.32079850882291794,-0.07468329157148089,-0.004187538155487606,-0.12076627569539207
