task,source,disease,emb_type,silhouette,p_shuffle,mds_stress,n_markers
lodo,attn,AS,Phylo,0.008308360655344113,0.028,754.4918850613017,100
lodo,attn,AS,SNE,0.042348168356075515,0.001,382.36831261285676,100
lodo,attn,ASD,Phylo,-0.0017123057477786486,0.68,774.9815210725073,100
lodo,attn,ASD,SNE,0.025510655702353894,0.001,391.7157698075897,100
lodo,attn,BD,Phylo,0.007395244239096492,0.064,725.2136392264171,100
lodo,attn,BD,SNE,0.09729733749420179,0.001,306.585725634,100
lodo,attn,CAD,Phylo,0.012387941716159945,0.006,728.4748028381366,100
lodo,attn,CAD,SNE,0.016896958536431927,0.009,348.9672474362284,100
lodo,attn,CRC,Phylo,0.0065456081103266815,0.061,756.3009036108872,100
lodo,attn,CRC,SNE,0.12816386494581705,0.001,365.8666363204011,100
lodo,attn,GD,Phylo,0.02788347152161114,0.001,769.7570231042555,100
lodo,attn,GD,SNE,0.05401754964641386,0.001,280.0430003710141,100
lodo,attn,IBD,Phylo,0.018561023011440126,0.001,747.2173471021648,100
lodo,attn,IBD,SNE,0.11394727879654447,0.001,255.75124638554996,100
lodo,attn,IBS,Phylo,0.045596758712570275,0.001,696.1511582981087,100
lodo,attn,IBS,SNE,0.1665732667147691,0.001,228.81497927261762,100
lodo,attn,MS,Phylo,-0.006790941258607219,0.953,704.2548695120839,100
lodo,attn,MS,SNE,0.2227289418625303,0.001,323.9528970298784,100
lodo,attn,OB,Phylo,0.015038429387902395,0.003,748.0092871311178,100
lodo,attn,OB,SNE,0.19095920275249045,0.001,229.43334629183454,100
lodo,attn,PD,Phylo,0.021917916570992613,0.001,727.7453210483393,100
lodo,attn,PD,SNE,0.11171538315749223,0.001,362.84260980953354,100
lodo,attn,SZ,Phylo,0.05075409344815887,0.001,699.6048367417436,100
lodo,attn,SZ,SNE,0.06635044742087914,0.001,274.35469724332273,100
lodo,attn,T2DM,Phylo,0.004893295635526333,0.137,718.0568104459153,100
lodo,attn,T2DM,SNE,0.3296566437874368,0.001,230.74395161637096,100
