otu,mean_rank_diff,case_minus_control,enrichment
KF101479.1.1371,1.0,0.8481312926930303,0.45498519615434546
KF101798.1.1358,2.0,0.7159181619465399,0.4040389474743089
JQ467804.1.1375,3.0,0.43057201357068825,0.21950730103603713
FJ557765.1.1386,4.0,0.4071961243223781,0.2668942597761653
FJ369308.1.1240,5.0,-0.37195822908811704,0.6853153009410473
DQ326634.1.1352,6.0,0.33670012921202386,0.9278804019696134
GQ491160.1.1334,7.0,0.26291169114960117,0.3706856727177046
FJ367645.1.1320,8.0,0.243633816410871,0.18045448960989005
GQ493505.1.1359,9.0,0.23321454537113023,0.2076246943431328
DQ800324.1.1398,10.0,0.20639883125368033,0.3264005146540239
LN998062.1.1487,11.0,-0.20082449359019316,0.28979791476379085
EF402071.1.1478,12.0,0.19695776798439996,0.2763038986755133
AY538696.1.1466,13.0,0.19263253803490304,0.20420327187999718
EU775597.1.1351,14.0,-0.19185281184322847,0.30543440156707574
EU762506.1.1327,15.0,0.1894786492822907,0.39780639493883607
HM308748.1.1356,16.0,0.18802369727860563,0.33010266176607533
AM696869.1.1522,17.0,-0.18641273117839147,0.43271461702134534
JF057160.1.1343,18.0,0.173793885516158,0.21107880967392229
EU763456.1.1359,19.0,0.17363315639480092,0.47240169816102606
KF843440.1.1336,20.0,0.17036302676060214,0.31704399863172783
FJ507231.1.1307,21.0,0.15877264136824604,0.5279360856500216
AY981777.1.1355,22.0,0.15825882192999596,0.344989938352537
AJ006962.1.1476,23.0,0.15754917756212541,0.08031918856108355
DQ905725.1.1572,24.0,-0.15229065062478184,0.07465227971803032
HQ790085.1.1320,25.0,0.15193074460493589,0.559803905827602
GQ493546.1.1366,26.0,0.14370881794587687,0.07326331895279997
FJ371179.1.1259,27.0,-0.14239925844362006,0.12277732547326928
EU767018.1.1359,28.0,0.14117358589926973,0.16842834875474572
GQ491968.1.1295,29.0,0.1381137507155728,0.166949718265362
HQ767134.1.1448,30.0,-0.1372972610995221,0.1354707996984883
