FPR,TPR
0.0,0.0
0.0,0.019230769230769232
0.0,0.038461538461538464
0.02,0.038461538461538464
0.02,0.1346153846153846
0.04,0.1346153846153846
0.04,0.21153846153846154
0.06,0.21153846153846154
0.06,0.3269230769230769
0.08,0.3269230769230769
0.08,0.36538461538461536
0.12,0.36538461538461536
0.12,0.5769230769230769
0.16,0.5769230769230769
0.16,0.6538461538461539
0.24,0.6538461538461539
0.24,0.6923076923076923
0.28,0.6923076923076923
0.28,0.7115384615384616
0.34,0.7115384615384616
0.34,0.75
0.38,0.75
0.38,0.8076923076923077
0.44,0.8076923076923077
0.44,0.8269230769230769
0.5,0.8269230769230769
0.5,0.8653846153846154
0.54,0.8653846153846154
0.54,0.9038461538461539
0.56,0.9038461538461539
0.56,0.9230769230769231
0.6,0.9230769230769231
0.6,0.9423076923076923
0.62,0.9423076923076923
0.62,0.9615384615384616
0.74,0.9615384615384616
0.74,1.0
1.0,1.0
