,query_gene,BiGG_gene,score
0,gene_0,STM_v1_0.STM0002,1525
1,gene_1,STM_v1_0.STM0003,592
2,gene_2,STM_v1_0.STM0004,800
3,gene_3,STM_v1_0.STM0006,735
4,gene_4,STM_v1_0.STM0007,607
5,gene_5,STM_v1_0.STM0039,683
6,gene_6,STM_v1_0.STM0045,581
7,gene_7,STM_v1_0.STM0046,1686
8,gene_8,STM_v1_0.STM0047,317
9,gene_9,STM_v1_0.STM0049,592
10,gene_10,STM_v1_0.STM0051,526
11,gene_11,STM_v1_0.STM0064,474
12,gene_12,STM_v1_0.STM0066,734
13,gene_13,STM_v1_0.STM0067,2067
14,gene_14,STM_v1_0.STM0070,480
15,gene_15,STM_v1_0.STM0071,920
16,gene_16,STM_v1_0.STM0072,818
17,gene_17,STM_v1_0.STM0074,995
18,gene_18,STM_v1_0.STM0086,1082
19,gene_19,STM_v1_0.STM0087,330
20,gene_20,STM_v1_0.STM0088,569
21,gene_21,STM_v1_0.STM0091,574
22,gene_22,STM_v1_0.STM0101,455
23,gene_23,STM_v1_0.STM0102,986
24,gene_24,STM_v1_0.STM0103,1055
25,gene_25,STM_v1_0.STM0106,400
26,gene_26,STM_v1_0.STM0107,938
27,gene_27,STM_v1_0.STM0108,617
28,gene_28,STM_v1_0.STM0110,385
29,gene_29,STM_v1_0.STM0111,880
30,gene_30,STM_v1_0.STM0112,677
31,gene_31,STM_v1_0.STM0113,947
32,gene_32,STM_v1_0.STM0122,1117
33,gene_33,STM_v1_0.STM0123,915
34,gene_34,STM_v1_0.STM0124,754
35,gene_35,STM_v1_0.STM0125,702
36,gene_36,STM_v1_0.STM0126,819
37,gene_37,STM_v1_0.STM0128,650
38,gene_38,STM_v1_0.STM0129,939
39,gene_39,STM_v1_0.STM0130,528
40,gene_40,STM_v1_0.STM0134,602
41,gene_41,STM_v1_0.STM0137,230
42,gene_42,STM_v1_0.STM0140,351
43,gene_43,STM_v1_0.STM0141,656
44,gene_44,STM_v1_0.STM0145,529
45,gene_45,STM_v1_0.STM0146,357
46,gene_46,STM_v1_0.STM0150,827
47,gene_47,STM_v1_0.STM0152,1756
48,gene_48,STM_v1_0.STM0153,986
49,gene_49,STM_v1_0.STM0154,919
50,gene_50,STM_v1_0.STM0158,1681
51,gene_51,STM_v1_0.STM0161,550
52,gene_52,STM_v1_0.STM0163,570
53,gene_53,STM_v1_0.STM0165,519
54,gene_54,STM_v1_0.STM0166,560
55,gene_55,STM_v1_0.STM0168,878
56,gene_56,STM_v1_0.STM0169,1485
57,gene_57,STM_v1_0.STM0170,339
58,gene_58,STM_v1_0.STM0171,396
59,gene_59,STM_v1_0.STM0180,239
60,gene_60,STM_v1_0.STM0181,498
61,gene_61,STM_v1_0.STM0182,503
62,gene_62,STM_v1_0.STM0183,281
63,gene_63,STM_v1_0.STM0190,1496
64,gene_64,STM_v1_0.STM0191,337
65,gene_65,STM_v1_0.STM0192,496
66,gene_66,STM_v1_0.STM0193,508
67,gene_67,STM_v1_0.STM0194,1113
68,gene_68,STM_v1_0.STM0202,830
69,gene_69,STM_v1_0.STM0203,817
70,gene_70,STM_v1_0.STM0206,440
71,gene_71,STM_v1_0.STM0207,431
72,gene_72,STM_v1_0.STM0208,906
73,gene_73,STM_v1_0.STM0213,482
74,gene_74,STM_v1_0.STM0218,463
75,gene_75,STM_v1_0.STM0220,694
76,gene_76,STM_v1_0.STM0221,442
77,gene_77,STM_v1_0.STM0222,537
78,gene_78,STM_v1_0.STM0226,536
79,gene_79,STM_v1_0.STM0227,300
80,gene_80,STM_v1_0.STM0228,438
81,gene_81,STM_v1_0.STM0229,722
82,gene_82,STM_v1_0.STM0232,612
83,gene_83,STM_v1_0.STM0234,1368
84,gene_84,STM_v1_0.STM0235,238
85,gene_85,STM_v1_0.STM0242,1077
86,gene_86,STM_v1_0.STM0245,511
87,gene_87,STM_v1_0.STM0246,307
88,gene_88,STM_v1_0.STM0247,644
89,gene_89,STM_v1_0.STM0248,367
90,gene_90,STM_v1_0.STM0255,491
91,gene_91,STM_v1_0.STM0261,454
92,gene_92,STM_v1_0.STM0309,1555
93,gene_93,STM_v1_0.STM0310,374
94,gene_94,STM_v1_0.STM0316,893
95,gene_95,STM_v1_0.STM0317,306
96,gene_96,STM_v1_0.STM0320,598
97,gene_97,STM_v1_0.STM0321,690
98,gene_98,STM_v1_0.STM0322,699
99,gene_99,STM_v1_0.STM0353,572
100,gene_100,STM_v1_0.STM0364,307
101,gene_101,STM_v1_0.STM0368,519
102,gene_102,STM_v1_0.STM0369,762
103,gene_103,STM_v1_0.STM0370,914
104,gene_104,STM_v1_0.STM0371,1197
105,gene_105,STM_v1_0.STM0372,617
106,gene_106,STM_v1_0.STM0380,657
107,gene_107,STM_v1_0.STM0386,488
108,gene_108,STM_v1_0.STM0388,269
109,gene_109,STM_v1_0.STM0393,538
110,gene_110,STM_v1_0.STM0399,804
111,gene_111,STM_v1_0.STM0401,1093
112,gene_112,STM_v1_0.STM0402,397
113,gene_113,STM_v1_0.STM0403,361
114,gene_114,STM_v1_0.STM0416,660
115,gene_115,STM_v1_0.STM0417,268
116,gene_116,STM_v1_0.STM0419,593
117,gene_117,STM_v1_0.STM0420,362
118,gene_118,STM_v1_0.STM0422,1211
119,gene_119,STM_v1_0.STM0423,533
120,gene_120,STM_v1_0.STM0425,932
121,gene_121,STM_v1_0.STM0434,563
122,gene_122,STM_v1_0.STM0439,570
123,gene_123,STM_v1_0.STM0440,204
124,gene_124,STM_v1_0.STM0441,407
125,gene_125,STM_v1_0.STM0442,1316
126,gene_126,STM_v1_0.STM0443,611
127,gene_127,STM_v1_0.STM0444,859
128,gene_128,STM_v1_0.STM0457,478
129,gene_129,STM_v1_0.STM0464,541
130,gene_130,STM_v1_0.STM0472,283
131,gene_131,STM_v1_0.STM0483,347
132,gene_132,STM_v1_0.STM0488,410
133,gene_133,STM_v1_0.STM0489,605
134,gene_134,STM_v1_0.STM0491,846
135,gene_135,STM_v1_0.STM0494,1030
136,gene_136,STM_v1_0.STM0498,1462
137,gene_137,STM_v1_0.STM0506,302
139,gene_139,STM_v1_0.STM0532,338
140,gene_140,STM_v1_0.STM0533,662
141,gene_141,STM_v1_0.STM0534,309
142,gene_142,STM_v1_0.STM0535,423
143,gene_143,STM_v1_0.STM0537,903
144,gene_144,STM_v1_0.STM0542,551
145,gene_145,STM_v1_0.STM0568,811
146,gene_146,STM_v1_0.STM0585,1410
147,gene_147,STM_v1_0.STM0586,652
148,gene_148,STM_v1_0.STM0588,2109
149,gene_149,STM_v1_0.STM0589,558
150,gene_150,STM_v1_0.STM0590,492
151,gene_151,STM_v1_0.STM0591,539
152,gene_152,STM_v1_0.STM0592,536
153,gene_153,STM_v1_0.STM0593,706
154,gene_154,STM_v1_0.STM0594,498
155,gene_155,STM_v1_0.STM0595,698
156,gene_156,STM_v1_0.STM0596,946
157,gene_157,STM_v1_0.STM0597,529
158,gene_158,STM_v1_0.STM0598,436
159,gene_159,STM_v1_0.STM0607,447
160,gene_160,STM_v1_0.STM0608,379
161,gene_161,STM_v1_0.STM0609,984
162,gene_162,STM_v1_0.STM0618,917
163,gene_163,STM_v1_0.STM0619,484
164,gene_164,STM_v1_0.STM0620,275
165,gene_165,STM_v1_0.STM0621,907
166,gene_166,STM_v1_0.STM0622,561
167,gene_167,STM_v1_0.STM0623,179
168,gene_168,STM_v1_0.STM0627,809
169,gene_169,STM_v1_0.STM0628,348
170,gene_170,STM_v1_0.STM0637,782
171,gene_171,STM_v1_0.STM0640,1247
172,gene_172,STM_v1_0.STM0643,330
173,gene_173,STM_v1_0.STM0644,552
174,gene_174,STM_v1_0.STM0645,395
175,gene_175,STM_v1_0.STM0648,1684
176,gene_176,STM_v1_0.STM0659,265
177,gene_177,STM_v1_0.STM0661,581
178,gene_178,STM_v1_0.STM0663,401
179,gene_179,STM_v1_0.STM0664,473
180,gene_180,STM_v1_0.STM0665,573
181,gene_181,STM_v1_0.STM0666,943
182,gene_182,STM_v1_0.STM0671,701
183,gene_183,STM_v1_0.STM0680,1097
184,gene_184,STM_v1_0.STM0683,728
185,gene_185,STM_v1_0.STM0684,533
186,gene_186,STM_v1_0.STM0686,1118
187,gene_187,STM_v1_0.STM0689,796
188,gene_188,STM_v1_0.STM0690,704
189,gene_189,STM_v1_0.STM0691,898
190,gene_190,STM_v1_0.STM0694,363
191,gene_191,STM_v1_0.STM0698,1052
192,gene_192,STM_v1_0.STM0700,799
193,gene_193,STM_v1_0.STM0701,1408
194,gene_194,STM_v1_0.STM0704,282
195,gene_195,STM_v1_0.STM0705,1189
196,gene_196,STM_v1_0.STM0706,931
197,gene_197,STM_v1_0.STM0730,842
198,gene_198,STM_v1_0.STM0732,232
199,gene_199,STM_v1_0.STM0733,201
200,gene_200,STM_v1_0.STM0734,1154
201,gene_201,STM_v1_0.STM0735,489
202,gene_202,STM_v1_0.STM0736,1812
203,gene_203,STM_v1_0.STM0737,722
204,gene_204,STM_v1_0.STM0738,743
205,gene_205,STM_v1_0.STM0739,555
206,gene_206,STM_v1_0.STM0740,976
207,gene_207,STM_v1_0.STM0741,739
208,gene_208,STM_v1_0.STM0756,646
209,gene_209,STM_v1_0.STM0757,420
210,gene_210,STM_v1_0.STM0758,548
211,gene_211,STM_v1_0.STM0760,654
212,gene_212,STM_v1_0.STM0772,493
213,gene_213,STM_v1_0.STM0773,622
214,gene_214,STM_v1_0.STM0774,706
215,gene_215,STM_v1_0.STM0775,691
216,gene_216,STM_v1_0.STM0776,665
217,gene_217,STM_v1_0.STM0781,457
218,gene_218,STM_v1_0.STM0782,429
219,gene_219,STM_v1_0.STM0783,655
220,gene_220,STM_v1_0.STM0785,644
221,gene_221,STM_v1_0.STM0787,658
222,gene_222,STM_v1_0.STM0788,494
223,gene_223,STM_v1_0.STM0791,871
224,gene_224,STM_v1_0.STM0793,803
225,gene_225,STM_v1_0.STM0794,651
226,gene_226,STM_v1_0.STM0795,634
227,gene_227,STM_v1_0.STM0797,360
228,gene_228,STM_v1_0.STM0812,770
229,gene_229,STM_v1_0.STM0828,454
230,gene_230,STM_v1_0.STM0829,361
231,gene_231,STM_v1_0.STM0830,470
232,gene_232,STM_v1_0.STM0832,513
233,gene_233,STM_v1_0.STM0837,581
234,gene_234,STM_v1_0.STM0842,481
235,gene_235,STM_v1_0.STM0843,1572
236,gene_236,STM_v1_0.STM0844,564
237,gene_237,STM_v1_0.STM0847,540
238,gene_238,STM_v1_0.STM0848,1021
239,gene_239,STM_v1_0.STM0849,922
240,gene_240,STM_v1_0.STM0850,566
241,gene_241,STM_v1_0.STM0851,515
242,gene_242,STM_v1_0.STM0863,734
243,gene_243,STM_v1_0.STM0865,353
244,gene_244,STM_v1_0.STM0866,727
245,gene_245,STM_v1_0.STM0872,180
246,gene_246,STM_v1_0.STM0877,726
247,gene_247,STM_v1_0.STM0878,700
248,gene_248,STM_v1_0.STM0879,599
249,gene_249,STM_v1_0.STM0880,513
250,gene_250,STM_v1_0.STM0887,451
251,gene_251,STM_v1_0.STM0888,385
252,gene_252,STM_v1_0.STM0889,434
253,gene_253,STM_v1_0.STM0890,476
254,gene_254,STM_v1_0.STM0891,453
255,gene_255,STM_v1_0.STM0934,604
256,gene_256,STM_v1_0.STM0935,1085
257,gene_257,STM_v1_0.STM0956,968
258,gene_258,STM_v1_0.STM0957,1010
259,gene_259,STM_v1_0.STM0958,617
260,gene_260,STM_v1_0.STM0963,841
261,gene_261,STM_v1_0.STM0964,1599
262,gene_262,STM_v1_0.STM0965,443
263,gene_263,STM_v1_0.STM0966,507
264,gene_264,STM_v1_0.STM0970,503
265,gene_265,STM_v1_0.STM0973,1496
266,gene_266,STM_v1_0.STM0974,543
267,gene_267,STM_v1_0.STM0977,672
268,gene_268,STM_v1_0.STM0978,775
269,gene_269,STM_v1_0.STM0980,424
270,gene_270,STM_v1_0.STM0984,1064
271,gene_271,STM_v1_0.STM0985,556
272,gene_272,STM_v1_0.STM0988,469
273,gene_273,STM_v1_0.STM0998,761
274,gene_274,STM_v1_0.STM1000,883
275,gene_275,STM_v1_0.STM1004,751
276,gene_276,STM_v1_0.STM1057,1665
277,gene_277,STM_v1_0.STM1058,643
278,gene_278,STM_v1_0.STM1067,350
279,gene_279,STM_v1_0.STM1076,305
280,gene_280,STM_v1_0.STM1117,716
281,gene_281,STM_v1_0.STM1125,927
282,gene_282,STM_v1_0.STM1135,538
283,gene_283,STM_v1_0.STM1155,545
284,gene_284,STM_v1_0.STM1160,660
285,gene_285,STM_v1_0.STM1163,636
286,gene_286,STM_v1_0.STM1165,391
287,gene_287,STM_v1_0.STM1193,590
288,gene_288,STM_v1_0.STM1194,556
289,gene_289,STM_v1_0.STM1195,418
290,gene_290,STM_v1_0.STM1196,145
291,gene_291,STM_v1_0.STM1197,782
292,gene_292,STM_v1_0.STM1198,412
293,gene_293,STM_v1_0.STM1200,369
294,gene_294,STM_v1_0.STM1203,917
295,gene_295,STM_v1_0.STM1204,1240
296,gene_296,STM_v1_0.STM1208,402
297,gene_297,STM_v1_0.STM1209,632
298,gene_298,STM_v1_0.STM1211,843
299,gene_299,STM_v1_0.STM1215,570
300,gene_300,STM_v1_0.STM1220,580
301,gene_301,STM_v1_0.STM1221,518
302,gene_302,STM_v1_0.STM1222,685
303,gene_303,STM_v1_0.STM1223,462
304,gene_304,STM_v1_0.STM1225,518
305,gene_305,STM_v1_0.STM1226,710
306,gene_306,STM_v1_0.STM1232,874
307,gene_307,STM_v1_0.STM1235,285
308,gene_308,STM_v1_0.STM1238,830
309,gene_309,STM_v1_0.STM1288,459
310,gene_310,STM_v1_0.STM1290,646
311,gene_311,STM_v1_0.STM1291,269
312,gene_312,STM_v1_0.STM1293,375
313,gene_313,STM_v1_0.STM1294,634
314,gene_314,STM_v1_0.STM1297,657
315,gene_315,STM_v1_0.STM1299,844
316,gene_316,STM_v1_0.STM1301,215
317,gene_317,STM_v1_0.STM1303,710
318,gene_318,STM_v1_0.STM1304,652
319,gene_319,STM_v1_0.STM1305,843
320,gene_320,STM_v1_0.STM1306,721
321,gene_321,STM_v1_0.STM1307,478
322,gene_322,STM_v1_0.STM1310,502
323,gene_323,STM_v1_0.STM1312,199
324,gene_324,STM_v1_0.STM1313,802
325,gene_325,STM_v1_0.STM1314,189
326,gene_326,STM_v1_0.STM1316,842
328,gene_328,STM_v1_0.STM1326,553
329,gene_329,STM_v1_0.STM1333,1292
330,gene_330,STM_v1_0.STM1337,634
331,gene_331,STM_v1_0.STM1338,1489
332,gene_332,STM_v1_0.STM1340,565
333,gene_333,STM_v1_0.STM1341,343
334,gene_334,STM_v1_0.STM1342,390
335,gene_335,STM_v1_0.STM1347,665
336,gene_336,STM_v1_0.STM1349,1515
337,gene_337,STM_v1_0.STM1350,966
338,gene_338,STM_v1_0.STM1358,392
339,gene_339,STM_v1_0.STM1359,533
340,gene_340,STM_v1_0.STM1375,572
341,gene_341,STM_v1_0.STM1377,107
342,gene_342,STM_v1_0.STM1378,876
343,gene_343,STM_v1_0.STM1383,1721
344,gene_344,STM_v1_0.STM1384,487
345,gene_345,STM_v1_0.STM1385,448
346,gene_346,STM_v1_0.STM1426,368
347,gene_347,STM_v1_0.STM1427,734
348,gene_348,STM_v1_0.STM1431,386
349,gene_349,STM_v1_0.STM1433,225
350,gene_350,STM_v1_0.STM1435,249
351,gene_351,STM_v1_0.STM1440,288
352,gene_352,STM_v1_0.STM1446,641
353,gene_353,STM_v1_0.STM1448,430
354,gene_354,STM_v1_0.STM1449,822
355,gene_355,STM_v1_0.STM1450,483
