SampleID,TrueLabel,PredictedProbability
SRR19749385,1.0,0.55556947
SRR19749386,1.0,0.537576
SRR19749387,1.0,0.5553533
SRR19749388,1.0,0.5406129
SRR19749389,1.0,0.5461528
SRR19749390,1.0,0.5203946
SRR19749391,1.0,0.5381509
SRR19749392,1.0,0.5623211
SRR19749393,0.0,0.5170955
SRR19749394,1.0,0.5232698
SRR19749395,1.0,0.49903372
SRR19749396,1.0,0.54514956
SRR19749397,1.0,0.5278074
SRR19749398,1.0,0.5700796
SRR19749399,1.0,0.5614554
SRR19749400,1.0,0.48644602
SRR19749401,1.0,0.5140331
SRR19749402,1.0,0.53026325
SRR19749403,1.0,0.5399778
SRR19749404,0.0,0.48766804
SRR19749405,1.0,0.5851059
SRR19749406,1.0,0.5270672
SRR19749407,1.0,0.5115169
SRR19749408,1.0,0.5458287
SRR19749409,1.0,0.5619502
SRR19749410,1.0,0.51397586
SRR19749411,1.0,0.50392467
SRR19749412,1.0,0.5257868
SRR19749413,1.0,0.53740704
SRR19749414,1.0,0.5312628
SRR19749415,0.0,0.48994586
SRR19749416,1.0,0.52709067
SRR19749417,1.0,0.5624265
SRR19749418,1.0,0.55243844
SRR19749419,1.0,0.5455257
SRR19749420,1.0,0.5058615
SRR19749421,1.0,0.5427537
SRR19749422,1.0,0.5288501
SRR19749423,1.0,0.5588454
SRR19749424,0.0,0.55836856
SRR19749425,0.0,0.5520615
SRR19749426,0.0,0.54491824
SRR19749427,0.0,0.52168757
SRR19749428,0.0,0.5254102
SRR19749429,0.0,0.52473074
SRR19749430,0.0,0.512011
SRR19749431,0.0,0.53008485
SRR19749432,0.0,0.5295462
SRR19749433,0.0,0.49895802
SRR19749434,0.0,0.47767928
SRR19749435,0.0,0.5396223
SRR19749436,0.0,0.5693182
SRR19749437,0.0,0.5430329
SRR19749438,0.0,0.54167295
SRR19749439,0.0,0.5367814
SRR19749440,0.0,0.5292688
SRR19749441,0.0,0.5359684
SRR19749442,0.0,0.5417891
SRR19749443,0.0,0.5361963
SRR19749444,0.0,0.5295928
SRR19749450,1.0,0.5713641
SRR19749451,1.0,0.51948106
SRR19749452,1.0,0.52959746
SRR19749453,1.0,0.51512593
SRR19749454,1.0,0.48307076
SRR19749455,1.0,0.5148647
SRR19749456,1.0,0.5255875
SRR19749457,1.0,0.5312131
SRR19749458,0.0,0.5687126
SRR19749459,1.0,0.50030255
SRR19749460,1.0,0.519156
SRR19749461,1.0,0.5269048
SRR19749462,1.0,0.5382264
SRR19749463,1.0,0.507236
SRR19749464,1.0,0.5221716
SRR19749465,1.0,0.48873657
SRR19749466,1.0,0.5673263
SRR19749467,1.0,0.5422351
SRR19749468,1.0,0.5580308
SRR19749469,0.0,0.559696
SRR19749470,1.0,0.52690667
SRR19749471,1.0,0.5930475
SRR19749472,1.0,0.5687298
SRR19749473,1.0,0.5370404
SRR19749474,1.0,0.5389045
SRR19749475,1.0,0.51453644
SRR19749476,1.0,0.55790037
SRR19749477,1.0,0.54779583
SRR19749478,1.0,0.5443788
SRR19749479,1.0,0.5281484
SRR19749480,0.0,0.5285233
SRR19749481,1.0,0.55231804
SRR19749482,0.0,0.56369585
SRR19749493,0.0,0.5335433
SRR19749504,0.0,0.5627557
SRR19749515,0.0,0.5018908
SRR19749516,0.0,0.4891806
SRR19749517,0.0,0.5131459
