,query_gene,BiGG_gene,score
0,gene_0,STM_v1_0.STM0039,292
1,gene_1,STM_v1_0.STM0047,70
2,gene_2,STM_v1_0.STM0054,272
3,gene_3,STM_v1_0.STM0106,106
4,gene_4,STM_v1_0.STM0130,206
5,gene_5,STM_v1_0.STM0165,318
6,gene_6,STM_v1_0.STM0192,152
7,gene_7,STM_v1_0.STM0202,449
8,gene_8,STM_v1_0.STM0203,190
9,gene_9,STM_v1_0.STM0221,230
10,gene_10,STM_v1_0.STM0245,215
11,gene_11,STM_v1_0.STM0247,323
13,gene_13,STM_v1_0.STM0386,195
14,gene_14,STM_v1_0.STM0525,289
15,gene_15,STM_v1_0.STM0590,196
16,gene_16,STM_v1_0.STM0608,236
17,gene_17,STM_v1_0.STM0609,222
18,gene_18,STM_v1_0.STM0618,140
20,gene_20,STM_v1_0.STM0644,199
21,gene_21,STM_v1_0.STM0659,281
22,gene_22,STM_v1_0.STM0686,612
23,gene_23,STM_v1_0.STM0700,542
24,gene_24,STM_v1_0.STM0701,927
25,gene_25,STM_v1_0.STM0772,293
26,gene_26,STM_v1_0.STM0828,260
27,gene_27,STM_v1_0.STM0829,167
28,gene_28,STM_v1_0.STM0830,165
29,gene_29,STM_v1_0.STM0837,67
32,gene_32,STM_v1_0.STM0848,226
34,gene_34,STM_v1_0.STM0865,60
35,gene_35,STM_v1_0.STM0984,294
36,gene_36,STM_v1_0.STM1101,123
37,gene_37,STM_v1_0.STM1125,449
38,gene_38,STM_v1_0.STM1195,161
39,gene_39,STM_v1_0.STM1196,87
40,gene_40,STM_v1_0.STM1221,97
41,gene_41,STM_v1_0.STM1226,104
43,gene_43,STM_v1_0.STM1349,594
45,gene_45,STM_v1_0.STM1469,485
46,gene_46,STM_v1_0.STM1511,165
47,gene_47,STM_v1_0.STM1522,266
49,gene_49,STM_v1_0.STM1718,128
50,gene_50,STM_v1_0.STM1742,238
52,gene_52,STM_v1_0.STM1954,126
53,gene_53,STM_v1_0.STM2019,432
54,gene_54,STM_v1_0.STM2026,143
55,gene_55,STM_v1_0.STM2027,235
56,gene_56,STM_v1_0.STM2029,247
57,gene_57,STM_v1_0.STM2030,122
58,gene_58,STM_v1_0.STM2032,223
59,gene_59,STM_v1_0.STM2035,310
60,gene_60,STM_v1_0.STM2050,125
61,gene_61,STM_v1_0.STM2058,97
62,gene_62,STM_v1_0.STM2080,486
63,gene_63,STM_v1_0.STM2082,279
64,gene_64,STM_v1_0.STM2104,459
65,gene_65,STM_v1_0.STM2199,124
66,gene_66,STM_v1_0.STM2298,145
67,gene_67,STM_v1_0.STM2301,102
68,gene_68,STM_v1_0.STM2332,160
69,gene_69,STM_v1_0.STM2415,167
70,gene_70,STM_v1_0.STM2432,400
71,gene_71,STM_v1_0.STM2497,468
73,gene_73,STM_v1_0.STM2662,95
74,gene_74,STM_v1_0.STM2683,142
75,gene_75,STM_v1_0.STM2774,152
76,gene_76,STM_v1_0.STM2820,89
79,gene_79,STM_v1_0.STM3002,99
80,gene_80,STM_v1_0.STM3040,480
81,gene_81,STM_v1_0.STM3103,155
82,gene_82,STM_v1_0.STM3106,263
83,gene_83,STM_v1_0.STM3114,865
84,gene_84,STM_v1_0.STM3159,47
86,gene_86,STM_v1_0.STM3190,68
87,gene_87,STM_v1_0.STM3200,338
