SampleID,TrueLabel,PredictedProbability
ERR1746341,1,0.35809597
ERR1746342,1,0.36437684
ERR1746343,1,0.4584063
ERR1746417,1,0.3621128
ERR1746418,1,0.3404431
ERR1746419,1,0.32302907
ERR1746421,1,0.34126952
ERR1746422,1,0.4108356
ERR1746440,1,0.34815907
ERR1746441,1,0.33171895
ERR1746442,1,0.3304605
ERR1746443,1,0.46435955
ERR1746457,1,0.4211419
ERR1746458,1,0.70130527
ERR1746459,1,0.40489095
ERR1746460,1,0.39639583
ERR1746461,1,0.42578092
ERR1746462,1,0.47587708
ERR1746463,1,0.44493854
ERR1746525,1,0.35268533
ERR1746526,1,0.3261227
ERR1746527,1,0.36994824
ERR1746528,1,0.34925175
ERR1746529,1,0.3205068
ERR1746586,1,0.5520623
ERR1746587,1,0.47039887
ERR1746588,1,0.3415606
ERR1746589,1,0.51631516
ERR1746590,1,0.4534746
ERR1746591,1,0.40795246
ERR1746592,1,0.3474982
ERR1746593,1,0.40602964
ERR1746600,1,0.351363
ERR1746601,1,0.32257137
ERR1746602,1,0.31019628
ERR1746603,1,0.3546857
ERR1746604,1,0.33820036
ERR1746605,1,0.34673673
ERR1746606,1,0.36994955
ERR1746620,1,0.3394102
ERR1746621,1,0.33301708
ERR1746622,1,0.3271063
ERR1746681,1,0.54822946
ERR1746682,1,0.48362058
ERR1746683,1,0.48226628
ERR1746684,1,0.35732448
ERR1746685,1,0.46547055
ERR1746686,1,0.45622423
ERR1746687,1,0.366047
ERR1746695,1,0.41940323
ERR1746731,1,0.38673225
ERR1746732,1,0.39727873
ERR1746733,1,0.39362398
ERR1746734,1,0.3235477
ERR1746735,1,0.31453675
ERR1746736,1,0.32439363
ERR1746737,1,0.37542883
ERR1746773,1,0.36863667
ERR1746774,1,0.33198482
ERR1746775,1,0.3078278
ERR1746776,1,0.31768984
ERR1746777,1,0.3498318
ERR1746778,1,0.3533048
ERR1746779,1,0.32396555
ERR1746780,1,0.402093
ERR1746795,1,0.3563146
ERR1746796,1,0.3126269
ERR1746797,1,0.40267587
ERR1746807,1,0.5099115
ERR1746808,1,0.43303394
ERR1746809,1,0.4493247
ERR1746810,1,0.4349715
ERR1746811,1,0.4227465
ERR1746812,1,0.5754908
ERR1746813,1,0.49670017
ERR1746819,0,0.3526465
ERR1746820,0,0.34245947
ERR1746821,0,0.35655484
ERR1746822,0,0.34558585
ERR1746823,0,0.34003878
ERR1746824,0,0.3449287
ERR1746825,0,0.33054045
ERR1746826,0,0.361277
ERR1746827,1,0.41737533
ERR1746828,1,0.35754392
ERR1746829,1,0.38785386
ERR1746833,0,0.32586485
ERR1746834,0,0.31602302
ERR1746835,0,0.35558012
ERR1746836,0,0.3598102
ERR1746837,0,0.3256491
ERR1746838,0,0.38796973
ERR1746839,0,0.36150333
ERR1746840,0,0.37322456
ERR1746841,0,0.3419591
ERR1746842,0,0.31742597
ERR1746843,0,0.31942582
ERR1746844,0,0.32751733
ERR1746845,0,0.32578897
ERR1746846,0,0.3108867
ERR1746847,0,0.31253335
ERR1746848,0,0.30902827
ERR1746849,0,0.31193835
ERR1746850,0,0.35090068
ERR1746851,0,0.3130846
ERR1746852,0,0.32130656
ERR1746853,0,0.36074087
ERR1746854,0,0.36172232
ERR1746855,0,0.38315853
ERR1746856,0,0.32026765
ERR1746857,0,0.35021934
ERR1746858,0,0.33787853
ERR1746859,0,0.32499707
ERR1746860,0,0.3287728
ERR1746861,0,0.3599433
ERR1746862,0,0.32486144
ERR1746863,0,0.3264045
ERR1746864,0,0.42397717
ERR1746865,0,0.32750037
ERR1746866,0,0.32618305
ERR1746869,1,0.63506234
ERR1746870,0,0.33741903
ERR1746871,0,0.35277426
ERR1746872,0,0.383403
ERR1746873,0,0.32876688
ERR1746874,0,0.32617754
ERR1746875,0,0.34240174
ERR1746876,0,0.3517413
ERR1746877,0,0.35538593
ERR1746878,0,0.33851525
ERR1746879,0,0.316714
ERR1746880,0,0.32141012
ERR1746881,0,0.33788526
ERR1746893,1,0.29672644
ERR1746945,0,0.33217484
