,query_gene,BiGG_gene,score
0,gene_0,STM_v1_0.STM0002,468
1,gene_1,STM_v1_0.STM0004,361
2,gene_2,STM_v1_0.STM0045,158
3,gene_3,STM_v1_0.STM0054,343
4,gene_4,STM_v1_0.STM0055,241
5,gene_5,STM_v1_0.STM0064,102
6,gene_6,STM_v1_0.STM0102,471
7,gene_7,STM_v1_0.STM0110,155
8,gene_8,STM_v1_0.STM0111,487
9,gene_9,STM_v1_0.STM0113,444
10,gene_10,STM_v1_0.STM0125,238
11,gene_11,STM_v1_0.STM0129,218
12,gene_12,STM_v1_0.STM0134,167
13,gene_13,STM_v1_0.STM0163,187
15,gene_15,STM_v1_0.STM0207,133
16,gene_16,STM_v1_0.STM0218,235
17,gene_17,STM_v1_0.STM0221,234
18,gene_18,STM_v1_0.STM0222,109
19,gene_19,STM_v1_0.STM0228,91
20,gene_20,STM_v1_0.STM0316,426
21,gene_21,STM_v1_0.STM0321,157
22,gene_22,STM_v1_0.STM0322,313
23,gene_23,STM_v1_0.STM0380,218
25,gene_25,STM_v1_0.STM0417,98
26,gene_26,STM_v1_0.STM0422,509
27,gene_27,STM_v1_0.STM0444,69
28,gene_28,STM_v1_0.STM0537,338
29,gene_29,STM_v1_0.STM0585,47
30,gene_30,STM_v1_0.STM0608,256
32,gene_32,STM_v1_0.STM0643,43
33,gene_33,STM_v1_0.STM0659,265
34,gene_34,STM_v1_0.STM0686,570
36,gene_36,STM_v1_0.STM0740,343
37,gene_37,STM_v1_0.STM0958,292
38,gene_38,STM_v1_0.STM0978,155
39,gene_39,STM_v1_0.STM0980,143
40,gene_40,STM_v1_0.STM0984,194
42,gene_42,STM_v1_0.STM1000,511
43,gene_43,STM_v1_0.STM1196,81
44,gene_44,STM_v1_0.STM1197,370
45,gene_45,STM_v1_0.STM1221,157
46,gene_46,STM_v1_0.STM1288,261
47,gene_47,STM_v1_0.STM1290,430
48,gene_48,STM_v1_0.STM1294,268
49,gene_49,STM_v1_0.STM1299,520
50,gene_50,STM_v1_0.STM1431,198
51,gene_51,STM_v1_0.STM1449,350
52,gene_52,STM_v1_0.STM1468,835
54,gene_54,STM_v1_0.STM1502,63
55,gene_55,STM_v1_0.STM1525,307
57,gene_57,STM_v1_0.STM1750,150
58,gene_58,STM_v1_0.STM1792,355
59,gene_59,STM_v1_0.STM1883,487
60,gene_60,STM_v1_0.STM2017,79
61,gene_61,STM_v1_0.STM2034,205
62,gene_62,STM_v1_0.STM2050,115
63,gene_63,STM_v1_0.STM2071,220
64,gene_64,STM_v1_0.STM2076,189
65,gene_65,STM_v1_0.STM2080,471
66,gene_66,STM_v1_0.STM2090,461
67,gene_67,STM_v1_0.STM2095,374
68,gene_68,STM_v1_0.STM2097,405
69,gene_69,STM_v1_0.STM2109,417
70,gene_70,STM_v1_0.STM2146,113
72,gene_72,STM_v1_0.STM2298,148
73,gene_73,STM_v1_0.STM2327,167
74,gene_74,STM_v1_0.STM2370,217
75,gene_75,STM_v1_0.STM2384,279
76,gene_76,STM_v1_0.STM2421,351
77,gene_77,STM_v1_0.STM2427,404
79,gene_79,STM_v1_0.STM2472,660
80,gene_80,STM_v1_0.STM2489,206
81,gene_81,STM_v1_0.STM2510,550
82,gene_82,STM_v1_0.STM2555,261
83,gene_83,STM_v1_0.STM2578,155
84,gene_84,STM_v1_0.STM2649,66
85,gene_85,STM_v1_0.STM2669,46
87,gene_87,STM_v1_0.STM2777,49
88,gene_88,STM_v1_0.STM2827,640
89,gene_89,STM_v1_0.STM2840,181
90,gene_90,STM_v1_0.STM2929,180
92,gene_92,STM_v1_0.STM2956,312
93,gene_93,STM_v1_0.STM2991,90
94,gene_94,STM_v1_0.STM3001,53
95,gene_95,STM_v1_0.STM3002,112
96,gene_96,STM_v1_0.STM3040,461
98,gene_98,STM_v1_0.STM3076,378
99,gene_99,STM_v1_0.STM3091,75
100,gene_100,STM_v1_0.STM3113,224
101,gene_101,STM_v1_0.STM3134,142
102,gene_102,STM_v1_0.STM3137,487
103,gene_103,STM_v1_0.STM3165,212
105,gene_105,STM_v1_0.STM3247,215
106,gene_106,STM_v1_0.STM3305,167
107,gene_107,STM_v1_0.STM3351,349
108,gene_108,STM_v1_0.STM3352,241
109,gene_109,STM_v1_0.STM3390,196
110,gene_110,STM_v1_0.STM3391,714
111,gene_111,STM_v1_0.STM3409,192
112,gene_112,STM_v1_0.STM3481,220
113,gene_113,STM_v1_0.STM3486,156
114,gene_114,STM_v1_0.STM3493,232
115,gene_115,STM_v1_0.STM3500,723
116,gene_116,STM_v1_0.STM3583,52
117,gene_117,STM_v1_0.STM3599,411
119,gene_119,STM_v1_0.STM3704,452
120,gene_120,STM_v1_0.STM3709,459
121,gene_121,STM_v1_0.STM3714,55
122,gene_122,STM_v1_0.STM3742,288
123,gene_123,STM_v1_0.STM3865,582
124,gene_124,STM_v1_0.STM3866,152
