SampleID,TrueLabel,PredictedProbability
ERR4682180,1.0,0.6
ERR4682181,1.0,0.574
ERR4682182,1.0,0.668
ERR4682183,1.0,0.612
ERR4682184,1.0,0.702
ERR4682185,1.0,0.696
ERR4682186,1.0,0.606
ERR4682187,1.0,0.586
ERR4682188,0.0,0.648
ERR4682189,0.0,0.618
ERR4682190,0.0,0.48
ERR4682191,0.0,0.464
ERR4682192,0.0,0.58
ERR4682193,0.0,0.576
ERR4682194,0.0,0.618
ERR4682195,0.0,0.576
ERR4682196,0.0,0.51
ERR4682197,0.0,0.522
ERR4682198,0.0,0.614
ERR4682199,0.0,0.62
ERR4682200,0.0,0.574
ERR4682201,0.0,0.582
ERR4682202,0.0,0.606
ERR4682203,0.0,0.614
ERR4682204,0.0,0.612
ERR4682205,0.0,0.612
ERR4682206,1.0,0.562
ERR4682207,1.0,0.508
ERR4682208,1.0,0.528
ERR4682209,1.0,0.526
ERR4682210,1.0,0.532
ERR4682211,1.0,0.498
ERR4682212,1.0,0.558
ERR4682213,1.0,0.602
ERR4682214,1.0,0.49
ERR4682215,1.0,0.516
ERR4682216,1.0,0.576
ERR4682217,1.0,0.592
ERR4682218,1.0,0.564
ERR4682219,1.0,0.566
ERR4682220,1.0,0.586
ERR4682221,1.0,0.608
ERR4682222,1.0,0.658
ERR4682223,1.0,0.642
ERR4682224,1.0,0.532
ERR4682225,1.0,0.53
ERR4682226,1.0,0.56
ERR4682227,1.0,0.578
ERR4682228,1.0,0.59
ERR4682229,1.0,0.516
ERR4682230,1.0,0.658
ERR4682231,1.0,0.588
ERR4682232,1.0,0.634
ERR4682233,1.0,0.594
ERR4682234,1.0,0.564
ERR4682235,1.0,0.542
ERR4682236,1.0,0.598
ERR4682237,1.0,0.586
ERR4682238,1.0,0.708
ERR4682239,1.0,0.694
ERR4682240,1.0,0.49
ERR4682241,1.0,0.506
ERR4682242,1.0,0.584
ERR4682243,1.0,0.538
ERR4682244,1.0,0.524
ERR4682245,1.0,0.53
ERR4682246,0.0,0.556
ERR4682247,0.0,0.56
ERR4682248,0.0,0.62
ERR4682249,0.0,0.62
ERR4682250,0.0,0.48
ERR4682251,0.0,0.512
ERR4682252,0.0,0.534
ERR4682253,0.0,0.53
ERR4682254,0.0,0.49
ERR4682255,0.0,0.566
ERR4682256,0.0,0.618
ERR4682257,0.0,0.586
ERR4682258,0.0,0.554
ERR4682259,0.0,0.548
ERR4682260,0.0,0.454
ERR4682261,0.0,0.442
ERR4682262,1.0,0.504
ERR4682263,1.0,0.492
ERR4682264,0.0,0.524
ERR4682265,0.0,0.5
ERR4682266,0.0,0.54
ERR4682267,0.0,0.522
ERR4682268,1.0,0.634
ERR4682269,1.0,0.62
ERR4682270,1.0,0.474
ERR4682271,1.0,0.496
ERR4682272,0.0,0.438
ERR4682273,0.0,0.492
ERR4682274,0.0,0.452
ERR4682275,0.0,0.47
ERR4682276,1.0,0.468
ERR4682277,1.0,0.498
ERR4682278,1.0,0.484
ERR4682279,1.0,0.478
ERR4682280,0.0,0.518
ERR4682281,0.0,0.514
ERR4682282,1.0,0.518
ERR4682283,1.0,0.496
ERR4682284,0.0,0.502
ERR4682285,0.0,0.538
ERR4682286,0.0,0.536
ERR4682287,0.0,0.57
ERR4682288,1.0,0.472
ERR4682289,1.0,0.484
ERR4682290,0.0,0.478
ERR4682291,0.0,0.446
ERR4682292,1.0,0.56
ERR4682293,1.0,0.626
ERR4682294,0.0,0.464
ERR4682295,0.0,0.418
ERR4682296,0.0,0.528
ERR4682297,0.0,0.532
ERR4682298,0.0,0.492
ERR4682299,0.0,0.462
ERR4682300,1.0,0.636
ERR4682301,1.0,0.638
ERR4682302,0.0,0.526
ERR4682303,0.0,0.512
ERR4682304,0.0,0.494
ERR4682305,0.0,0.488
ERR4682306,1.0,0.562
ERR4682307,1.0,0.562
ERR4682308,1.0,0.538
ERR4682309,1.0,0.53
ERR4682310,0.0,0.676
ERR4682311,0.0,0.664
ERR4682312,1.0,0.538
ERR4682313,1.0,0.522
