SampleID,TrueLabel,PredictedProbability
ERR2836366,0.0,0.34524858
ERR2836367,0.0,0.68875235
ERR2836368,0.0,0.6941605
ERR2836369,0.0,0.68376666
ERR2836370,0.0,0.63599813
ERR2836371,1.0,0.74942744
ERR2836372,0.0,0.725904
ERR2836373,0.0,0.6128587
ERR2836374,0.0,0.77018577
ERR2836376,0.0,0.47691128
ERR2836377,0.0,0.5205884
ERR2836378,0.0,0.59889066
ERR2836379,0.0,0.6963647
ERR2836380,1.0,0.7078144
ERR2836381,0.0,0.7397018
ERR2836382,0.0,0.592456
ERR2836383,0.0,0.7607714
ERR2836384,0.0,0.67194766
ERR2836385,0.0,0.7371333
ERR2836386,0.0,0.7469715
ERR2836387,0.0,0.76593566
ERR2836388,0.0,0.583075
ERR2836389,0.0,0.31520584
ERR2836390,0.0,0.7573968
ERR2836391,0.0,0.7660252
ERR2836392,0.0,0.5901827
ERR2836393,0.0,0.5502661
ERR2836394,0.0,0.7086468
ERR2836395,0.0,0.74966156
ERR2836396,0.0,0.74860764
ERR2836397,0.0,0.76200026
ERR2836398,0.0,0.7514163
ERR2836399,0.0,0.69776446
ERR2836400,0.0,0.49165168
ERR2836401,0.0,0.29209998
ERR2836402,0.0,0.52050906
ERR2836404,0.0,0.62697256
ERR2836405,0.0,0.77991796
ERR2836406,0.0,0.77233964
ERR2836407,0.0,0.7416615
ERR2836408,1.0,0.75462687
ERR2836409,0.0,0.7259028
ERR2836411,0.0,0.7765697
ERR2836412,0.0,0.6562116
ERR2836413,0.0,0.7636773
ERR2836414,0.0,0.69225746
ERR2836415,0.0,0.6095326
ERR2836416,0.0,0.7529386
ERR2836417,0.0,0.7150038
ERR2836418,0.0,0.74751514
ERR2836419,0.0,0.48252138
ERR2836420,0.0,0.6405849
ERR2836421,0.0,0.56520194
ERR2836422,0.0,0.77617496
ERR2836423,0.0,0.763726
ERR2836424,0.0,0.7286162
ERR2836425,0.0,0.75555164
ERR2836426,0.0,0.6222254
ERR2836427,0.0,0.7506031
ERR2836428,0.0,0.7435069
ERR2836429,0.0,0.79112285
ERR2836430,0.0,0.75261754
ERR2836431,0.0,0.783366
ERR2836432,0.0,0.746694
ERR2836433,0.0,0.7097916
ERR2836435,0.0,0.74449104
ERR2836436,0.0,0.72370994
ERR2836437,0.0,0.783525
ERR2836438,0.0,0.70395166
ERR2836439,1.0,0.738399
ERR2836440,0.0,0.7687642
ERR2836441,1.0,0.77028334
ERR2836442,1.0,0.6972645
