SampleID,TrueLabel,PredictedProbability
SRR22118463,1,0.414
SRR22118464,1,0.442
SRR22118465,1,0.21
SRR22118466,0,0.244
SRR22118467,1,0.278
SRR22118468,0,0.21
SRR22118469,0,0.336
SRR22118470,0,0.394
SRR22118471,0,0.318
SRR22118472,0,0.196
SRR22118473,0,0.386
SRR22118474,0,0.318
SRR22118475,0,0.414
SRR22118476,0,0.234
SRR22118477,0,0.172
SRR22118478,1,0.37
SRR22118479,0,0.526
SRR22118480,0,0.328
SRR22118481,0,0.316
SRR22118482,0,0.258
SRR22118483,0,0.646
SRR22118484,0,0.244
SRR22118485,0,0.376
SRR22118486,0,0.528
SRR22118487,0,0.19
SRR22118488,0,0.228
SRR22118489,1,0.384
SRR22118490,1,0.274
SRR22118491,1,0.258
SRR22118492,1,0.382
SRR22118494,1,0.534
SRR22118495,1,0.528
SRR22118496,1,0.506
SRR22118497,0,0.212
SRR22118498,1,0.478
SRR22118499,1,0.428
SRR22118500,1,0.39
SRR22118501,1,0.29
SRR22118502,1,0.318
SRR22118503,1,0.248
SRR22118504,1,0.384
SRR22118505,1,0.286
SRR22118506,1,0.29
SRR22118507,1,0.252
SRR22118508,1,0.254
SRR22118509,1,0.582
SRR22118510,1,0.61
SRR22118511,1,0.512
SRR22118512,1,0.522
SRR22118513,1,0.25
SRR22118514,1,0.55
SRR22118515,1,0.328
SRR22118516,1,0.346
SRR22118517,1,0.678
SRR22118518,1,0.316
SRR22118519,1,0.334
SRR22118520,1,0.344
SRR22118521,1,0.404
SRR22118522,1,0.31
SRR22118523,1,0.37
