,query_gene,BiGG_gene,score
0,gene_0,STM_v1_0.STM0047,53
1,gene_1,STM_v1_0.STM0054,402
2,gene_2,STM_v1_0.STM0055,496
3,gene_3,STM_v1_0.STM0059,90
4,gene_4,STM_v1_0.STM0061,570
5,gene_5,STM_v1_0.STM0101,282
7,gene_7,STM_v1_0.STM0163,299
8,gene_8,STM_v1_0.STM0165,300
9,gene_9,STM_v1_0.STM0247,252
10,gene_10,STM_v1_0.STM0368,141
12,gene_12,STM_v1_0.STM0380,305
13,gene_13,STM_v1_0.STM0386,248
14,gene_14,STM_v1_0.STM0428,93
15,gene_15,STM_v1_0.STM0472,170
16,gene_16,STM_v1_0.STM0488,216
17,gene_17,STM_v1_0.STM0518,54
18,gene_18,STM_v1_0.STM0525,278
19,gene_19,STM_v1_0.STM0619,159
20,gene_20,STM_v1_0.STM0621,549
21,gene_21,STM_v1_0.STM0623,90
22,gene_22,STM_v1_0.STM0643,73
23,gene_23,STM_v1_0.STM0644,249
24,gene_24,STM_v1_0.STM0659,269
25,gene_25,STM_v1_0.STM0686,600
27,gene_27,STM_v1_0.STM0774,117
28,gene_28,STM_v1_0.STM0830,111
29,gene_29,STM_v1_0.STM0832,46
30,gene_30,STM_v1_0.STM0849,195
31,gene_31,STM_v1_0.STM0850,233
32,gene_32,STM_v1_0.STM0851,191
33,gene_33,STM_v1_0.STM0878,243
34,gene_34,STM_v1_0.STM0970,205
35,gene_35,STM_v1_0.STM0984,276
36,gene_36,STM_v1_0.STM1101,130
37,gene_37,STM_v1_0.STM1106,158
38,gene_38,STM_v1_0.STM1125,355
39,gene_39,STM_v1_0.STM1195,157
40,gene_40,STM_v1_0.STM1221,91
41,gene_41,STM_v1_0.STM1226,255
43,gene_43,STM_v1_0.STM1290,434
44,gene_44,STM_v1_0.STM1301,88
45,gene_45,STM_v1_0.STM1316,71
46,gene_46,STM_v1_0.STM1359,149
47,gene_47,STM_v1_0.STM1449,302
48,gene_48,STM_v1_0.STM1469,541
49,gene_49,STM_v1_0.STM1497,120
50,gene_50,STM_v1_0.STM1517,56
53,gene_53,STM_v1_0.STM1731,138
54,gene_54,STM_v1_0.STM1742,307
55,gene_55,STM_v1_0.STM1743,305
57,gene_57,STM_v1_0.STM1780,89
58,gene_58,STM_v1_0.STM1884,181
59,gene_59,STM_v1_0.STM1901,430
61,gene_61,STM_v1_0.STM1954,116
62,gene_62,STM_v1_0.STM2018,43
63,gene_63,STM_v1_0.STM2019,462
64,gene_64,STM_v1_0.STM2026,138
66,gene_66,STM_v1_0.STM2032,268
67,gene_67,STM_v1_0.STM2034,227
68,gene_68,STM_v1_0.STM2035,139
69,gene_69,STM_v1_0.STM2047,161
72,gene_72,STM_v1_0.STM2097,346
73,gene_73,STM_v1_0.STM2188,268
74,gene_74,STM_v1_0.STM2189,518
75,gene_75,STM_v1_0.STM2190,259
76,gene_76,STM_v1_0.STM2289,106
77,gene_77,STM_v1_0.STM2332,158
78,gene_78,STM_v1_0.STM2356,178
79,gene_79,STM_v1_0.STM2427,535
80,gene_80,STM_v1_0.STM2431,68
81,gene_81,STM_v1_0.STM2432,444
82,gene_82,STM_v1_0.STM2441,110
83,gene_83,STM_v1_0.STM2497,446
84,gene_84,STM_v1_0.STM2501,382
85,gene_85,STM_v1_0.STM2555,488
86,gene_86,STM_v1_0.STM2662,122
88,gene_88,STM_v1_0.STM2788,350
89,gene_89,STM_v1_0.STM2820,56
90,gene_90,STM_v1_0.STM2840,202
91,gene_91,STM_v1_0.STM2916,132
93,gene_93,STM_v1_0.STM2952,476
94,gene_94,STM_v1_0.STM2959,286
95,gene_95,STM_v1_0.STM2973,437
96,gene_96,STM_v1_0.STM3002,89
97,gene_97,STM_v1_0.STM3054,109
98,gene_98,STM_v1_0.STM3091,41
99,gene_99,STM_v1_0.STM3103,167
101,gene_101,STM_v1_0.STM3137,543
102,gene_102,STM_v1_0.STM3190,77
103,gene_103,STM_v1_0.STM3205,107
104,gene_104,STM_v1_0.STM3225,73
105,gene_105,STM_v1_0.STM3247,263
106,gene_106,STM_v1_0.STM3248,420
107,gene_107,STM_v1_0.STM3249,148
108,gene_108,STM_v1_0.STM3261,254
110,gene_110,STM_v1_0.STM3351,400
111,gene_111,STM_v1_0.STM3352,498
113,gene_113,STM_v1_0.STM3356,550
114,gene_114,STM_v1_0.STM3380,480
115,gene_115,STM_v1_0.STM3390,49
116,gene_116,STM_v1_0.STM3409,216
117,gene_117,STM_v1_0.STM3481,391
118,gene_118,STM_v1_0.STM3482,73
119,gene_119,STM_v1_0.STM3483,137
120,gene_120,STM_v1_0.STM3506,50
122,gene_122,STM_v1_0.STM3514,651
123,gene_123,STM_v1_0.STM3534,693
124,gene_124,STM_v1_0.STM3538,599
125,gene_125,STM_v1_0.STM3560,229
126,gene_126,STM_v1_0.STM3561,231
127,gene_127,STM_v1_0.STM3562,189
128,gene_128,STM_v1_0.STM3563,236
129,gene_129,STM_v1_0.STM3626,298
130,gene_130,STM_v1_0.STM3627,308
131,gene_131,STM_v1_0.STM3629,211
132,gene_132,STM_v1_0.STM3630,144
135,gene_135,STM_v1_0.STM3671,54
136,gene_136,STM_v1_0.STM3672,332
137,gene_137,STM_v1_0.STM3673,189
138,gene_138,STM_v1_0.STM3677,303
139,gene_139,STM_v1_0.STM3685,486
140,gene_140,STM_v1_0.STM3697,152
141,gene_141,STM_v1_0.STM3717,58
142,gene_142,STM_v1_0.STM3725,160
143,gene_143,STM_v1_0.STM3731,128
145,gene_145,STM_v1_0.STM3828,484
146,gene_146,STM_v1_0.STM3829,57
148,gene_148,STM_v1_0.STM3883,182
149,gene_149,STM_v1_0.STM3884,68
150,gene_150,STM_v1_0.STM3885,236
