,query_gene,BiGG_gene,score
0,gene_0,STM_v1_0.STM0007,296
1,gene_1,STM_v1_0.STM0045,260
2,gene_2,STM_v1_0.STM0047,144
3,gene_3,STM_v1_0.STM0049,353
4,gene_4,STM_v1_0.STM0060,140
5,gene_5,STM_v1_0.STM0064,291
6,gene_6,STM_v1_0.STM0066,490
7,gene_7,STM_v1_0.STM0067,1437
8,gene_8,STM_v1_0.STM0070,125
9,gene_9,STM_v1_0.STM0071,216
10,gene_10,STM_v1_0.STM0086,515
11,gene_11,STM_v1_0.STM0122,362
12,gene_12,STM_v1_0.STM0124,255
13,gene_13,STM_v1_0.STM0128,268
14,gene_14,STM_v1_0.STM0129,471
15,gene_15,STM_v1_0.STM0130,299
16,gene_16,STM_v1_0.STM0134,314
17,gene_17,STM_v1_0.STM0140,116
18,gene_18,STM_v1_0.STM0146,171
19,gene_19,STM_v1_0.STM0152,1057
20,gene_20,STM_v1_0.STM0153,473
21,gene_21,STM_v1_0.STM0154,551
22,gene_22,STM_v1_0.STM0158,1242
23,gene_23,STM_v1_0.STM0163,235
24,gene_24,STM_v1_0.STM0169,724
25,gene_25,STM_v1_0.STM0171,242
26,gene_26,STM_v1_0.STM0180,142
27,gene_27,STM_v1_0.STM0191,464
28,gene_28,STM_v1_0.STM0202,481
29,gene_29,STM_v1_0.STM0207,134
30,gene_30,STM_v1_0.STM0213,290
31,gene_31,STM_v1_0.STM0218,249
32,gene_32,STM_v1_0.STM0220,364
33,gene_33,STM_v1_0.STM0221,221
35,gene_35,STM_v1_0.STM0227,179
36,gene_36,STM_v1_0.STM0228,166
37,gene_37,STM_v1_0.STM0232,379
38,gene_38,STM_v1_0.STM0242,616
39,gene_39,STM_v1_0.STM0245,225
40,gene_40,STM_v1_0.STM0247,233
41,gene_41,STM_v1_0.STM0309,516
42,gene_42,STM_v1_0.STM0353,524
43,gene_43,STM_v1_0.STM0364,374
44,gene_44,STM_v1_0.STM0368,191
45,gene_45,STM_v1_0.STM0369,615
46,gene_46,STM_v1_0.STM0371,828
47,gene_47,STM_v1_0.STM0416,274
48,gene_48,STM_v1_0.STM0417,68
49,gene_49,STM_v1_0.STM0419,246
50,gene_50,STM_v1_0.STM0420,96
51,gene_51,STM_v1_0.STM0422,721
53,gene_53,STM_v1_0.STM0429,81
54,gene_54,STM_v1_0.STM0440,108
55,gene_55,STM_v1_0.STM0441,245
56,gene_56,STM_v1_0.STM0442,900
57,gene_57,STM_v1_0.STM0443,278
58,gene_58,STM_v1_0.STM0463,405
59,gene_59,STM_v1_0.STM0464,241
60,gene_60,STM_v1_0.STM0488,278
61,gene_61,STM_v1_0.STM0489,281
62,gene_62,STM_v1_0.STM0498,500
63,gene_63,STM_v1_0.STM0506,67
64,gene_64,STM_v1_0.STM0517,890
65,gene_65,STM_v1_0.STM0518,305
66,gene_66,STM_v1_0.STM0519,334
67,gene_67,STM_v1_0.STM0534,171
68,gene_68,STM_v1_0.STM0535,149
69,gene_69,STM_v1_0.STM0537,473
70,gene_70,STM_v1_0.STM0593,53
71,gene_71,STM_v1_0.STM0597,53
72,gene_72,STM_v1_0.STM0598,91
73,gene_73,STM_v1_0.STM0608,237
74,gene_74,STM_v1_0.STM0609,653
75,gene_75,STM_v1_0.STM0619,129
76,gene_76,STM_v1_0.STM0640,438
77,gene_77,STM_v1_0.STM0659,251
78,gene_78,STM_v1_0.STM0663,182
79,gene_79,STM_v1_0.STM0664,191
80,gene_80,STM_v1_0.STM0665,288
81,gene_81,STM_v1_0.STM0686,578
82,gene_82,STM_v1_0.STM0689,558
83,gene_83,STM_v1_0.STM0690,504
84,gene_84,STM_v1_0.STM0691,759
85,gene_85,STM_v1_0.STM0705,888
86,gene_86,STM_v1_0.STM0706,615
87,gene_87,STM_v1_0.STM0730,563
