SampleID,TrueLabel,PredictedProbability
CRR345250,1.0,0.7715481
CRR345251,1.0,0.77120286
CRR345252,1.0,0.5259744
CRR345253,1.0,0.5642279
CRR345254,1.0,0.69867367
CRR345255,1.0,0.7725814
CRR345256,1.0,0.48852322
CRR345257,1.0,0.4720298
CRR345258,1.0,0.3799351
CRR345259,1.0,0.7595037
CRR345260,1.0,0.9155634
CRR345261,1.0,0.7447158
CRR345262,1.0,0.55721337
CRR345263,1.0,0.57786053
CRR345264,1.0,0.78449976
CRR345265,1.0,0.60820574
CRR345266,1.0,0.42365998
CRR345267,1.0,0.8548632
CRR345268,1.0,0.35814372
CRR345269,1.0,0.34171504
CRR345270,1.0,0.5234093
CRR345271,1.0,0.8014894
CRR345272,1.0,0.8445184
CRR345273,1.0,0.80757827
CRR345274,1.0,0.8191583
CRR345275,1.0,0.76161325
CRR345276,1.0,0.44678336
CRR345277,1.0,0.7501591
CRR345278,1.0,0.88175046
CRR345279,1.0,0.6784577
CRR345280,1.0,0.77442884
CRR345281,1.0,0.58176905
CRR345282,1.0,0.816654
CRR345283,1.0,0.859114
CRR345284,1.0,0.5460077
CRR345285,1.0,0.45540208
CRR345286,1.0,0.62197167
CRR345287,1.0,0.39307117
CRR345288,1.0,0.67136997
CRR345289,1.0,0.3703684
CRR345290,1.0,0.5675875
CRR345291,1.0,0.6678457
CRR345292,1.0,0.81030107
CRR345293,1.0,0.6027987
CRR345294,1.0,0.3382603
CRR345295,1.0,0.26021835
CRR345296,1.0,0.82496446
CRR345297,1.0,0.85028774
CRR345298,0.0,0.63260883
CRR345299,0.0,0.677693
CRR345300,0.0,0.83071786
CRR345301,0.0,0.6953713
CRR345302,0.0,0.80055803
CRR345303,0.0,0.3589611
CRR345304,0.0,0.8170414
CRR345305,0.0,0.9296451
CRR345306,0.0,0.7445202
CRR345307,0.0,0.3460917
CRR345308,0.0,0.3187515
