SampleID,TrueLabel,PredictedProbability
ERR475468,0.0,0.6214107
ERR475469,0.0,0.46084395
ERR475470,0.0,0.716075
ERR475471,0.0,0.2925394
ERR475473,0.0,0.2581685
ERR475474,0.0,0.65191966
ERR475476,0.0,0.42277515
ERR475477,0.0,0.48876333
ERR475478,0.0,0.58615917
ERR475480,0.0,0.78427875
ERR475481,0.0,0.3458885
ERR475482,1.0,0.8625512
ERR475483,0.0,0.6772241
ERR475484,0.0,0.6093295
ERR475485,0.0,0.86328804
ERR475486,0.0,0.423929
ERR475487,0.0,0.8344705
ERR475488,0.0,0.25798705
ERR475491,0.0,0.45746675
ERR475492,0.0,0.28738257
ERR475493,1.0,0.5627876
ERR475494,0.0,0.6164265
ERR475495,0.0,0.37062922
ERR475497,0.0,0.75770783
ERR475499,0.0,0.85715854
ERR475500,1.0,0.8660979
ERR475501,1.0,0.86935824
ERR475503,0.0,0.6957917
ERR475504,0.0,0.6905266
ERR475508,0.0,0.5771359
ERR475509,1.0,0.87383425
ERR475512,0.0,0.48972246
ERR475513,1.0,0.8576717
ERR475514,0.0,0.62595385
ERR475515,1.0,0.6857472
ERR475516,1.0,0.8325145
ERR475517,0.0,0.8518429
ERR475519,0.0,0.87874126
ERR475520,1.0,0.6080587
ERR475521,1.0,0.8523127
ERR475522,0.0,0.2991734
ERR475523,0.0,0.8180326
ERR475524,0.0,0.84474206
ERR475525,0.0,0.53187764
ERR475526,0.0,0.8402403
ERR475527,1.0,0.87096095
ERR475529,1.0,0.87252146
ERR475531,1.0,0.87350076
ERR475532,1.0,0.56042206
ERR475533,1.0,0.8615366
ERR475534,0.0,0.8374118
ERR475539,1.0,0.8680007
ERR475540,1.0,0.87392277
ERR475541,1.0,0.84781516
ERR475545,0.0,0.68679726
ERR475547,1.0,0.86867154
ERR475548,1.0,0.49653387
ERR475549,0.0,0.68820983
ERR475550,0.0,0.8380292
ERR475553,1.0,0.82634676
ERR475555,1.0,0.8186818
ERR475557,1.0,0.87313795
ERR475560,1.0,0.759783
ERR475562,0.0,0.6902584
ERR475563,0.0,0.8422402
ERR475564,0.0,0.7751116
ERR475565,0.0,0.44820258
ERR475566,0.0,0.39082837
ERR475567,0.0,0.5477282
ERR475568,1.0,0.86364293
ERR475569,1.0,0.8754242
ERR475570,0.0,0.7253332
ERR475571,0.0,0.7279379
ERR475572,0.0,0.82272446
ERR475573,1.0,0.85553396
ERR475574,0.0,0.8505017
ERR475575,0.0,0.8670318
ERR475576,1.0,0.8710711
ERR475577,1.0,0.84041137
ERR475578,1.0,0.8373136
ERR475579,1.0,0.87729234
ERR475580,1.0,0.7263617
ERR475581,1.0,0.80955124
ERR475582,1.0,0.8794494
ERR475585,1.0,0.87683785
ERR475586,1.0,0.6887221
ERR475588,1.0,0.7503165
ERR475589,1.0,0.84127736
ERR475591,1.0,0.8620849
ERR475592,1.0,0.8783805
ERR475594,1.0,0.753627
