,query_gene,BiGG_gene,score
0,gene_0,STM_v1_0.STM0047,78
1,gene_1,STM_v1_0.STM0122,182
2,gene_2,STM_v1_0.STM0124,176
3,gene_3,STM_v1_0.STM0125,259
4,gene_4,STM_v1_0.STM0134,192
6,gene_6,STM_v1_0.STM0207,113
7,gene_7,STM_v1_0.STM0218,203
8,gene_8,STM_v1_0.STM0222,116
9,gene_9,STM_v1_0.STM0228,105
10,gene_10,STM_v1_0.STM0232,294
11,gene_11,STM_v1_0.STM0247,140
12,gene_12,STM_v1_0.STM0317,76
13,gene_13,STM_v1_0.STM0444,221
14,gene_14,STM_v1_0.STM0542,261
16,gene_16,STM_v1_0.STM0659,265
17,gene_17,STM_v1_0.STM0666,144
18,gene_18,STM_v1_0.STM0684,259
19,gene_19,STM_v1_0.STM0739,227
20,gene_20,STM_v1_0.STM0828,134
21,gene_21,STM_v1_0.STM0863,141
23,gene_23,STM_v1_0.STM0958,275
24,gene_24,STM_v1_0.STM0963,279
25,gene_25,STM_v1_0.STM0973,1026
26,gene_26,STM_v1_0.STM0984,219
27,gene_27,STM_v1_0.STM0985,134
28,gene_28,STM_v1_0.STM1000,516
29,gene_29,STM_v1_0.STM1193,273
30,gene_30,STM_v1_0.STM1195,258
31,gene_31,STM_v1_0.STM1196,95
32,gene_32,STM_v1_0.STM1197,398
34,gene_34,STM_v1_0.STM1221,218
35,gene_35,STM_v1_0.STM1290,473
36,gene_36,STM_v1_0.STM1301,94
37,gene_37,STM_v1_0.STM1333,636
38,gene_38,STM_v1_0.STM1337,354
39,gene_39,STM_v1_0.STM1338,467
40,gene_40,STM_v1_0.STM1431,162
41,gene_41,STM_v1_0.STM1446,124
42,gene_42,STM_v1_0.STM1449,289
43,gene_43,STM_v1_0.STM1749,1023
44,gene_44,STM_v1_0.STM1826,384
45,gene_45,STM_v1_0.STM1901,416
46,gene_46,STM_v1_0.STM2062,131
47,gene_47,STM_v1_0.STM2095,337
48,gene_48,STM_v1_0.STM2097,361
51,gene_51,STM_v1_0.STM2298,152
52,gene_52,STM_v1_0.STM2338,253
53,gene_53,STM_v1_0.STM2351,150
54,gene_54,STM_v1_0.STM2366,276
56,gene_56,STM_v1_0.STM2427,518
57,gene_57,STM_v1_0.STM2432,283
58,gene_58,STM_v1_0.STM2474,556
59,gene_59,STM_v1_0.STM2546,104
60,gene_60,STM_v1_0.STM2555,471
63,gene_63,STM_v1_0.STM2827,844
64,gene_64,STM_v1_0.STM2952,506
65,gene_65,STM_v1_0.STM2953,634
66,gene_66,STM_v1_0.STM2971,372
68,gene_68,STM_v1_0.STM3016,269
69,gene_69,STM_v1_0.STM3040,403
70,gene_70,STM_v1_0.STM3076,574
71,gene_71,STM_v1_0.STM3090,131
72,gene_72,STM_v1_0.STM3091,295
73,gene_73,STM_v1_0.STM3103,139
74,gene_74,STM_v1_0.STM3158,72
75,gene_75,STM_v1_0.STM3159,124
76,gene_76,STM_v1_0.STM3186,109
77,gene_77,STM_v1_0.STM3240,365
78,gene_78,STM_v1_0.STM3294,279
79,gene_79,STM_v1_0.STM3307,399
80,gene_80,STM_v1_0.STM3315,272
81,gene_81,STM_v1_0.STM3379,89
82,gene_82,STM_v1_0.STM3380,543
84,gene_84,STM_v1_0.STM3391,684
85,gene_85,STM_v1_0.STM3407,248
86,gene_86,STM_v1_0.STM3409,245
88,gene_88,STM_v1_0.STM3487,94
89,gene_89,STM_v1_0.STM3513,348
90,gene_90,STM_v1_0.STM3538,751
93,gene_93,STM_v1_0.STM3704,513
94,gene_94,STM_v1_0.STM3714,58
95,gene_95,STM_v1_0.STM3717,83
96,gene_96,STM_v1_0.STM3724,186
97,gene_97,STM_v1_0.STM3740,134
98,gene_98,STM_v1_0.STM3742,501
99,gene_99,STM_v1_0.STM3862,147
100,gene_100,STM_v1_0.STM3868,60
101,gene_101,STM_v1_0.STM3915,110
102,gene_102,STM_v1_0.STM3922,359
103,gene_103,STM_v1_0.STM3925,388
104,gene_104,STM_v1_0.STM4061,202
105,gene_105,STM_v1_0.STM4081,206
106,gene_106,STM_v1_0.STM4120,63
107,gene_107,STM_v1_0.STM4348,263
108,gene_108,STM_v1_0.STM4453,209
109,gene_109,STM_v1_0.STM4477,265
110,gene_110,STM_v1_0.STM4569,407
112,gene_113,iAF692.Mbar_A0171,41
115,gene_116,iAF692.Mbar_A0227,156
116,gene_117,iAF692.Mbar_A0230,191
118,gene_119,iAF692.Mbar_A0669,178
119,gene_120,iAF692.Mbar_A0784,354
120,gene_121,iAF692.Mbar_A1037,174
121,gene_122,iAF692.Mbar_A1121,153
122,gene_123,iAF692.Mbar_A1223,515
123,gene_124,iAF692.Mbar_A1238,83
124,gene_125,iAF692.Mbar_A1396,969
125,gene_126,iAF692.Mbar_A1481,114
126,gene_127,iAF692.Mbar_A1588,90
127,gene_128,iAF692.Mbar_A1651,160
