,query_gene,BiGG_gene,score
0,gene_0,STM_v1_0.STM0002,493
1,gene_1,STM_v1_0.STM0004,343
2,gene_2,STM_v1_0.STM0045,171
3,gene_3,STM_v1_0.STM0054,351
4,gene_4,STM_v1_0.STM0106,87
5,gene_5,STM_v1_0.STM0110,170
6,gene_6,STM_v1_0.STM0111,502
7,gene_7,STM_v1_0.STM0113,441
8,gene_8,STM_v1_0.STM0125,261
9,gene_9,STM_v1_0.STM0129,216
11,gene_11,STM_v1_0.STM0181,201
12,gene_12,STM_v1_0.STM0203,149
13,gene_13,STM_v1_0.STM0218,237
15,gene_15,STM_v1_0.STM0316,443
16,gene_16,STM_v1_0.STM0321,196
18,gene_18,STM_v1_0.STM0364,67
19,gene_19,STM_v1_0.STM0422,482
20,gene_20,STM_v1_0.STM0431,423
21,gene_21,STM_v1_0.STM0444,58
22,gene_22,STM_v1_0.STM0472,41
23,gene_23,STM_v1_0.STM0483,145
24,gene_24,STM_v1_0.STM0525,328
25,gene_25,STM_v1_0.STM0537,335
26,gene_26,STM_v1_0.STM0542,256
27,gene_27,STM_v1_0.STM0585,59
28,gene_28,STM_v1_0.STM0590,157
29,gene_29,STM_v1_0.STM0659,275
30,gene_30,STM_v1_0.STM0680,717
31,gene_31,STM_v1_0.STM0684,352
32,gene_32,STM_v1_0.STM0686,620
33,gene_33,STM_v1_0.STM0694,129
34,gene_34,STM_v1_0.STM0705,707
35,gene_35,STM_v1_0.STM0740,376
36,gene_36,STM_v1_0.STM0758,166
37,gene_37,STM_v1_0.STM0772,317
39,gene_39,STM_v1_0.STM0935,518
40,gene_40,STM_v1_0.STM0958,296
41,gene_41,STM_v1_0.STM0963,292
42,gene_42,STM_v1_0.STM0978,226
43,gene_43,STM_v1_0.STM1000,530
44,gene_44,STM_v1_0.STM1196,78
45,gene_45,STM_v1_0.STM1221,174
46,gene_46,STM_v1_0.STM1288,303
47,gene_47,STM_v1_0.STM1290,435
48,gene_48,STM_v1_0.STM1294,263
49,gene_49,STM_v1_0.STM1299,547
50,gene_50,STM_v1_0.STM1338,422
51,gene_51,STM_v1_0.STM1340,125
52,gene_52,STM_v1_0.STM1378,329
53,gene_53,STM_v1_0.STM1431,216
54,gene_54,STM_v1_0.STM1449,365
55,gene_55,STM_v1_0.STM1468,866
56,gene_56,STM_v1_0.STM1502,41
57,gene_57,STM_v1_0.STM1522,324
58,gene_58,STM_v1_0.STM1538,652
59,gene_59,STM_v1_0.STM1539,425
60,gene_60,STM_v1_0.STM1647,325
61,gene_61,STM_v1_0.STM1786,410
62,gene_62,STM_v1_0.STM1792,409
63,gene_63,STM_v1_0.STM2009,108
64,gene_64,STM_v1_0.STM2050,124
65,gene_65,STM_v1_0.STM2071,227
66,gene_66,STM_v1_0.STM2072,380
67,gene_67,STM_v1_0.STM2074,330
68,gene_68,STM_v1_0.STM2075,149
69,gene_69,STM_v1_0.STM2076,163
70,gene_70,STM_v1_0.STM2078,187
71,gene_71,STM_v1_0.STM2081,457
72,gene_72,STM_v1_0.STM2082,122
73,gene_73,STM_v1_0.STM2086,100
74,gene_74,STM_v1_0.STM2092,313
75,gene_75,STM_v1_0.STM2094,189
76,gene_76,STM_v1_0.STM2095,400
77,gene_77,STM_v1_0.STM2109,461
78,gene_78,STM_v1_0.STM2141,468
80,gene_80,STM_v1_0.STM2199,110
81,gene_81,STM_v1_0.STM2298,153
82,gene_82,STM_v1_0.STM2301,56
83,gene_83,STM_v1_0.STM2307,352
84,gene_84,STM_v1_0.STM2327,179
85,gene_85,STM_v1_0.STM2351,80
86,gene_86,STM_v1_0.STM2362,107
87,gene_87,STM_v1_0.STM2370,261
