,query_gene,BiGG_gene,score
0,gene_0,STM_v1_0.STM0047,61
1,gene_1,STM_v1_0.STM0054,441
2,gene_2,STM_v1_0.STM0055,194
3,gene_3,STM_v1_0.STM0061,450
4,gene_4,STM_v1_0.STM0106,95
5,gene_5,STM_v1_0.STM0125,317
7,gene_7,STM_v1_0.STM0170,169
8,gene_8,STM_v1_0.STM0218,212
9,gene_9,STM_v1_0.STM0227,127
10,gene_10,STM_v1_0.STM0245,190
11,gene_11,STM_v1_0.STM0247,284
12,gene_12,STM_v1_0.STM0423,207
14,gene_14,STM_v1_0.STM0528,221
16,gene_16,STM_v1_0.STM0608,246
17,gene_17,STM_v1_0.STM0623,49
18,gene_18,STM_v1_0.STM0659,291
19,gene_19,STM_v1_0.STM0683,282
20,gene_20,STM_v1_0.STM0772,337
21,gene_21,STM_v1_0.STM0774,61
22,gene_22,STM_v1_0.STM0830,135
24,gene_24,STM_v1_0.STM0957,174
25,gene_25,STM_v1_0.STM0963,390
26,gene_26,STM_v1_0.STM0984,166
27,gene_27,STM_v1_0.STM1101,110
28,gene_28,STM_v1_0.STM1193,231
29,gene_29,STM_v1_0.STM1196,62
30,gene_30,STM_v1_0.STM1197,395
31,gene_31,STM_v1_0.STM1221,125
32,gene_32,STM_v1_0.STM1226,243
33,gene_33,STM_v1_0.STM1293,84
34,gene_34,STM_v1_0.STM1338,360
35,gene_35,STM_v1_0.STM1440,97
36,gene_36,STM_v1_0.STM1522,146
37,gene_37,STM_v1_0.STM1617,128
38,gene_38,STM_v1_0.STM1679,283
40,gene_40,STM_v1_0.STM1742,306
41,gene_41,STM_v1_0.STM1743,312
43,gene_43,STM_v1_0.STM1780,288
44,gene_44,STM_v1_0.STM1954,149
46,gene_46,STM_v1_0.STM2089,57
47,gene_47,STM_v1_0.STM2090,538
49,gene_49,STM_v1_0.STM2188,334
50,gene_50,STM_v1_0.STM2189,632
51,gene_51,STM_v1_0.STM2190,332
52,gene_52,STM_v1_0.STM2206,60
53,gene_53,STM_v1_0.STM2276,51
54,gene_54,STM_v1_0.STM2351,213
55,gene_55,STM_v1_0.STM2354,80
56,gene_56,STM_v1_0.STM2427,488
57,gene_57,STM_v1_0.STM2431,40
58,gene_58,STM_v1_0.STM2432,513
59,gene_59,STM_v1_0.STM2510,552
60,gene_60,STM_v1_0.STM2531,218
64,gene_64,STM_v1_0.STM2840,170
65,gene_65,STM_v1_0.STM2954,184
67,gene_67,STM_v1_0.STM2974,242
68,gene_68,STM_v1_0.STM3001,288
69,gene_69,STM_v1_0.STM3002,125
70,gene_70,STM_v1_0.STM3040,498
71,gene_71,STM_v1_0.STM3090,435
72,gene_72,STM_v1_0.STM3158,49
73,gene_73,STM_v1_0.STM3159,57
74,gene_74,STM_v1_0.STM3190,65
77,gene_77,STM_v1_0.STM3307,354
78,gene_78,STM_v1_0.STM3315,231
79,gene_79,STM_v1_0.STM3339,166
80,gene_80,STM_v1_0.STM3351,437
81,gene_81,STM_v1_0.STM3352,191
82,gene_82,STM_v1_0.STM3560,99
83,gene_83,STM_v1_0.STM3583,50
84,gene_84,STM_v1_0.STM3627,228
85,gene_85,STM_v1_0.STM3629,124
86,gene_86,STM_v1_0.STM3671,42
87,gene_87,STM_v1_0.STM3672,248
88,gene_88,STM_v1_0.STM3673,190
89,gene_89,STM_v1_0.STM3677,273
90,gene_90,STM_v1_0.STM3685,502
92,gene_92,STM_v1_0.STM3710,335
93,gene_93,STM_v1_0.STM3717,50
94,gene_94,STM_v1_0.STM3723,70
95,gene_95,STM_v1_0.STM3724,162
96,gene_96,STM_v1_0.STM3854,299
97,gene_97,STM_v1_0.STM3864,43
98,gene_98,STM_v1_0.STM3865,595
99,gene_99,STM_v1_0.STM3866,127
102,gene_102,STM_v1_0.STM3883,273
103,gene_103,STM_v1_0.STM3884,64
104,gene_104,STM_v1_0.STM3885,183
105,gene_105,STM_v1_0.STM3915,90
106,gene_106,STM_v1_0.STM3968,146
107,gene_107,STM_v1_0.STM3972,184
109,gene_109,STM_v1_0.STM4349,100
110,gene_110,STM_v1_0.STM4358,43
112,gene_112,STM_v1_0.STM4386,243
113,gene_113,STM_v1_0.STM4408,121
114,gene_114,STM_v1_0.STM4460,278
115,gene_115,STM_v1_0.STM4477,248
116,gene_117,iAF692.Mbar_A0023,55
117,gene_118,iAF692.Mbar_A0034,449
118,gene_119,iAF692.Mbar_A0035,394
119,gene_120,iAF692.Mbar_A0171,48
120,gene_121,iAF692.Mbar_A0192,61
121,gene_122,iAF692.Mbar_A0218,484
122,gene_123,iAF692.Mbar_A0219,105
123,gene_124,iAF692.Mbar_A0227,513
124,gene_125,iAF692.Mbar_A0385,252
125,gene_126,iAF692.Mbar_A0466,152
126,gene_127,iAF692.Mbar_A0481,255
127,gene_128,iAF692.Mbar_A0482,398
128,gene_129,iAF692.Mbar_A0721,235
129,gene_130,iAF692.Mbar_A0784,341
130,gene_131,iAF692.Mbar_A0913,43
131,gene_132,iAF692.Mbar_A0995,134
132,gene_133,iAF692.Mbar_A1098,106
133,gene_134,iAF692.Mbar_A1144,92
134,gene_135,iAF692.Mbar_A1168,283
135,gene_136,iAF692.Mbar_A1305,103
136,gene_137,iAF692.Mbar_A1396,960
137,gene_138,iAF692.Mbar_A1431,395
138,gene_139,iAF692.Mbar_A1452,477
139,gene_140,iAF692.Mbar_A1653,367
140,gene_141,iAF692.Mbar_A1779,130
141,gene_142,iAF692.Mbar_A1780,136
142,gene_143,iAF692.Mbar_A1781,320
143,gene_144,iAF692.Mbar_A1783,178
146,gene_147,iAF692.Mbar_A2225,227
147,gene_148,iAF692.Mbar_A2262,151
148,gene_149,iAF692.Mbar_A2316,478
149,gene_150,iAF692.Mbar_A2344,450
150,gene_151,iAF692.Mbar_A2398,163
151,gene_152,iAF692.Mbar_A2428,308
153,gene_154,iAF692.Mbar_A2898,199
154,gene_155,iAF692.Mbar_A3178,48
156,gene_157,iAF692.Mbar_A3353,166
157,gene_158,iAF692.Mbar_A3622,374
158,gene_159,iAF987.Gmet_0043,70
159,gene_160,iAF987.Gmet_0059,133
161,gene_162,iAF987.Gmet_0069,79
162,gene_163,iAF987.Gmet_0072,158
163,gene_164,iAF987.Gmet_0073,348
164,gene_165,iAF987.Gmet_0091,89
165,gene_166,iAF987.Gmet_0201,592
166,gene_167,iAF987.Gmet_0209,508
167,gene_168,iAF987.Gmet_0354,360
168,gene_169,iAF987.Gmet_0382,344
169,gene_170,iAF987.Gmet_0383,180
170,gene_171,iAF987.Gmet_0384,365
171,gene_172,iAF987.Gmet_0386,201
173,gene_174,iAF987.Gmet_0406,192
174,gene_175,iAF987.Gmet_0409,320
175,gene_176,iAF987.Gmet_0413,179
176,gene_177,iAF987.Gmet_0493,141
177,gene_178,iAF987.Gmet_0504,107
179,gene_180,iAF987.Gmet_0551,219
180,gene_181,iAF987.Gmet_0552,222
181,gene_182,iAF987.Gmet_0604,340
183,gene_184,iAF987.Gmet_0707,404
184,gene_185,iAF987.Gmet_0885,125
185,gene_186,iAF987.Gmet_0886,194
186,gene_187,iAF987.Gmet_0922,218
187,gene_188,iAF987.Gmet_0923,97
188,gene_189,iAF987.Gmet_0928,356
189,gene_190,iAF987.Gmet_0941,125
191,gene_192,iAF987.Gmet_0957,42
192,gene_193,iAF987.Gmet_0991,299
193,gene_194,iAF987.Gmet_0992,408
194,gene_195,iAF987.Gmet_1035,261
195,gene_196,iAF987.Gmet_1168,129
196,gene_197,iAF987.Gmet_1182,393
197,gene_198,iAF987.Gmet_1186,530
198,gene_199,iAF987.Gmet_1248,46
199,gene_200,iAF987.Gmet_1252,218
200,gene_201,iAF987.Gmet_1256,296
201,gene_202,iAF987.Gmet_1260,474
202,gene_203,iAF987.Gmet_1265,501
203,gene_204,iAF987.Gmet_1275,166
204,gene_205,iAF987.Gmet_1278,245
205,gene_206,iAF987.Gmet_1279,117
206,gene_207,iAF987.Gmet_1282,273
207,gene_208,iAF987.Gmet_1290,470
208,gene_209,iAF987.Gmet_1308,287
210,gene_211,iAF987.Gmet_1353,330
211,gene_212,iAF987.Gmet_1354,521
212,gene_213,iAF987.Gmet_1357,655
213,gene_214,iAF987.Gmet_1377,77
216,gene_217,iAF987.Gmet_1416,366
217,gene_218,iAF987.Gmet_1425,119
218,gene_219,iAF987.Gmet_1430,498
219,gene_220,iAF987.Gmet_1431,425
220,gene_221,iAF987.Gmet_1434,340
221,gene_222,iAF987.Gmet_1469,105
223,gene_224,iAF987.Gmet_1547,57
224,gene_225,iAF987.Gmet_1593,136
225,gene_226,iAF987.Gmet_1599,233
226,gene_227,iAF987.Gmet_1601,236
227,gene_228,iAF987.Gmet_1603,407
228,gene_229,iAF987.Gmet_1605,497
229,gene_230,iAF987.Gmet_1629,234
230,gene_231,iAF987.Gmet_1639,170
231,gene_232,iAF987.Gmet_1653,336
232,gene_233,iAF987.Gmet_1671,226
233,gene_234,iAF987.Gmet_1695,122
234,gene_235,iAF987.Gmet_1706,61
236,gene_237,iAF987.Gmet_1759,73
237,gene_238,iAF987.Gmet_1762,170
238,gene_239,iAF987.Gmet_1832,73
239,gene_240,iAF987.Gmet_1841,268
240,gene_241,iAF987.Gmet_1854,58
241,gene_242,iAF987.Gmet_1875,123
242,gene_243,iAF987.Gmet_1888,122
243,gene_244,iAF987.Gmet_1899,207
244,gene_245,iAF987.Gmet_1900,122
245,gene_246,iAF987.Gmet_1913,346
246,gene_247,iAF987.Gmet_1914,44
247,gene_248,iAF987.Gmet_1917,44
248,gene_249,iAF987.Gmet_1919,91
249,gene_250,iAF987.Gmet_1934,512
250,gene_251,iAF987.Gmet_1935,214
251,gene_252,iAF987.Gmet_1939,454
252,gene_253,iAF987.Gmet_1943,483
253,gene_254,iAF987.Gmet_1948,245
254,gene_255,iAF987.Gmet_1953,95
255,gene_256,iAF987.Gmet_1991,52
256,gene_257,iAF987.Gmet_2292,568
257,gene_258,iAF987.Gmet_2293,359
258,gene_259,iAF987.Gmet_2300,838
259,gene_260,iAF987.Gmet_2327,142
260,gene_261,iAF987.Gmet_2345,111
261,gene_262,iAF987.Gmet_2348,171
262,gene_263,iAF987.Gmet_2349,301
263,gene_264,iAF987.Gmet_2350,180
264,gene_265,iAF987.Gmet_2351,145
265,gene_266,iAF987.Gmet_2352,189
266,gene_267,iAF987.Gmet_2353,130
267,gene_268,iAF987.Gmet_2354,127
268,gene_269,iAF987.Gmet_2360,193
