0,t-SNE1,t-SNE2
AAAA02020714.1.1202,72.3195,-60.719402
AAFJ01000001.39328.40836,13.172799,20.363312
AAQK01001555.694.2198,-32.024467,44.25001
AAQK01003909.1492.2988,-47.02427,-85.19889
AATC01000018.2.1513,16.413862,-64.42586
AATF01002564.10.1217,-67.644356,36.71354
AAXA02000007.1.1294,3.2237031,-101.19971
AB002518.1.1416,59.435917,-67.665955
AB006120.1.1355,59.215786,-63.298218
AB006125.1.1294,85.67897,-46.83563
AB006127.1.1290,85.42296,-46.853462
AB006769.1.1456,-19.552568,26.981789
AB008514.1.1214,16.31904,-86.71946
AB008531.1.1246,17.795557,-86.651474
AB009222.1.1414,-33.776752,41.364075
AB011816.1.1463,-37.75206,-93.64987
AB012207.1.1299,-82.78107,46.271744
AB012589.1.1484,6.0198445,8.943648
AB022925.1.1450,11.1407385,88.031364
AB023972.1.1377,19.852148,-26.248226
AB023973.1.1445,19.816317,-26.215345
AB027362.1.1386,38.220207,-101.66682
AB030220.1.1486,31.898062,-58.559837
AB034121.1.1264,-56.753635,12.075071
AB036759.1.1480,2.1907644,72.89333
AB062283.1.1345,-27.917404,31.314716
AB064919.1.1492,-9.090771,-8.293366
AB071950.1.1341,8.754429,2.5889318
AB071953.1.1312,33.529797,15.160797
AB074617.1.1332,6.2442775,7.572771
AB088984.1.1396,-63.670338,-9.833757
AB108825.1.1490,88.50912,33.63819
AB128872.1.1589,71.694244,-58.28802
AB174795.1.1258,-21.75252,-5.336003
AB176365.1.1240,-28.003555,32.861435
AB182483.1.1494,29.708712,-14.226375
AB185742.1.1529,-0.962037,115.5699
AB185776.1.1501,-43.045,-1.5175196
AB185810.1.1527,-99.00716,-8.130864
AB192177.1.1438,-19.08482,42.42073
AB200414.1.1491,29.36869,-13.59678
AB214328.1.1484,-29.750645,-53.889565
AB218288.1.1449,53.055187,35.41761
AB218300.1.1457,41.236732,-25.021492
AB218322.1.1456,-22.666231,68.50761
AB218324.1.1551,20.770868,-27.104805
AB218325.1.1438,-69.76976,-69.393906
AB218332.1.1445,-29.556602,-53.838253
AB218334.1.1446,17.525448,106.87217
AB218338.1.1457,-3.1165478,73.56247
AB220083.1.1360,13.779624,-87.723465
AB221358.1.1238,-61.698105,-10.844588
AB222699.1.1485,-53.322796,-26.580437
AB231038.1.1365,-45.848816,4.027484
AB233029.1.1493,-23.869547,-84.92062
AB234418.1.1355,18.681038,107.20307
AB234447.1.1351,-60.076057,24.092838
AB234451.1.1349,-46.97879,16.626406
AB234463.1.1349,83.253624,9.208022
AB234520.1.1316,35.679935,-93.60257
AB234524.1.1350,-11.877396,17.394127
AB234525.1.1348,-9.833726,15.864924
AB237713.1.1455,108.73147,4.948365
AB238924.1.1486,65.556335,40.79231
AB238927.1.1486,65.64448,41.015053
AB238928.1.1492,53.8467,40.163754
AB241130.1.1446,28.142082,11.694524
AB243992.1.1538,7.1571956,68.67933
AB255081.1.1485,112.29499,-5.919683
AB259061.1.1545,59.434616,-67.85096
AB261128.1.1492,53.755116,40.137688
AB264066.1.1465,-19.401388,42.214043
AB264069.1.1447,41.980568,-80.75422
AB264073.1.1456,-13.096364,80.44411
AB264082.1.1445,-12.437913,-31.613647
AB264126.1.1422,25.255865,11.717625
AB266102.1.1428,-69.62483,34.404526
AB267809.1.1461,-32.223213,-0.2488133
AB270083.1.1322,-35.102497,95.47281
AB272322.1.1204,23.500072,-85.184715
AB272335.1.1200,23.762321,-86.16754
AB272364.1.1268,-37.83731,59.915466
AB272373.1.1283,-13.079506,16.220839
AB286023.1.1473,5.813562,8.966009
AB288920.1.1350,34.21864,-53.02117
AB294138.1.1215,35.29912,4.9624915
AB300988.1.1342,66.518684,-79.513245
AB300989.1.1489,-42.758236,-29.506397
AB331897.1.1481,-46.303574,-72.115746
AB365975.1.1498,17.324257,77.80014
AB370249.1.1521,-83.85842,6.283295
AB374136.1.1447,-16.048132,22.8769
AB425276.1.1515,22.957146,-1.0015074
AB425929.1.1502,34.705082,44.633064
AB438958.1.1532,-27.73599,28.49255
AB443948.1.1484,43.022987,-77.78097
AB443949.1.1486,42.02023,-80.63497
AB444081.1.1207,-55.020184,43.947624
AB470329.1.1491,24.510183,-7.082118
AB470343.1.1485,53.063267,35.37155
AB480534.1.1481,30.62623,-20.668148
AB487517.1.1356,-23.232346,20.978977
AB487690.1.1322,65.41304,77.70035
AB490801.1.1479,-22.594288,-56.488724
AB490804.1.1482,10.48976,101.196106
AB490806.1.1463,-72.57587,32.41323
AB490809.1.1497,62.271854,82.193405
AB490810.1.1469,-12.780407,34.87904
AB490811.1.1610,42.24388,-43.250237
AB491209.1.1485,-43.057102,-29.899193
