,query_gene,BiGG_gene,score
0,gene_0,STM_v1_0.STM0047,52
1,gene_1,STM_v1_0.STM0054,397
2,gene_2,STM_v1_0.STM0061,516
3,gene_3,STM_v1_0.STM0165,330
4,gene_4,STM_v1_0.STM0202,199
5,gene_5,STM_v1_0.STM0247,170
6,gene_6,STM_v1_0.STM0380,176
7,gene_7,STM_v1_0.STM0386,230
8,gene_8,STM_v1_0.STM0527,221
9,gene_9,STM_v1_0.STM0542,296
10,gene_10,STM_v1_0.STM0590,206
12,gene_12,STM_v1_0.STM0609,256
16,gene_16,STM_v1_0.STM0644,91
17,gene_17,STM_v1_0.STM0659,276
19,gene_19,STM_v1_0.STM0776,44
20,gene_20,STM_v1_0.STM0828,265
24,gene_24,STM_v1_0.STM0850,252
25,gene_25,STM_v1_0.STM0851,95
27,gene_27,STM_v1_0.STM0890,109
28,gene_28,STM_v1_0.STM0957,87
29,gene_29,STM_v1_0.STM0973,810
30,gene_30,STM_v1_0.STM0984,287
33,gene_33,STM_v1_0.STM1299,472
35,gene_35,STM_v1_0.STM1340,182
36,gene_36,STM_v1_0.STM1449,306
37,gene_37,STM_v1_0.STM1502,46
40,gene_40,STM_v1_0.STM1742,336
41,gene_41,STM_v1_0.STM1743,302
43,gene_43,STM_v1_0.STM1750,138
44,gene_44,STM_v1_0.STM1780,104
45,gene_45,STM_v1_0.STM1954,143
46,gene_46,STM_v1_0.STM2019,357
47,gene_47,STM_v1_0.STM2027,265
48,gene_48,STM_v1_0.STM2047,171
49,gene_49,STM_v1_0.STM2050,127
50,gene_50,STM_v1_0.STM2073,145
51,gene_51,STM_v1_0.STM2097,204
52,gene_52,STM_v1_0.STM2101,52
53,gene_53,STM_v1_0.STM2188,369
54,gene_54,STM_v1_0.STM2189,644
55,gene_55,STM_v1_0.STM2190,344
56,gene_56,STM_v1_0.STM2206,58
58,gene_58,STM_v1_0.STM2351,168
60,gene_60,STM_v1_0.STM2431,57
61,gene_61,STM_v1_0.STM2483,42
63,gene_63,STM_v1_0.STM2645,80
65,gene_65,STM_v1_0.STM2827,108
66,gene_66,STM_v1_0.STM2840,222
67,gene_67,STM_v1_0.STM2959,336
68,gene_68,STM_v1_0.STM3137,446
69,gene_69,STM_v1_0.STM3241,841
70,gene_70,STM_v1_0.STM3351,398
71,gene_71,STM_v1_0.STM3382,449
72,gene_72,STM_v1_0.STM3409,208
73,gene_73,STM_v1_0.STM3481,314
74,gene_74,STM_v1_0.STM3551,382
