SampleID,TrueLabel,PredictedProbability
SRR24823706,1.0,0.644
SRR24823707,1.0,0.662
SRR24823708,1.0,0.656
SRR24823709,1.0,0.72
SRR24823710,1.0,0.806
SRR24823711,1.0,0.808
SRR24823712,1.0,0.686
SRR24823713,1.0,0.63
SRR24823715,1.0,0.668
SRR24823716,1.0,0.798
SRR24823717,1.0,0.64
SRR24823718,1.0,0.582
SRR24823719,1.0,0.69
SRR24823720,1.0,0.612
SRR24823721,1.0,0.86
SRR24823722,1.0,0.836
SRR24823774,1.0,0.9
SRR24823776,1.0,0.694
SRR24823777,1.0,0.744
SRR25638307,0.0,0.664
SRR25638308,0.0,0.666
SRR25638309,0.0,0.724
SRR25638310,0.0,0.688
SRR25638311,0.0,0.748
SRR25638312,0.0,0.686
SRR25638313,0.0,0.532
SRR25638314,0.0,0.69
SRR25638315,0.0,0.614
SRR25638316,0.0,0.524
