SampleID,TrueLabel,PredictedProbability
ERR1368879,1,0.53304756
ERR1368880,1,0.52383184
ERR1368882,1,0.52691406
ERR1368885,1,0.5366267
ERR1368890,1,0.5235975
ERR1368891,1,0.52977806
ERR1368892,1,0.52930725
ERR1368894,1,0.52655447
ERR1368898,1,0.52907616
ERR1368899,1,0.5263809
ERR1368900,1,0.53055096
ERR1368901,1,0.52481943
ERR1368904,1,0.52224845
ERR1368905,1,0.51544315
ERR1368907,1,0.5233356
ERR1368908,1,0.52033734
ERR1368911,1,0.52764297
ERR1368912,1,0.52154726
ERR1368916,1,0.54132783
ERR1368917,1,0.5278604
ERR1368918,1,0.5338395
ERR1368920,1,0.5230731
ERR1368922,1,0.5212958
ERR1368924,1,0.5415358
ERR1368927,1,0.5203217
ERR1368928,1,0.53134197
ERR1368929,1,0.51970965
ERR1368931,1,0.52551633
ERR1368932,1,0.5409471
ERR1368934,1,0.52020276
ERR1368939,1,0.5365918
ERR1368941,1,0.52190554
ERR1368942,1,0.5221486
ERR1368943,1,0.5352545
ERR1368944,1,0.52656686
ERR1368946,1,0.52476
ERR1368947,1,0.5297159
ERR1368948,1,0.52297086
ERR1368949,1,0.52169484
ERR1368951,1,0.5247538
ERR1368953,1,0.52275974
ERR1368954,1,0.5303677
ERR1368957,1,0.52086157
ERR1368960,1,0.53189075
ERR1368964,1,0.53251725
ERR1368965,1,0.52282333
ERR1368969,1,0.5155289
ERR1368970,0,0.51571816
ERR1368971,0,0.5261671
ERR1368972,0,0.5173557
ERR1368973,0,0.5205426
ERR1368974,1,0.52146274
ERR1368976,1,0.5325641
ERR1368988,1,0.52306616
ERR1368990,1,0.5245615
ERR1369000,1,0.5326521
ERR1369001,1,0.52290857
ERR1369002,1,0.532944
ERR1369005,1,0.5384
ERR1369011,1,0.5294762
ERR1369022,1,0.52427876
ERR1369030,1,0.5292458
ERR1369032,1,0.54066825
ERR1369034,1,0.532051
ERR1369036,1,0.530297
ERR1369038,0,0.5215464
ERR1369041,1,0.5286986
ERR1369043,1,0.5261188
ERR1369044,1,0.5432598
ERR1369056,1,0.5317162
ERR1369057,1,0.52176166
ERR1369059,1,0.5298608
ERR1369060,1,0.5298278
ERR1369065,1,0.52793837
ERR1369072,1,0.54049426
ERR1369075,1,0.5200207
ERR1369091,1,0.5227227
ERR1369105,1,0.5305147
ERR1369108,0,0.53588736
ERR1369109,0,0.5258869
ERR1369110,1,0.51816833
ERR1369111,1,0.5200814
ERR1369120,1,0.524432
ERR1369125,1,0.5212043
ERR1369137,1,0.5318115
ERR1369142,1,0.5195323
ERR1369143,1,0.5369006
ERR1369144,1,0.5246489
ERR1369145,1,0.53868157
ERR1369149,1,0.5236795
ERR1369150,1,0.5221116
ERR1369151,1,0.519814
ERR1369152,1,0.5201334
ERR1369168,1,0.5156818
ERR1369181,1,0.5316979
ERR1369183,0,0.52294844
ERR1369188,0,0.5153892
ERR1369192,1,0.5156994
ERR1369197,1,0.5233514
ERR1369198,1,0.5297575
ERR1369220,1,0.52514017
ERR1369224,1,0.52577627
ERR1369226,0,0.5175984
ERR1369230,0,0.51779866
ERR1369233,0,0.512955
ERR1369235,1,0.52680707
ERR1369241,1,0.5349353
ERR1369246,0,0.5224025
ERR1369250,0,0.52355766
ERR1369260,1,0.53128505
ERR1369261,1,0.5203062
ERR1369264,1,0.5180187
ERR1369270,0,0.51772034
ERR1369271,0,0.5170019
ERR1369272,0,0.5213788
ERR1369278,0,0.5045617
ERR1369287,1,0.5272734
ERR1369288,1,0.5264981
ERR1369292,0,0.52806896
ERR1369293,0,0.5168532
ERR1369294,1,0.5208143
ERR1369298,1,0.51769716
