SampleID,TrueLabel,PredictedProbability
ERR1368883,1,0.66200036
ERR1368884,1,0.7687584
ERR1368893,1,0.72936064
ERR1368895,1,0.7561135
ERR1368902,1,0.6419055
ERR1368910,1,0.7112626
ERR1368926,1,0.72134346
ERR1368945,1,0.72602034
ERR1368970,0,0.5852091
ERR1368971,0,0.7338536
ERR1368972,0,0.606973
ERR1368973,0,0.663604
ERR1368977,1,0.6608098
ERR1368978,1,0.76775676
ERR1368979,1,0.7660799
ERR1368981,1,0.7062688
ERR1368982,1,0.74289787
ERR1368983,1,0.7453663
ERR1368984,1,0.702576
ERR1368989,1,0.75826246
ERR1368991,1,0.75769717
ERR1368993,1,0.7754435
ERR1368995,1,0.7663081
ERR1368997,1,0.76510394
ERR1369003,1,0.7607302
ERR1369004,1,0.6145499
ERR1369006,1,0.77030516
ERR1369007,1,0.7511605
ERR1369008,1,0.76750374
ERR1369010,1,0.7628828
ERR1369012,1,0.75325036
ERR1369014,1,0.74441624
ERR1369015,1,0.7605238
ERR1369016,1,0.7541523
ERR1369017,1,0.6703992
ERR1369018,1,0.74065274
ERR1369019,1,0.7336985
ERR1369020,1,0.7424205
ERR1369021,1,0.76494426
ERR1369028,1,0.74271417
ERR1369031,1,0.73790365
ERR1369033,1,0.7719872
ERR1369035,1,0.7127651
ERR1369037,1,0.69289476
ERR1369038,0,0.6068993
ERR1369039,1,0.7368472
ERR1369040,1,0.64711815
ERR1369042,1,0.67079204
ERR1369048,1,0.7339265
ERR1369049,1,0.6986806
ERR1369050,1,0.7509569
ERR1369051,1,0.7649863
ERR1369052,1,0.75417596
ERR1369053,1,0.7608204
ERR1369054,1,0.762123
ERR1369058,1,0.7385563
ERR1369061,1,0.7617869
ERR1369062,1,0.7684835
ERR1369063,1,0.77818525
ERR1369066,1,0.75916326
ERR1369069,1,0.7334175
ERR1369070,1,0.7485624
ERR1369071,1,0.74913573
ERR1369073,1,0.74314106
ERR1369078,1,0.7518772
ERR1369079,1,0.75514364
ERR1369090,1,0.6386931
ERR1369092,1,0.6603211
ERR1369098,1,0.75653386
ERR1369099,1,0.7284854
ERR1369102,1,0.7640218
ERR1369103,1,0.76381195
ERR1369107,1,0.7740835
ERR1369108,0,0.77316725
ERR1369109,0,0.70888466
ERR1369112,1,0.74164534
ERR1369115,1,0.6574312
ERR1369116,1,0.61083084
ERR1369117,1,0.62276727
ERR1369118,1,0.6963398
ERR1369119,1,0.7345881
ERR1369123,1,0.6420227
ERR1369124,1,0.67038417
ERR1369126,1,0.7196107
ERR1369127,1,0.75679845
ERR1369130,1,0.6514998
ERR1369132,1,0.7389427
ERR1369133,1,0.66591585
ERR1369134,1,0.664623
ERR1369135,1,0.7306311
ERR1369136,1,0.73464
ERR1369138,1,0.7667038
ERR1369139,1,0.72404724
ERR1369140,1,0.66604346
ERR1369141,1,0.65913445
ERR1369146,1,0.7274694
ERR1369147,1,0.6665089
ERR1369148,1,0.66461724
ERR1369153,1,0.7077298
ERR1369154,1,0.7531465
ERR1369155,1,0.7534651
ERR1369156,1,0.754126
ERR1369157,1,0.7578649
ERR1369158,1,0.75498635
ERR1369163,1,0.7739175
ERR1369170,1,0.76275444
ERR1369171,1,0.77739334
ERR1369173,1,0.7607447
ERR1369176,1,0.7522271
ERR1369180,1,0.62945193
ERR1369183,0,0.6854962
ERR1369184,1,0.77801394
ERR1369186,1,0.74218327
ERR1369188,0,0.620204
ERR1369193,1,0.7709259
ERR1369195,1,0.7132696
ERR1369200,1,0.7053468
ERR1369201,1,0.7269249
ERR1369204,1,0.76446116
ERR1369207,1,0.77189976
ERR1369221,1,0.76523876
ERR1369223,1,0.7608652
ERR1369226,0,0.66197395
ERR1369229,1,0.7698539
ERR1369230,0,0.6474342
ERR1369231,1,0.7535166
ERR1369233,0,0.5333609
ERR1369236,1,0.7544868
ERR1369246,0,0.70394033
ERR1369247,1,0.7693842
ERR1369249,1,0.77050316
ERR1369250,0,0.6515257
ERR1369254,1,0.7557961
ERR1369255,1,0.7645053
ERR1369259,1,0.71114343
ERR1369266,1,0.71888995
ERR1369267,1,0.7314351
ERR1369268,1,0.7166508
ERR1369269,1,0.7345852
ERR1369270,0,0.60918427
ERR1369271,0,0.61580366
ERR1369272,0,0.7043156
ERR1369275,1,0.7247815
ERR1369276,1,0.7234481
ERR1369277,1,0.72741926
ERR1369278,0,0.73426336
ERR1369282,1,0.7395816
ERR1369283,1,0.7662451
ERR1369284,1,0.7493782
ERR1369285,1,0.6932179
ERR1369290,1,0.7500308
ERR1369292,0,0.7675915
ERR1369293,0,0.5978771
ERR1369295,1,0.7014942
ERR1369300,1,0.74710435
ERR1369301,1,0.75596356
ERR1369302,1,0.7428426
ERR1369305,0,0.7254497
ERR1369309,0,0.6782196
ERR1369310,0,0.6883767
ERR1369311,1,0.7094014
ERR1369314,0,0.6083618
ERR1369319,1,0.7513442
ERR1369320,0,0.7220003
ERR1369321,0,0.68897504
ERR1369322,1,0.7159253
ERR1369323,0,0.6851215
ERR1369324,1,0.6526485
ERR1369328,0,0.64242285
ERR1369329,1,0.7183969
ERR1369330,1,0.69062746
ERR1369331,1,0.68922156
ERR1369332,1,0.748118
ERR1369334,1,0.6674208
ERR1369337,0,0.721193
ERR1369338,1,0.7051793
ERR1369339,0,0.6881975
ERR1369340,1,0.7650941
ERR1369341,0,0.77461344
ERR1369346,1,0.7473187
ERR1369351,1,0.75077426
ERR1369352,1,0.7545435
ERR1369353,0,0.6890491
ERR1369355,1,0.69804525
ERR1369356,0,0.75279576
