,query_gene,BiGG_gene,score
0,gene_0,STM_v1_0.STM0047,57
1,gene_1,STM_v1_0.STM0051,231
2,gene_2,STM_v1_0.STM0203,171
3,gene_3,STM_v1_0.STM0207,130
5,gene_5,STM_v1_0.STM0353,484
6,gene_6,STM_v1_0.STM0380,300
8,gene_8,STM_v1_0.STM0659,255
10,gene_10,STM_v1_0.STM0701,548
11,gene_11,STM_v1_0.STM0772,276
12,gene_12,STM_v1_0.STM0773,164
13,gene_13,STM_v1_0.STM0842,177
14,gene_14,STM_v1_0.STM0848,241
15,gene_15,STM_v1_0.STM0863,108
17,gene_17,STM_v1_0.STM0887,103
19,gene_19,STM_v1_0.STM0984,269
21,gene_21,STM_v1_0.STM1221,67
22,gene_22,STM_v1_0.STM1288,238
24,gene_24,STM_v1_0.STM1310,335
25,gene_25,STM_v1_0.STM1358,62
26,gene_26,STM_v1_0.STM1469,395
27,gene_27,STM_v1_0.STM1620,326
28,gene_28,STM_v1_0.STM1742,250
29,gene_29,STM_v1_0.STM1743,248
30,gene_30,STM_v1_0.STM1954,106
31,gene_31,STM_v1_0.STM2081,438
32,gene_32,STM_v1_0.STM2082,192
34,gene_34,STM_v1_0.STM2298,127
35,gene_35,STM_v1_0.STM2774,80
36,gene_36,STM_v1_0.STM3002,95
37,gene_37,STM_v1_0.STM3051,581
38,gene_38,STM_v1_0.STM3091,76
39,gene_39,STM_v1_0.STM3103,157
40,gene_40,STM_v1_0.STM3114,572
41,gene_41,STM_v1_0.STM3165,226
44,gene_44,STM_v1_0.STM3338,94
45,gene_45,STM_v1_0.STM3483,157
46,gene_46,STM_v1_0.STM3627,255
47,gene_47,STM_v1_0.STM3630,82
48,gene_48,STM_v1_0.STM3725,140
50,gene_50,STM_v1_0.STM3880,258
52,gene_52,STM_v1_0.STM4453,479
53,gene_54,iAF692.Mbar_A0171,43
54,gene_55,iAF692.Mbar_A0343,266
55,gene_56,iAF692.Mbar_A0473,65
56,gene_57,iAF692.Mbar_A0500,609
59,gene_60,iAF692.Mbar_A0742,80
60,gene_61,iAF692.Mbar_A0995,118
61,gene_62,iAF692.Mbar_A0996,101
62,gene_63,iAF692.Mbar_A1305,112
63,gene_64,iAF692.Mbar_A1452,62
64,gene_65,iAF692.Mbar_A1631,46
65,gene_66,iAF692.Mbar_A1781,293
66,gene_67,iAF692.Mbar_A1837,133
68,gene_69,iAF692.Mbar_A1889,499
70,gene_71,iAF692.Mbar_A2315,250
73,gene_74,iAF692.Mbar_A2778,333
74,gene_75,iAF692.Mbar_A3491,256
75,gene_76,iAF987.Gmet_0038,258
76,gene_77,iAF987.Gmet_0039,247
77,gene_78,iAF987.Gmet_0043,91
79,gene_80,iAF987.Gmet_0069,71
80,gene_81,iAF987.Gmet_0222,167
81,gene_82,iAF987.Gmet_0304,403
82,gene_83,iAF987.Gmet_0662,40
84,gene_85,iAF987.Gmet_0885,134
85,gene_86,iAF987.Gmet_1162,246
86,gene_87,iAF987.Gmet_1188,42
88,gene_89,iAF987.Gmet_1614,597
89,gene_90,iAF987.Gmet_1653,181
90,gene_91,iAF987.Gmet_1706,76
91,gene_92,iAF987.Gmet_1875,170
92,gene_93,iAF987.Gmet_1888,169
93,gene_94,iAF987.Gmet_1914,75
94,gene_95,iAF987.Gmet_1919,67
95,gene_96,iAF987.Gmet_1935,174
96,gene_97,iAF987.Gmet_2349,271
97,gene_98,iAF987.Gmet_2372,564
99,gene_100,iAF987.Gmet_2444,61
101,gene_102,iAF987.Gmet_2634,80
102,gene_103,iAF987.Gmet_2999,62
103,gene_104,iAF987.Gmet_3200,149
104,gene_105,iAF987.Gmet_3497,637
105,gene_106,iAM_Pb448.PBANKA_050460,43
106,gene_107,iAM_Pb448.PBANKA_052160,45
107,gene_108,iAM_Pb448.PBANKA_092810,184
108,gene_109,iAM_Pb448.PBANKA_112620,76
110,gene_111,iAM_Pb448.PBANKA_145350,113
111,gene_112,iAM_Pb448.PBANKA_146280,95
112,gene_113,iAM_Pc455.PCYB_061470,47
113,gene_114,iAM_Pc455.PCYB_092620,195
114,gene_115,iAM_Pc455.PCYB_122090,46
116,gene_117,iAM_Pc455.PCYB_147430,91
119,gene_120,iAM_Pf480.PF3D7_1120100,193
120,gene_121,iAM_Pf480.PF3D7_1239000,115
122,gene_123,iAM_Pf480.PF3D7_1342800,45
123,gene_124,iAM_Pv461.PVX_001880,48
125,gene_126,iAM_Pv461.PVX_083035,50
126,gene_127,iAM_Pv461.PVX_085660,86
127,gene_128,iAM_Pv461.PVX_091640,185
128,gene_129,iAM_Pv461.PVX_100900,117
129,gene_130,iAM_Pv461.PVX_114480,69
134,gene_135,iAT_PLT_636.2271,385
135,gene_136,iAT_PLT_636.290,285
136,gene_137,iAT_PLT_636.4905,131
137,gene_138,iCHOv1.100682535,220
138,gene_139,iCHOv1.100689220,84
139,gene_140,iCHOv1.100752162,325
140,gene_141,iCHOv1.100753544,91
142,gene_143,iCHOv1.100757665,40
143,gene_144,iCHOv1.100758396,50
145,gene_146,iCHOv1.100762211,268
146,gene_147,iCHOv1.100762480,193
148,gene_149,iCHOv1.100770033,304
150,gene_151,iCHOv1.100771969,43
152,gene_153,iCHOv1.100773218,379
153,gene_154,iCHOv1.100773599,95
154,gene_155,iCN718.ABAYE_RS03670,59
155,gene_156,iCN718.ABAYE_RS04295,54
156,gene_157,iCN718.ABAYE_RS04340,44
157,gene_158,iCN718.ABAYE_RS05140,81
159,gene_160,iCN718.ABAYE_RS08160,392
160,gene_161,iCN718.ABAYE_RS08670,390
162,gene_163,iCN718.ABAYE_RS13845,77
163,gene_164,iCN718.ABAYE_RS15510,165
165,gene_166,iCN900.CD630_00430,159
166,gene_167,iCN900.CD630_00520,468
167,gene_168,iCN900.CD630_01000,234
168,gene_169,iCN900.CD630_01010,246
169,gene_170,iCN900.CD630_01020,199
170,gene_171,iCN900.CD630_01300,510
171,gene_172,iCN900.CD630_01370,407
172,gene_173,iCN900.CD630_02840,79
174,gene_175,iCN900.CD630_03130,259
175,gene_176,iCN900.CD630_03450,219
177,gene_178,iCN900.CD630_03890,462
178,gene_179,iCN900.CD630_03940,226
179,gene_180,iCN900.CD630_04050,199
180,gene_181,iCN900.CD630_04310,154
181,gene_182,iCN900.CD630_05580,231
182,gene_183,iCN900.CD630_07170,43
183,gene_184,iCN900.CD630_07180,560
184,gene_185,iCN900.CD630_07520,278
185,gene_186,iCN900.CD630_07530,254
186,gene_187,iCN900.CD630_07540,290
187,gene_188,iCN900.CD630_08160,382
190,gene_191,iCN900.CD630_09000,108
191,gene_192,iCN900.CD630_10240,120
192,gene_193,iCN900.CD630_10330,441
196,gene_197,iCN900.CD630_11820,108
197,gene_198,iCN900.CD630_12050,166
198,gene_199,iCN900.CD630_12260,179
199,gene_200,iCN900.CD630_12790,287
201,gene_202,iCN900.CD630_14790,45
202,gene_203,iCN900.CD630_14890,115
203,gene_204,iCN900.CD630_15170,39
204,gene_205,iCN900.CD630_15770,440
205,gene_206,iCN900.CD630_15850,70
206,gene_207,iCN900.CD630_15990,174
207,gene_208,iCN900.CD630_16140,121
208,gene_209,iCN900.CD630_16590,578
210,gene_211,iCN900.CD630_16980,74
211,gene_212,iCN900.CD630_17750,189
212,gene_213,iCN900.CD630_17760,181
213,gene_214,iCN900.CD630_18140,80
214,gene_215,iCN900.CD630_18240,917
215,gene_216,iCN900.CD630_19470,186
216,gene_217,iCN900.CD630_20200,615
217,gene_218,iCN900.CD630_21150,523
218,gene_219,iCN900.CD630_21220,127
220,gene_221,iCN900.CD630_21640,167
221,gene_222,iCN900.CD630_21660,212
222,gene_223,iCN900.CD630_21880,791
223,gene_224,iCN900.CD630_21890,181
224,gene_225,iCN900.CD630_22170,68
225,gene_226,iCN900.CD630_22360,132
226,gene_227,iCN900.CD630_22690,531
227,gene_228,iCN900.CD630_22700,251
229,gene_230,iCN900.CD630_22820,73
230,gene_231,iCN900.CD630_23250,171
231,gene_232,iCN900.CD630_23270,73
233,gene_234,iCN900.CD630_24330,390
234,gene_235,iCN900.CD630_24910,301
235,gene_236,iCN900.CD630_24930,80
236,gene_237,iCN900.CD630_25030,692
238,gene_239,iCN900.CD630_25750,186
239,gene_240,iCN900.CD630_25880,75
240,gene_241,iCN900.CD630_25950,197
241,gene_242,iCN900.CD630_26691,143
242,gene_243,iCN900.CD630_26760,315
243,gene_244,iCN900.CD630_26950,395
244,gene_245,iCN900.CD630_26960,261
246,gene_247,iCN900.CD630_27390,592
247,gene_248,iCN900.CD630_27450,190
248,gene_249,iCN900.CD630_27800,434
250,gene_251,iCN900.CD630_28830,206
253,gene_254,iCN900.CD630_30680,131
255,gene_256,iCN900.CD630_30700,175
259,gene_260,iCN900.CD630_30910,543
260,gene_261,iCN900.CD630_30960,483
262,gene_263,iCN900.CD630_31000,283
263,gene_264,iCN900.CD630_31240,493
265,gene_266,iCN900.CD630_31280,182
266,gene_267,iCN900.CD630_31360,499
267,gene_268,iCN900.CD630_31700,582
268,gene_269,iCN900.CD630_31740,371
