SampleID,TrueLabel,PredictedProbability
ERR1369163,1,0.8787227
ERR1369166,1,0.88651097
ERR1369168,1,0.288834
ERR1369170,1,0.9256866
ERR1369171,1,0.8915825
ERR1369173,1,0.9315763
ERR1369174,1,0.93001544
ERR1369176,1,0.9322452
ERR1369177,1,0.77244467
ERR1369178,1,0.86230534
ERR1369180,1,0.908899
ERR1369181,1,0.7027083
ERR1369182,1,0.43670434
ERR1369183,0,0.6551314
ERR1369184,1,0.8213958
ERR1369186,1,0.5810312
ERR1369188,0,0.31693938
ERR1369192,1,0.577709
ERR1369193,1,0.9167337
ERR1369195,1,0.87907064
ERR1369197,1,0.854715
ERR1369198,1,0.7174007
ERR1369199,1,0.8108288
ERR1369200,1,0.9266847
ERR1369201,1,0.9297085
ERR1369202,1,0.6958091
ERR1369204,1,0.8439156
ERR1369206,1,0.37331578
ERR1369207,1,0.63779336
ERR1369214,1,0.9042709
ERR1369220,1,0.38840798
ERR1369221,1,0.8895972
ERR1369223,1,0.91549236
ERR1369224,1,0.4621193
ERR1369226,0,0.29962605
ERR1369229,1,0.9284981
ERR1369230,0,0.54076284
ERR1369231,1,0.9277706
ERR1369233,0,0.3047977
ERR1369235,1,0.78682035
ERR1369236,1,0.81908345
ERR1369238,1,0.8444147
ERR1369241,1,0.91795814
ERR1369246,0,0.32858938
ERR1369247,1,0.92312735
ERR1369248,1,0.35557315
ERR1369249,1,0.9072109
ERR1369250,0,0.53830194
ERR1369253,1,0.7323132
ERR1369254,1,0.8928411
ERR1369255,1,0.9425057
ERR1369256,1,0.30265653
ERR1369259,1,0.92974764
ERR1369260,1,0.9194592
ERR1369261,1,0.912812
ERR1369262,1,0.9164272
ERR1369263,1,0.9093455
ERR1369264,1,0.91770405
ERR1369265,1,0.9232243
ERR1369266,1,0.9178576
ERR1369267,1,0.9323972
ERR1369268,1,0.9357657
ERR1369269,1,0.92213553
ERR1369270,0,0.50489044
ERR1369271,0,0.56272
ERR1369272,0,0.8525754
ERR1369275,1,0.9375024
ERR1369276,1,0.93738085
ERR1369277,1,0.9393452
ERR1369278,0,0.9212853
ERR1369279,1,0.9333911
ERR1369280,1,0.9313939
