SampleID,TrueLabel,PredictedProbability
SRR15495779,1.0,0.8430894
SRR15495780,0.0,0.8371708
SRR15495781,0.0,0.83813155
SRR15495782,0.0,0.8364379
SRR15495783,0.0,0.8368368
SRR15495784,0.0,0.83940715
SRR15495785,0.0,0.8411819
SRR15495786,0.0,0.8372934
SRR15495787,0.0,0.8415129
SRR15495788,0.0,0.84100133
SRR15495789,0.0,0.8372665
SRR15495790,1.0,0.84172505
SRR15495791,1.0,0.83830047
SRR15495792,1.0,0.8366124
SRR15495793,1.0,0.8386265
SRR15495794,1.0,0.8392104
SRR15495795,1.0,0.8394409
SRR15495796,1.0,0.83933365
SRR15495797,1.0,0.8413902
SRR15495798,1.0,0.8399656
SRR15495799,1.0,0.8417584
SRR15495800,1.0,0.8403979
SRR15495801,1.0,0.84036624
SRR15495802,1.0,0.83799064
SRR15495803,1.0,0.8385477
SRR15495804,1.0,0.83798426
SRR15495805,1.0,0.8381345
SRR15495806,1.0,0.8408651
SRR15495807,1.0,0.83697546
SRR15495808,1.0,0.8384826
SRR15495809,1.0,0.84005105
SRR15495810,1.0,0.8394684
SRR15495811,1.0,0.8371177
SRR15495812,1.0,0.84011036
SRR15495813,1.0,0.8401252
SRR15495814,1.0,0.84058845
SRR15495815,1.0,0.83834237
SRR15495816,1.0,0.8413535
SRR15495817,1.0,0.8419113
SRR15495818,1.0,0.840797
SRR15495819,1.0,0.84185004
SRR15495820,1.0,0.8425209
SRR15495821,1.0,0.84361476
SRR15495822,1.0,0.8399563
SRR15495823,1.0,0.84305185
SRR15495824,1.0,0.8432977
SRR15495825,1.0,0.8388501
SRR15495826,1.0,0.8422524
SRR15495827,1.0,0.8414069
SRR15495828,1.0,0.84293926
SRR15495829,1.0,0.83830726
SRR15495830,1.0,0.83914995
SRR15495831,1.0,0.84404117
SRR15495832,1.0,0.8427232
SRR15495833,1.0,0.84232396
SRR15495834,1.0,0.8385248
SRR15495835,1.0,0.8425955
SRR15495836,1.0,0.83650726
SRR15495837,1.0,0.8400363
SRR15495838,1.0,0.8438339
SRR15495839,1.0,0.84266967
SRR15495840,1.0,0.8351566
SRR15495841,1.0,0.8395873
SRR15495842,1.0,0.84121114
SRR15495843,1.0,0.84137666
SRR15495844,1.0,0.8419356
SRR15495845,1.0,0.8425727
SRR15495846,1.0,0.8353405
SRR15495847,1.0,0.84287304
SRR15495848,0.0,0.83323497
SRR15495849,0.0,0.83663225
SRR15495850,0.0,0.838811
SRR15495851,0.0,0.83601284
SRR15495852,1.0,0.8401473
SRR15495853,0.0,0.83478785
SRR15495854,0.0,0.8366418
SRR15495855,0.0,0.8353119
SRR15495856,0.0,0.8374147
SRR15495857,0.0,0.83533025
SRR15495858,0.0,0.8356103
SRR15495859,0.0,0.8358958
SRR15495860,0.0,0.8377604
SRR15495861,0.0,0.8358698
SRR15495862,0.0,0.83762145
