,query_gene,BiGG_gene,score
0,gene_0,STM_v1_0.STM0002,478
1,gene_1,STM_v1_0.STM0004,338
2,gene_2,STM_v1_0.STM0045,199
3,gene_3,STM_v1_0.STM0101,280
4,gene_4,STM_v1_0.STM0110,169
5,gene_5,STM_v1_0.STM0111,464
6,gene_6,STM_v1_0.STM0113,448
7,gene_7,STM_v1_0.STM0125,205
8,gene_8,STM_v1_0.STM0129,199
9,gene_9,STM_v1_0.STM0134,157
10,gene_10,STM_v1_0.STM0170,131
11,gene_11,STM_v1_0.STM0191,78
12,gene_12,STM_v1_0.STM0218,255
13,gene_13,STM_v1_0.STM0222,110
14,gene_14,STM_v1_0.STM0228,135
15,gene_15,STM_v1_0.STM0247,131
16,gene_16,STM_v1_0.STM0316,390
17,gene_17,STM_v1_0.STM0321,196
18,gene_18,STM_v1_0.STM0322,316
19,gene_19,STM_v1_0.STM0380,169
20,gene_20,STM_v1_0.STM0386,119
21,gene_21,STM_v1_0.STM0422,484
22,gene_22,STM_v1_0.STM0444,94
23,gene_23,STM_v1_0.STM0483,132
24,gene_24,STM_v1_0.STM0498,354
25,gene_25,STM_v1_0.STM0537,347
26,gene_26,STM_v1_0.STM0542,248
27,gene_27,STM_v1_0.STM0585,49
28,gene_28,STM_v1_0.STM0590,138
29,gene_29,STM_v1_0.STM0595,103
30,gene_30,STM_v1_0.STM0608,240
31,gene_31,STM_v1_0.STM0609,418
33,gene_33,STM_v1_0.STM0659,266
34,gene_34,STM_v1_0.STM0662,57
35,gene_35,STM_v1_0.STM0684,325
36,gene_36,STM_v1_0.STM0686,575
37,gene_37,STM_v1_0.STM0694,125
38,gene_38,STM_v1_0.STM0738,337
39,gene_39,STM_v1_0.STM0739,319
40,gene_40,STM_v1_0.STM0740,374
41,gene_41,STM_v1_0.STM0741,99
42,gene_42,STM_v1_0.STM0776,317
43,gene_43,STM_v1_0.STM0958,291
44,gene_44,STM_v1_0.STM0978,198
45,gene_45,STM_v1_0.STM0985,107
46,gene_46,STM_v1_0.STM1000,479
47,gene_47,STM_v1_0.STM1194,220
48,gene_48,STM_v1_0.STM1196,80
49,gene_49,STM_v1_0.STM1197,395
50,gene_50,STM_v1_0.STM1221,142
51,gene_51,STM_v1_0.STM1294,266
52,gene_52,STM_v1_0.STM1299,499
53,gene_53,STM_v1_0.STM1340,129
54,gene_54,STM_v1_0.STM1449,337
55,gene_55,STM_v1_0.STM1468,775
56,gene_56,STM_v1_0.STM1502,75
57,gene_57,STM_v1_0.STM1522,106
58,gene_58,STM_v1_0.STM1725,66
59,gene_59,STM_v1_0.STM1792,381
60,gene_60,STM_v1_0.STM1963,493
61,gene_61,STM_v1_0.STM2050,90
62,gene_62,STM_v1_0.STM2071,227
63,gene_63,STM_v1_0.STM2072,378
64,gene_64,STM_v1_0.STM2074,349
65,gene_65,STM_v1_0.STM2075,149
66,gene_66,STM_v1_0.STM2078,191
67,gene_67,STM_v1_0.STM2080,482
68,gene_68,STM_v1_0.STM2082,133
69,gene_69,STM_v1_0.STM2086,58
70,gene_70,STM_v1_0.STM2092,40
71,gene_71,STM_v1_0.STM2094,200
72,gene_72,STM_v1_0.STM2095,385
73,gene_73,STM_v1_0.STM2097,392
74,gene_74,STM_v1_0.STM2109,422
75,gene_75,STM_v1_0.STM2199,73
76,gene_76,STM_v1_0.STM2283,450
77,gene_77,STM_v1_0.STM2284,652
78,gene_78,STM_v1_0.STM2286,418
79,gene_79,STM_v1_0.STM2298,152
80,gene_80,STM_v1_0.STM2306,56
81,gene_81,STM_v1_0.STM2327,167
82,gene_82,STM_v1_0.STM2421,319
83,gene_83,STM_v1_0.STM2427,213
84,gene_84,STM_v1_0.STM2472,684
85,gene_85,STM_v1_0.STM2500,112
87,gene_87,STM_v1_0.STM2510,506
88,gene_88,STM_v1_0.STM2555,444
89,gene_89,STM_v1_0.STM2565,607
91,gene_91,STM_v1_0.STM2669,50
92,gene_92,STM_v1_0.STM2777,47
93,gene_93,STM_v1_0.STM2827,605
94,gene_94,STM_v1_0.STM2927,124
95,gene_95,STM_v1_0.STM3001,57
96,gene_96,STM_v1_0.STM3002,97
97,gene_97,STM_v1_0.STM3040,444
99,gene_99,STM_v1_0.STM3086,503
101,gene_101,STM_v1_0.STM3113,337
102,gene_102,STM_v1_0.STM3134,148
103,gene_103,STM_v1_0.STM3135,311
104,gene_104,STM_v1_0.STM3137,503
105,gene_105,STM_v1_0.STM3190,66
106,gene_106,STM_v1_0.STM3205,163
107,gene_107,STM_v1_0.STM3300,112
108,gene_108,STM_v1_0.STM3305,157
109,gene_109,STM_v1_0.STM3314,190
110,gene_110,STM_v1_0.STM3315,249
111,gene_111,STM_v1_0.STM3334,342
113,gene_113,STM_v1_0.STM3390,121
114,gene_114,STM_v1_0.STM3391,576
115,gene_115,STM_v1_0.STM3482,84
116,gene_116,STM_v1_0.STM3493,259
117,gene_117,STM_v1_0.STM3500,700
119,gene_119,STM_v1_0.STM3612,48
120,gene_120,STM_v1_0.STM3635,85
121,gene_121,STM_v1_0.STM3661,414
124,gene_124,STM_v1_0.STM3740,126
125,gene_125,STM_v1_0.STM3865,560
127,gene_127,STM_v1_0.STM3901,419
128,gene_128,STM_v1_0.STM3904,783
129,gene_129,STM_v1_0.STM3915,101
130,gene_130,STM_v1_0.STM3922,375
131,gene_131,STM_v1_0.STM3970,156
