,query_gene,BiGG_gene,score
0,gene_0,STM_v1_0.STM0002,464
1,gene_1,STM_v1_0.STM0004,353
2,gene_2,STM_v1_0.STM0039,275
4,gene_4,STM_v1_0.STM0054,354
5,gene_5,STM_v1_0.STM0091,187
6,gene_6,STM_v1_0.STM0101,292
7,gene_7,STM_v1_0.STM0102,462
8,gene_8,STM_v1_0.STM0110,157
9,gene_9,STM_v1_0.STM0111,484
10,gene_10,STM_v1_0.STM0112,301
11,gene_11,STM_v1_0.STM0113,437
12,gene_12,STM_v1_0.STM0124,219
13,gene_13,STM_v1_0.STM0125,209
14,gene_14,STM_v1_0.STM0129,213
15,gene_15,STM_v1_0.STM0134,155
16,gene_16,STM_v1_0.STM0154,266
18,gene_18,STM_v1_0.STM0181,209
19,gene_19,STM_v1_0.STM0191,63
20,gene_20,STM_v1_0.STM0192,144
21,gene_21,STM_v1_0.STM0203,122
22,gene_22,STM_v1_0.STM0221,228
23,gene_23,STM_v1_0.STM0222,114
24,gene_24,STM_v1_0.STM0228,131
25,gene_25,STM_v1_0.STM0247,89
26,gene_26,STM_v1_0.STM0316,442
27,gene_27,STM_v1_0.STM0321,190
28,gene_28,STM_v1_0.STM0322,320
29,gene_29,STM_v1_0.STM0353,528
30,gene_30,STM_v1_0.STM0380,161
31,gene_31,STM_v1_0.STM0420,92
32,gene_32,STM_v1_0.STM0422,502
33,gene_33,STM_v1_0.STM0444,117
35,gene_35,STM_v1_0.STM0483,149
36,gene_36,STM_v1_0.STM0537,336
37,gene_37,STM_v1_0.STM0542,247
38,gene_38,STM_v1_0.STM0585,51
40,gene_40,STM_v1_0.STM0609,435
41,gene_41,STM_v1_0.STM0659,264
42,gene_42,STM_v1_0.STM0680,743
43,gene_43,STM_v1_0.STM0684,353
44,gene_44,STM_v1_0.STM0686,563
45,gene_45,STM_v1_0.STM0694,134
46,gene_46,STM_v1_0.STM0705,694
47,gene_47,STM_v1_0.STM0738,313
48,gene_48,STM_v1_0.STM0739,329
49,gene_49,STM_v1_0.STM0740,372
50,gene_50,STM_v1_0.STM0741,110
51,gene_51,STM_v1_0.STM0757,65
52,gene_52,STM_v1_0.STM0772,306
54,gene_54,STM_v1_0.STM0865,41
55,gene_55,STM_v1_0.STM0935,545
56,gene_56,STM_v1_0.STM0958,282
57,gene_57,STM_v1_0.STM0970,200
58,gene_58,STM_v1_0.STM0973,818
59,gene_59,STM_v1_0.STM0978,211
60,gene_60,STM_v1_0.STM0984,189
61,gene_61,STM_v1_0.STM0985,109
62,gene_62,STM_v1_0.STM1000,531
63,gene_63,STM_v1_0.STM1195,189
