,query_gene,BiGG_gene,score
0,gene_0,STM_v1_0.STM0003,155
1,gene_1,STM_v1_0.STM0004,298
2,gene_2,STM_v1_0.STM0039,267
3,gene_3,STM_v1_0.STM0047,45
4,gene_4,STM_v1_0.STM0054,338
5,gene_5,STM_v1_0.STM0055,244
6,gene_6,STM_v1_0.STM0103,433
7,gene_7,STM_v1_0.STM0110,162
8,gene_8,STM_v1_0.STM0111,460
9,gene_9,STM_v1_0.STM0113,436
10,gene_10,STM_v1_0.STM0125,252
11,gene_11,STM_v1_0.STM0129,206
12,gene_12,STM_v1_0.STM0170,112
13,gene_13,STM_v1_0.STM0191,68
14,gene_14,STM_v1_0.STM0192,118
15,gene_15,STM_v1_0.STM0213,145
16,gene_16,STM_v1_0.STM0218,251
17,gene_17,STM_v1_0.STM0221,223
18,gene_18,STM_v1_0.STM0222,110
19,gene_19,STM_v1_0.STM0227,43
20,gene_20,STM_v1_0.STM0247,137
21,gene_21,STM_v1_0.STM0316,424
23,gene_23,STM_v1_0.STM0322,306
24,gene_24,STM_v1_0.STM0386,157
25,gene_25,STM_v1_0.STM0402,48
26,gene_26,STM_v1_0.STM0417,119
27,gene_27,STM_v1_0.STM0422,509
28,gene_28,STM_v1_0.STM0444,87
29,gene_29,STM_v1_0.STM0498,471
30,gene_30,STM_v1_0.STM0537,339
31,gene_31,STM_v1_0.STM0585,45
33,gene_33,STM_v1_0.STM0659,276
34,gene_34,STM_v1_0.STM0680,764
35,gene_35,STM_v1_0.STM0684,352
36,gene_36,STM_v1_0.STM0686,651
37,gene_37,STM_v1_0.STM0694,142
38,gene_38,STM_v1_0.STM0740,424
39,gene_39,STM_v1_0.STM0741,112
41,gene_41,STM_v1_0.STM0772,305
42,gene_42,STM_v1_0.STM0774,245
43,gene_43,STM_v1_0.STM0791,263
44,gene_44,STM_v1_0.STM0958,303
45,gene_45,STM_v1_0.STM0970,206
46,gene_46,STM_v1_0.STM0973,803
47,gene_47,STM_v1_0.STM0978,213
48,gene_48,STM_v1_0.STM0984,128
49,gene_49,STM_v1_0.STM1000,537
50,gene_50,STM_v1_0.STM1058,223
51,gene_51,STM_v1_0.STM1196,80
52,gene_52,STM_v1_0.STM1197,378
53,gene_53,STM_v1_0.STM1221,144
54,gene_54,STM_v1_0.STM1235,42
55,gene_55,STM_v1_0.STM1290,469
56,gene_56,STM_v1_0.STM1294,265
57,gene_57,STM_v1_0.STM1299,509
58,gene_58,STM_v1_0.STM1338,457
59,gene_59,STM_v1_0.STM1340,133
60,gene_60,STM_v1_0.STM1378,287
61,gene_61,STM_v1_0.STM1431,196
62,gene_62,STM_v1_0.STM1449,359
63,gene_63,STM_v1_0.STM1468,664
64,gene_64,STM_v1_0.STM1511,199
65,gene_65,STM_v1_0.STM1517,79
67,gene_67,STM_v1_0.STM1647,333
68,gene_68,STM_v1_0.STM1700,101
69,gene_69,STM_v1_0.STM1731,221
70,gene_70,STM_v1_0.STM1780,287
71,gene_71,STM_v1_0.STM1792,415
72,gene_72,STM_v1_0.STM1793,110
