,query_gene,BiGG_gene,score
0,gene_0,STM_v1_0.STM0047,79
1,gene_1,STM_v1_0.STM0054,393
2,gene_2,STM_v1_0.STM0055,56
4,gene_4,STM_v1_0.STM0124,244
5,gene_5,STM_v1_0.STM0170,169
6,gene_6,STM_v1_0.STM0221,211
7,gene_7,STM_v1_0.STM0247,275
10,gene_10,STM_v1_0.STM0534,131
11,gene_11,STM_v1_0.STM0590,146
13,gene_13,STM_v1_0.STM0620,115
14,gene_14,STM_v1_0.STM0621,554
17,gene_17,STM_v1_0.STM0659,40
19,gene_19,STM_v1_0.STM0686,585
20,gene_20,STM_v1_0.STM0774,124
22,gene_22,STM_v1_0.STM0782,52
23,gene_23,STM_v1_0.STM0832,41
25,gene_25,STM_v1_0.STM0851,228
26,gene_26,STM_v1_0.STM0865,41
27,gene_27,STM_v1_0.STM0984,287
28,gene_28,STM_v1_0.STM1195,71
29,gene_29,STM_v1_0.STM1221,85
30,gene_30,STM_v1_0.STM1299,402
32,gene_32,STM_v1_0.STM1358,226
33,gene_33,STM_v1_0.STM1359,166
35,gene_35,STM_v1_0.STM1469,57
40,gene_40,STM_v1_0.STM1731,115
41,gene_41,STM_v1_0.STM1749,256
42,gene_42,STM_v1_0.STM1750,168
43,gene_43,STM_v1_0.STM1884,182
44,gene_44,STM_v1_0.STM1954,75
46,gene_46,STM_v1_0.STM2019,461
49,gene_49,STM_v1_0.STM2082,147
50,gene_50,STM_v1_0.STM2095,384
51,gene_51,STM_v1_0.STM2122,147
52,gene_52,STM_v1_0.STM2189,323
53,gene_53,STM_v1_0.STM2232,46
54,gene_54,STM_v1_0.STM2257,42
55,gene_55,STM_v1_0.STM2341,278
56,gene_56,STM_v1_0.STM2351,229
57,gene_57,STM_v1_0.STM2427,468
59,gene_59,STM_v1_0.STM2483,62
61,gene_61,STM_v1_0.STM2774,171
62,gene_62,STM_v1_0.STM2776,47
63,gene_63,STM_v1_0.STM2788,296
64,gene_64,STM_v1_0.STM2827,434
65,gene_65,STM_v1_0.STM2840,147
66,gene_66,STM_v1_0.STM2927,170
67,gene_67,STM_v1_0.STM3002,81
68,gene_68,STM_v1_0.STM3076,53
69,gene_69,STM_v1_0.STM3090,397
70,gene_70,STM_v1_0.STM3103,142
71,gene_71,STM_v1_0.STM3137,501
72,gene_72,STM_v1_0.STM3190,67
73,gene_73,STM_v1_0.STM3247,53
75,gene_75,STM_v1_0.STM3351,389
76,gene_76,STM_v1_0.STM3352,56
78,gene_78,STM_v1_0.STM3409,192
79,gene_79,STM_v1_0.STM3481,372
80,gene_80,STM_v1_0.STM3506,50
82,gene_82,STM_v1_0.STM3534,591
83,gene_83,STM_v1_0.STM3538,549
84,gene_84,STM_v1_0.STM3560,230
85,gene_85,STM_v1_0.STM3562,171
86,gene_86,STM_v1_0.STM3563,212
87,gene_87,STM_v1_0.STM3630,119
89,gene_89,STM_v1_0.STM3742,71
91,gene_91,STM_v1_0.STM3828,142
92,gene_92,STM_v1_0.STM3865,526
94,gene_94,STM_v1_0.STM3885,176
95,gene_95,STM_v1_0.STM3915,55
97,gene_97,STM_v1_0.STM4046,450
98,gene_98,STM_v1_0.STM4066,91
99,gene_99,STM_v1_0.STM4086,622
101,gene_101,STM_v1_0.STM4162,76
102,gene_102,STM_v1_0.STM4175,374
103,gene_103,STM_v1_0.STM4230,201
104,gene_104,STM_v1_0.STM4277,152
108,gene_109,iAF692.Mbar_A0052,191
109,gene_110,iAF692.Mbar_A0086,219
110,gene_111,iAF692.Mbar_A0171,41
111,gene_112,iAF692.Mbar_A0210,100
113,gene_114,iAF692.Mbar_A0227,541
114,gene_115,iAF692.Mbar_A0309,68
116,gene_117,iAF692.Mbar_A0408,80
118,gene_119,iAF692.Mbar_A0543,88
119,gene_120,iAF692.Mbar_A0550,240
120,gene_121,iAF692.Mbar_A0666,325
121,gene_122,iAF692.Mbar_A0853,109
122,gene_123,iAF692.Mbar_A0855,40
124,gene_125,iAF692.Mbar_A0942,239
125,gene_126,iAF692.Mbar_A0995,140
126,gene_127,iAF692.Mbar_A1037,212
127,gene_128,iAF692.Mbar_A1172,169
128,gene_129,iAF692.Mbar_A1223,557
129,gene_130,iAF692.Mbar_A1238,79
130,gene_131,iAF692.Mbar_A1305,64
132,gene_133,iAF692.Mbar_A1438,313
133,gene_134,iAF692.Mbar_A1452,46
134,gene_135,iAF692.Mbar_A1498,45
136,gene_137,iAF692.Mbar_A1586,494
138,gene_139,iAF692.Mbar_A1731,98
139,gene_140,iAF692.Mbar_A1776,51
140,gene_141,iAF692.Mbar_A1778,98
142,gene_143,iAF692.Mbar_A1783,135
143,gene_144,iAF692.Mbar_A1820,483
144,gene_145,iAF692.Mbar_A2020,68
145,gene_146,iAF692.Mbar_A2049,270
146,gene_147,iAF692.Mbar_A2079,35
147,gene_148,iAF692.Mbar_A2092,90
148,gene_149,iAF692.Mbar_A2191,123
149,gene_150,iAF692.Mbar_A2192,218
150,gene_151,iAF692.Mbar_A2222,568
151,gene_152,iAF692.Mbar_A2261,295
152,gene_153,iAF692.Mbar_A2262,182
153,gene_154,iAF692.Mbar_A2263,76
154,gene_155,iAF692.Mbar_A2315,123
156,gene_157,iAF692.Mbar_A2320,124
158,gene_159,iAF692.Mbar_A2394,190
159,gene_160,iAF692.Mbar_A2421,166
160,gene_161,iAF692.Mbar_A2422,365
161,gene_162,iAF692.Mbar_A2656,314
164,gene_165,iAF692.Mbar_A3251,428
165,gene_166,iAF692.Mbar_A3252,313
166,gene_167,iAF692.Mbar_A3423,320
167,gene_168,iAF692.Mbar_A3429,340
168,gene_169,iAF692.Mbar_A3463,403
170,gene_171,iAF692.Mbar_A3594,160
172,gene_173,iAF987.Gmet_0043,89
173,gene_174,iAF987.Gmet_0058,600
174,gene_175,iAF987.Gmet_0059,149
175,gene_176,iAF987.Gmet_0067,220
176,gene_177,iAF987.Gmet_0069,73
177,gene_178,iAF987.Gmet_0072,295
178,gene_179,iAF987.Gmet_0201,440
179,gene_180,iAF987.Gmet_0205,330
181,gene_182,iAF987.Gmet_0211,297
183,gene_184,iAF987.Gmet_0213,471
184,gene_185,iAF987.Gmet_0301,44
