,query_gene,BiGG_gene,score
0,gene_0,STM_v1_0.STM0047,68
1,gene_1,STM_v1_0.STM0137,42
2,gene_2,STM_v1_0.STM0608,261
3,gene_3,STM_v1_0.STM0609,531
4,gene_4,STM_v1_0.STM0618,114
5,gene_5,STM_v1_0.STM0659,271
6,gene_6,STM_v1_0.STM0828,73
7,gene_7,STM_v1_0.STM0842,150
8,gene_8,STM_v1_0.STM0891,99
9,gene_9,STM_v1_0.STM0956,184
10,gene_10,STM_v1_0.STM0957,199
11,gene_11,STM_v1_0.STM0984,260
12,gene_12,STM_v1_0.STM1101,137
13,gene_13,STM_v1_0.STM1221,87
14,gene_14,STM_v1_0.STM1301,39
15,gene_15,STM_v1_0.STM1511,136
16,gene_16,STM_v1_0.STM1522,103
17,gene_17,STM_v1_0.STM1582,79
18,gene_18,STM_v1_0.STM1742,308
19,gene_19,STM_v1_0.STM2082,119
20,gene_20,STM_v1_0.STM2298,140
21,gene_21,STM_v1_0.STM2332,57
22,gene_22,STM_v1_0.STM3002,106
24,gene_24,STM_v1_0.STM3493,108
26,gene_26,STM_v1_0.STM3630,110
28,gene_28,STM_v1_0.STM4398,456
29,gene_29,STM_v1_0.STM4425,108
30,gene_31,iAF692.Mbar_A0036,64
31,gene_32,iAF692.Mbar_A0052,210
32,gene_33,iAF692.Mbar_A0625,39
33,gene_34,iAF692.Mbar_A0995,100
34,gene_35,iAF692.Mbar_A1122,61
35,gene_36,iAF692.Mbar_A1138,96
36,gene_37,iAF692.Mbar_A1238,79
37,gene_38,iAF692.Mbar_A1452,65
38,gene_39,iAF692.Mbar_A1604,42
39,gene_40,iAF692.Mbar_A1731,75
41,gene_42,iAF692.Mbar_A2214,315
42,gene_43,iAF692.Mbar_A2215,224
43,gene_44,iAF692.Mbar_A2616,72
44,gene_45,iAF692.Mbar_A2894,59
45,gene_46,iAF692.Mbar_A2898,41
46,gene_47,iAF692.Mbar_A3039,61
47,gene_48,iAF692.Mbar_A3422,43
48,gene_49,iAF692.Mbar_A3635,42
49,gene_50,iAF987.Gmet_0043,88
50,gene_51,iAF987.Gmet_0069,82
51,gene_52,iAF987.Gmet_0148,44
52,gene_53,iAF987.Gmet_0300,55
53,gene_54,iAF987.Gmet_0302,39
54,gene_55,iAF987.Gmet_0354,109
55,gene_56,iAF987.Gmet_0700,65
56,gene_57,iAF987.Gmet_0769,93
57,gene_58,iAF987.Gmet_0843,78
58,gene_59,iAF987.Gmet_0885,145
59,gene_60,iAF987.Gmet_0984,436
60,gene_61,iAF987.Gmet_1043,74
61,gene_62,iAF987.Gmet_1504,189
62,gene_63,iAF987.Gmet_1706,82
63,gene_64,iAF987.Gmet_1790,99
64,gene_65,iAF987.Gmet_1888,147
65,gene_66,iAF987.Gmet_1899,185
66,gene_67,iAF987.Gmet_1900,201
67,gene_68,iAF987.Gmet_1901,120
68,gene_69,iAF987.Gmet_1903,102
69,gene_70,iAF987.Gmet_1914,67
70,gene_71,iAF987.Gmet_1919,82
71,gene_72,iAF987.Gmet_2075,171
72,gene_73,iAF987.Gmet_2349,361
73,gene_74,iAF987.Gmet_2425,87
74,gene_75,iAF987.Gmet_2444,63
75,gene_76,iAF987.Gmet_2634,182
76,gene_77,iAF987.Gmet_2721,88
77,gene_78,iAF987.Gmet_2999,80
78,gene_79,iAF987.Gmet_3509,276
79,gene_80,iAM_Pb448.PBANKA_050460,45
80,gene_81,iAM_Pb448.PBANKA_083440,66
82,gene_83,iAM_Pb448.PBANKA_145310,60
83,gene_84,iAM_Pb448.PBANKA_145350,95
84,gene_85,iAM_Pb448.PBANKA_146280,108
85,gene_86,iAM_Pc455.PCYB_061470,43
86,gene_87,iAM_Pc455.PCYB_074100,66
87,gene_88,iAM_Pc455.PCYB_125790,56
88,gene_89,iAM_Pc455.PCYB_147430,107
89,gene_90,iAM_Pf480.PF3D7_0420200,39
91,gene_92,iAM_Pf480.PF3D7_1239000,95
92,gene_93,iAM_Pf480.PF3D7_1249900,97
93,gene_94,iAM_Pv461.PVX_085660,102
94,gene_95,iAM_Pv461.PVX_087035,60
95,gene_96,iAM_Pv461.PVX_090105,38
96,gene_97,iAM_Pv461.PVX_100900,94
97,gene_98,iAM_Pv461.PVX_101390,104
98,gene_99,iAT_PLT_636.3712,41
99,gene_100,iAT_PLT_636.4905,142
100,gene_101,iCHOv1.100689019,79
102,gene_103,iCHOv1.100752172,80
103,gene_104,iCHOv1.100752270,76
104,gene_105,iCHOv1.100752401,44
105,gene_106,iCHOv1.100753937,59
106,gene_107,iCHOv1.100754659,86
107,gene_108,iCHOv1.100756666,150
108,gene_109,iCHOv1.100757019,169
109,gene_110,iCHOv1.100757118,82
110,gene_111,iCHOv1.100758864,101
111,gene_112,iCHOv1.100761226,130
112,gene_113,iCHOv1.100761937,56
113,gene_114,iCHOv1.100765478,93
115,gene_116,iCHOv1.100767789,166
116,gene_117,iCHOv1.100770679,130
117,gene_118,iCHOv1.100771266,111
118,gene_119,iCHOv1.100773599,89
119,gene_120,iCHOv1.100774575,57
120,gene_121,iCN718.ABAYE_RS02155,58
121,gene_122,iCN718.ABAYE_RS03670,99
122,gene_123,iCN718.ABAYE_RS05345,164
123,gene_124,iCN718.ABAYE_RS05605,371
124,gene_125,iCN718.ABAYE_RS07455,49
125,gene_126,iCN718.ABAYE_RS12465,55
126,gene_127,iCN718.ABAYE_RS12870,60
127,gene_128,iCN718.ABAYE_RS13845,78
128,gene_129,iCN718.ABAYE_RS14020,73
129,gene_130,iCN718.ABAYE_RS15425,166
130,gene_131,iCN718.ABAYE_RS18625,59
131,gene_132,iCN718.ABAYE_RS18875,362
132,gene_133,iCN900.CD630_02510,63
133,gene_134,iCN900.CD630_03010,60
134,gene_135,iCN900.CD630_04310,101
135,gene_136,iCN900.CD630_07520,140
136,gene_137,iCN900.CD630_07540,299
137,gene_138,iCN900.CD630_09000,130
138,gene_139,iCN900.CD630_10240,101
139,gene_140,iCN900.CD630_10600,155
140,gene_141,iCN900.CD630_11800,169
141,gene_142,iCN900.CD630_13000,221
142,gene_143,iCN900.CD630_14890,166
143,gene_144,iCN900.CD630_15870,97
144,gene_145,iCN900.CD630_16140,141
145,gene_146,iCN900.CD630_17090,54
146,gene_147,iCN900.CD630_17290,320
147,gene_148,iCN900.CD630_17760,107
148,gene_149,iCN900.CD630_18070,42
149,gene_150,iCN900.CD630_19380,417
150,gene_151,iCN900.CD630_19470,182
151,gene_152,iCN900.CD630_20200,883
152,gene_153,iCN900.CD630_21240,50
153,gene_154,iCN900.CD630_21720,102
154,gene_155,iCN900.CD630_22360,127
155,gene_156,iCN900.CD630_22390,250
156,gene_157,iCN900.CD630_22560,59
157,gene_158,iCN900.CD630_23200,110
158,gene_159,iCN900.CD630_23610,172
159,gene_160,iCN900.CD630_24200,77
160,gene_161,iCN900.CD630_25770,129
162,gene_163,iCN900.CD630_26230,164
163,gene_164,iCN900.CD630_26691,328
164,gene_165,iCN900.CD630_27420,112
165,gene_166,iCN900.CD630_28350,390
166,gene_167,iCN900.CD630_31000,228
167,gene_168,iCN900.CD630_31890,44
168,gene_169,iCN900.CD630_31950,498
169,gene_170,iCN900.CD630_32740,42
170,gene_171,iCN900.CD630_32860,40
171,gene_172,iCN900.CD630_33100,163
172,gene_173,iCN900.CD630_33570,53
173,gene_174,iCN900.CD630_34170,115
174,gene_175,iCN900.CD630_34800,114
175,gene_176,iCN900.CD630_34970,265
176,gene_177,iCN900.CD630_35170,223
177,gene_178,iCN900.CD630_35200,141
179,gene_180,iCN900.CD630_35300,98
180,gene_181,iCN900.CD630_35770,52
181,gene_182,iCN900.CD630_36640,145
182,gene_183,iEK1008.Rv0073,150
183,gene_184,iEK1008.Rv0125,65
184,gene_185,iEK1008.Rv0183,55
185,gene_186,iEK1008.Rv0202c,186
186,gene_187,iEK1008.Rv0386,53
188,gene_189,iEK1008.Rv0634c,40
189,gene_190,iEK1008.Rv0684,847
190,gene_191,iEK1008.Rv0853c,355
191,gene_192,iEK1008.Rv1076,71
193,gene_194,iEK1008.Rv1400c,72
194,gene_195,iEK1008.Rv2045c,155
195,gene_196,iEK1008.Rv2284,73
196,gene_197,iEK1008.Rv2435c,42
197,gene_198,iEK1008.Rv2564,139
198,gene_199,iEK1008.Rv2581c,109
199,gene_200,iEK1008.Rv2781c,156
200,gene_201,iEK1008.Rv2856,322
201,gene_202,iEK1008.Rv2936,125
202,gene_203,iEK1008.Rv3084,75
203,gene_204,iEK1008.Rv3097c,92
204,gene_205,iEK1008.Rv3116,45
205,gene_206,iEK1008.Rv3206c,48
206,gene_207,iEK1008.Rv3737,45
207,gene_208,iEK1008.Rv3777,73
208,gene_209,iHN637.CLJU_RS01130,120
209,gene_210,iHN637.CLJU_RS02325,94
210,gene_211,iHN637.CLJU_RS02330,89
211,gene_212,iHN637.CLJU_RS06465,138
212,gene_213,iHN637.CLJU_RS08755,216
213,gene_214,iHN637.CLJU_RS08795,531
214,gene_215,iHN637.CLJU_RS10465,228
215,gene_216,iHN637.CLJU_RS10635,43
216,gene_217,iHN637.CLJU_RS10665,44
218,gene_219,iHN637.CLJU_RS16795,197
219,gene_220,iHN637.CLJU_RS20535,254
220,gene_221,iHN637.CLJU_RS20745,454
221,gene_222,iIT341.HP0381,101
222,gene_223,iIT341.HP1077,324
224,gene_225,iJN1463.PP_0158,166
225,gene_226,iJN1463.PP_0240,101
226,gene_227,iJN1463.PP_0301,57
227,gene_228,iJN1463.PP_0398,44
228,gene_229,iJN1463.PP_0553,55
229,gene_230,iJN1463.PP_0558,419
230,gene_231,iJN1463.PP_0824,82
231,gene_232,iJN1463.PP_0953,103
232,gene_233,iJN1463.PP_0980,241
233,gene_234,iJN1463.PP_1235,108
234,gene_235,iJN1463.PP_1259,284
236,gene_237,iJN1463.PP_1336,172
237,gene_238,iJN1463.PP_1494,45
238,gene_239,iJN1463.PP_1805,382
239,gene_240,iJN1463.PP_1877,149
240,gene_241,iJN1463.PP_2122,110
241,gene_242,iJN1463.PP_2428,99
242,gene_243,iJN1463.PP_2439,253
243,gene_244,iJN1463.PP_2440,560
244,gene_245,iJN1463.PP_2476,282
245,gene_246,iJN1463.PP_2504,42
246,gene_247,iJN1463.PP_3588,105
248,gene_249,iJN1463.PP_4210,137
249,gene_250,iJN1463.PP_4219,743
250,gene_251,iJN1463.PP_4492,42
251,gene_252,iJN1463.PP_4600,107
252,gene_253,iJN1463.PP_4639,73
253,gene_254,iJN1463.PP_4840,469
255,gene_256,iJN1463.PP_4862,128
256,gene_257,iJN1463.PP_4893,225
258,gene_259,iJN1463.PP_5098,48
259,gene_260,iJN1463.PP_5168,102
260,gene_261,iLB1027_lipid.PHATRDRAFT_12894,57
261,gene_262,iLB1027_lipid.PHATRDRAFT_42659,45
262,gene_263,iLB1027_lipid.PHATRDRAFT_48445,55
263,gene_264,iLB1027_lipid.PHATRDRAFT_6288,42
264,gene_265,iLB1027_lipid.PHATRDRAFT_9984,48
265,gene_266,iLJ478.TM0057,338
266,gene_267,iLJ478.TM0058,284
267,gene_268,iLJ478.TM0059,160
268,gene_269,iLJ478.TM0191,58
269,gene_270,iLJ478.TM0587,42
270,gene_271,iLJ478.TM0800,154
271,gene_272,iLJ478.TM0869,41
272,gene_273,iLJ478.TM1063,323
274,gene_275,iLJ478.TM1065,161
275,gene_276,iLJ478.TM1161,49
276,gene_277,iLJ478.TM1164,300
277,gene_278,iLJ478.TM1165,207
278,gene_279,iLJ478.TM1374,70
279,gene_280,iLJ478.TM1376,120
281,gene_282,iLJ478.TM1749,271
282,gene_283,iML1515.b0070,121
283,gene_284,iML1515.b0089,166
284,gene_285,iML1515.b0199,136
285,gene_286,iML1515.b0347,119
286,gene_287,iML1515.b0355,56
287,gene_288,iML1515.b0605,259
288,gene_289,iML1515.b0606,540
289,gene_290,iML1515.b0612,108
290,gene_291,iML1515.b0624,63
291,gene_292,iML1515.b0650,267
292,gene_293,iML1515.b0675,40
293,gene_294,iML1515.b0766,42
294,gene_295,iML1515.b0808,93
295,gene_296,iML1515.b0822,159
296,gene_297,iML1515.b0826,75
297,gene_298,iML1515.b0844,160
298,gene_299,iML1515.b0864,99
299,gene_300,iML1515.b0886,189
300,gene_301,iML1515.b0887,194
301,gene_302,iML1515.b0914,251
302,gene_303,iML1515.b1009,48
303,gene_304,iML1515.b1010,78
304,gene_305,iML1515.b1025,88
305,gene_306,iML1515.b1103,69
306,gene_307,iML1515.b1134,45
309,gene_310,iML1515.b1337,120
310,gene_311,iML1515.b1341,93
311,gene_312,iML1515.b1448,144
312,gene_313,iML1515.b1449,290
313,gene_314,iML1515.b1463,73
314,gene_315,iML1515.b1490,95
315,gene_316,iML1515.b1513,102
316,gene_317,iML1515.b1528,97
317,gene_318,iML1515.b1539,132
319,gene_320,iML1515.b1601,64
320,gene_321,iML1515.b1686,86
321,gene_322,iML1515.b1694,283
322,gene_323,iML1515.b1759,39
323,gene_324,iML1515.b1781,82
324,gene_325,iML1515.b1832,150
325,gene_326,iML1515.b1856,57
326,gene_327,iML1515.b2047,122
327,gene_328,iML1515.b2165,322
328,gene_329,iML1515.b2166,120
329,gene_330,iML1515.b2173,90
330,gene_331,iML1515.b2254,143
331,gene_332,iML1515.b2263,85
332,gene_333,iML1515.b2291,57
333,gene_334,iML1515.b2480,104
334,gene_335,iML1515.b2682,71
335,gene_336,iML1515.b3003,333
338,gene_339,iML1515.b3291,105
339,gene_340,iML1515.b3396,105
340,gene_341,iML1515.b3540,316
341,gene_342,iML1515.b3544,128
342,gene_343,iML1515.b3590,72
343,gene_344,iML1515.b3697,106
344,gene_345,iML1515.b3833,62
345,gene_346,iML1515.b4167,106
346,gene_347,iML1515.b4173,239
347,gene_348,iML1515.b4208,456
348,gene_349,iML1515.b4337,98
349,gene_350,iML1515.b4352,79
350,gene_351,iML1515.b4374,111
351,gene_352,iMM1415.105014,81
352,gene_353,iMM1415.11303,132
353,gene_354,iMM1415.11423,125
354,gene_355,iMM1415.11431,82
355,gene_356,iMM1415.18195,142
356,gene_357,iMM1415.240332,90
357,gene_358,iMM1415.243616,93
358,gene_359,iMM1415.266645,105
359,gene_360,iMM1415.270076,165
360,gene_361,iMM1415.319945,58
361,gene_362,iMM1415.436059,151
362,gene_363,iMM1415.66885,44
363,gene_364,iMM1415.76722,81
364,gene_365,iMM904.YBR034C,42
365,gene_366,iMM904.YCR083W,60
366,gene_367,iMM904.YGR087C,367
367,gene_368,iMM904.YLR043C,72
368,gene_369,iMM904.YLR044C,365
369,gene_370,iMM904.YLR134W,353
371,gene_372,iMM904.YOL096C,44
372,gene_373,iMM904.YOL151W,115
373,gene_374,iNF517.LLMG_RS01625,282
374,gene_375,iNF517.LLMG_RS01630,166
375,gene_376,iNF517.LLMG_RS01635,206
377,gene_378,iNF517.LLMG_RS01845,306
378,gene_379,iNF517.LLMG_RS01970,167
380,gene_381,iNF517.LLMG_RS02790,172
381,gene_382,iNF517.LLMG_RS03890,56
382,gene_383,iNF517.LLMG_RS04060,88
383,gene_384,iNF517.LLMG_RS04495,57
384,gene_385,iNF517.LLMG_RS04880,118
386,gene_387,iNF517.LLMG_RS07160,337
387,gene_388,iNF517.LLMG_RS07955,77
388,gene_389,iNF517.LLMG_RS08250,618
389,gene_390,iNF517.LLMG_RS08260,84
390,gene_391,iNF517.LLMG_RS08455,363
391,gene_392,iNF517.LLMG_RS08555,104
392,gene_393,iNF517.LLMG_RS08595,45
393,gene_394,iNF517.LLMG_RS08930,435
394,gene_395,iNF517.LLMG_RS09290,150
395,gene_396,iNF517.LLMG_RS09720,121
396,gene_397,iNF517.LLMG_RS09915,142
397,gene_398,iNF517.LLMG_RS11240,150
398,gene_399,iNF517.LLMG_RS12010,163
399,gene_400,iPC815.YPO0122,45
401,gene_402,iPC815.YPO0145,105
404,gene_405,iPC815.YPO1332,112
405,gene_406,iPC815.YPO1352,99
406,gene_407,iPC815.YPO1395,262
407,gene_408,iPC815.YPO1913,295
408,gene_409,iPC815.YPO1914,261
409,gene_410,iPC815.YPO2167,42
410,gene_411,iPC815.YPO2295,114
411,gene_412,iPC815.YPO2421,135
412,gene_413,iPC815.YPO3012,103
413,gene_414,iPC815.YPO3064,106
414,gene_415,iPC815.YPO3070,46
415,gene_416,iPC815.YPO3441,219
416,gene_417,iPC815.YPO3627,174
417,gene_418,iPC815.YPO3781,61
418,gene_419,iPC815.YPO3854,522
420,gene_421,iSDY_1059.SDY_0218,136
421,gene_422,iSDY_1059.SDY_0226,80
422,gene_423,iSDY_1059.SDY_0761,76
424,gene_425,iSDY_1059.SDY_0984,50
425,gene_426,iSDY_1059.SDY_0985,77
426,gene_427,iSDY_1059.SDY_1303,164
427,gene_428,iSDY_1059.SDY_1586,132
428,gene_429,iSDY_1059.SDY_2018,45
429,gene_430,iSDY_1059.SDY_2344,251
430,gene_431,iSDY_1059.SDY_2374,196
431,gene_432,iSDY_1059.SDY_2375,190
432,gene_433,iSDY_1059.SDY_2459,88
433,gene_434,iSDY_1059.SDY_2487,56
434,gene_435,iSDY_1059.SDY_2669,107
435,gene_436,iSDY_1059.SDY_2877,72
436,gene_437,iSDY_1059.SDY_3382,104
437,gene_438,iSDY_1059.SDY_3682,107
438,gene_439,iSDY_1059.SDY_3910,58
439,gene_440,iSDY_1059.SDY_4284,215
441,gene_442,iSDY_1059.SDY_4563,313
442,gene_443,iSDY_1059.SDY_4567,120
443,gene_444,iSDY_1059.SDY_4633,111
444,gene_445,iSF_1195.SF0065,126
445,gene_446,iSF_1195.SF0538,41
446,gene_447,iSF_1195.SF0772,159
447,gene_448,iSF_1195.SF0776,73
448,gene_449,iSF_1195.SF0818,99
449,gene_450,iSF_1195.SF0845,185
450,gene_451,iSF_1195.SF0846,196
451,gene_452,iSF_1195.SF0891,109
452,gene_453,iSF_1195.SF0910,250
453,gene_454,iSF_1195.SF1012,50
454,gene_455,iSF_1195.SF1013,73
455,gene_456,iSF_1195.SF1153,45
456,gene_457,iSF_1195.SF1246,164
457,gene_458,iSF_1195.SF1248,305
458,gene_459,iSF_1195.SF1466,38
459,gene_460,iSF_1195.SF1556,136
460,gene_461,iSF_1195.SF1566,97
461,gene_462,iSF_1195.SF2333,143
462,gene_463,iSF_1195.SF2342,84
463,gene_464,iSF_1195.SF2367,56
464,gene_465,iSF_1195.SF2523,107
465,gene_466,iSF_1195.SF2709,70
467,gene_468,iSF_1195.SF3414,107
469,gene_470,iSF_1195.SF3579,120
470,gene_471,iSF_1195.SF3911,58
471,gene_472,iSF_1195.SF4278,454
472,gene_473,iSF_1195.SF4384,142
473,gene_474,iSF_1195.SF4405,113
