SampleID,TrueLabel,PredictedProbability
SRR6704238,0,0.466
SRR6704239,1,0.672
SRR6704240,1,0.688
SRR6704241,0,0.566
SRR6704242,1,0.772
SRR6704243,0,0.862
SRR6704244,0,0.49
SRR6704245,1,0.614
SRR6704246,1,0.522
SRR6704248,1,0.918
SRR6704249,1,0.896
SRR6704250,1,0.864
SRR6704251,1,0.928
SRR6704260,1,0.422
SRR6704261,1,0.476
SRR6704262,1,0.474
SRR6704264,1,0.42
SRR6704265,1,0.574
SRR6704267,1,0.516
SRR6704268,0,0.432
SRR6704269,0,0.614
SRR6704270,1,0.67
SRR6704271,1,0.948
SRR6704272,1,0.654
SRR6704273,1,0.688
SRR6704274,1,0.538
SRR6704275,1,0.598
SRR6704276,0,0.534
SRR6704277,0,0.524
SRR6704278,0,0.438
SRR6704279,1,0.85
SRR6704280,1,0.832
SRR6704281,1,0.738
SRR6704282,0,0.508
SRR6704283,0,0.48
SRR6704285,1,0.908
SRR6704286,1,0.77
SRR6704287,1,0.666
SRR6704289,1,0.674
SRR6704290,1,0.584
SRR6704291,1,0.62
SRR6704292,1,0.878
SRR6704295,0,0.632
SRR6704296,0,0.462
SRR6704298,0,0.518
SRR6704299,0,0.532
SRR6704300,0,0.568
SRR6704301,0,0.594
SRR6704303,0,0.538
SRR6704304,0,0.366
SRR6704305,0,0.406
SRR6704306,0,0.732
SRR6704307,0,0.68
SRR6704308,0,0.322
SRR6704309,0,0.272
SRR6704311,1,0.754
SRR6704314,0,0.848
SRR6704315,0,0.826
SRR6704316,1,0.58
SRR6704317,1,0.622
SRR6704318,1,0.74
SRR6704319,0,0.422
SRR6704320,1,0.676
SRR6704321,1,0.766
SRR6704322,1,0.814
SRR6704323,1,0.786
SRR6704324,1,0.49
SRR6704325,1,0.542
SRR6704326,1,0.584
SRR6704327,1,0.568
SRR6704328,0,0.578
SRR6704329,0,0.514
SRR6704330,0,0.462
SRR6704331,0,0.472
SRR6704332,0,0.634
SRR6704334,1,0.584
SRR6704335,0,0.528
SRR6704338,1,0.766
SRR6704341,1,0.922
SRR6704346,0,0.402
SRR6704347,1,0.672
SRR6704348,1,0.696
SRR6704350,1,0.574
SRR6704355,0,0.496
SRR6704356,1,0.756
SRR6704369,0,0.526
SRR6704370,0,0.546
SRR6704371,0,0.584
SRR6704372,0,0.436
SRR6704373,0,0.562
SRR6704375,1,0.716
SRR6704376,1,0.668
SRR6704379,1,0.686
SRR6704380,0,0.422
SRR6704383,1,0.614
SRR6704384,1,0.562
SRR6704386,1,0.542
SRR6704387,0,0.462
SRR6704390,1,0.888
SRR6704391,1,0.854
SRR6704394,1,0.676
SRR6704398,1,0.924
SRR6704401,1,0.728
SRR6704402,1,0.828
SRR6704403,1,0.658
SRR6704406,1,0.954
SRR6704408,1,0.762
SRR6704412,1,0.692
