fid,cosine,Type
AJ006962.1.1476,0.0441962477710218,anaerobic
AJ234041.1.1397,0.05488826304116595,anaerobic
AJ278694.1.1411,0.04942059333420036,anaerobic
AJ006963.1.1453,0.04592512779665329,anaerobic
HG726040.1.1387,0.07602371503287653,anaerobic
JN657222.1.1286,-0.002197335043079769,anaerobic
JN703378.1.1490,-0.053531393403122844,anaerobic
JN399172.1.1338,0.04374550861315604,aerobic
JN104029.1.1463,0.06163906087943924,facultatively
AF542231.1.1414,-0.017170279006488976,anaerobic
AF542228.1.1396,-0.01577582012197363,anaerobic
AF542233.1.1411,-0.01251358655595328,anaerobic
AJ243966.1.1459,0.06983525089506643,facultatively
AB002518.1.1416,0.08899584495406045,facultatively
AJ131121.1.1481,0.06544857769253576,facultatively
AJ292530.41.1371,0.10291586081149459,facultatively
AJ270951.1.1252,0.06592607119493275,facultatively
AJ132842.30.1345,0.006440314194906632,anaerobic
AJ251630.1.1502,-0.058102928116232966,anaerobic
AF550610.1.1416,-0.02509425660086883,anaerobic
AJ291746.1.1317,0.07554892786857964,anaerobic
AJ243791.1.1423,0.09605396177693236,facultatively
AJ251986.1.1401,0.10949781797129078,facultatively
AJ234040.1.1412,0.059417206706285114,facultatively
MF480321.1.1465,0.05693165121114561,aerobic
KU298954.1.1374,0.023008310593497283,anaerobic
AB012589.1.1484,0.013769191094658292,aerobic
EU309492.1.1445,-0.04433021211190727,anaerobic
U96412.1.1468,0.03621962584875618,anaerobic
AJ420200.1.1419,0.06661892072729966,facultatively
X55797.1.1410,-0.03305345232293021,anaerobic
U55237.1.1335,0.010326991535312184,anaerobic
EU350220.1.1440,0.10378194192849557,facultatively
X55410.1.1333,-0.016910221880216233,anaerobic
AB011816.1.1463,-0.025788214508791357,anaerobic
AJ305238.1.1505,-0.0573004128680593,anaerobic
AJ307005.1.1380,0.07098151030633985,anaerobic
LK056647.1.1423,0.05437851860804504,aerobic
AY211542.1.1343,0.0696733394355778,anaerobic
EU420062.1.1385,0.08255558430569496,aerobic
EU427463.1.1403,-0.02196594769274807,anaerobic
JX905358.1.1469,0.004308045374183636,anaerobic
X84007.1.1513,0.06144300775601657,anaerobic
X53217.1.1462,0.10001775023467048,facultatively
EU414673.1.1489,-0.032549659955332995,anaerobic
AY196662.1.1264,0.057480738995285746,anaerobic
AB022925.1.1450,0.10507702028270591,facultatively
AJ518871.1.1462,0.007643921601469269,anaerobic
FJ225426.1.1443,-0.04139373945959491,anaerobic
FJ185225.1.1409,0.014535441980780823,aerobic
AJ441057.1.1482,-0.015655084899426634,facultatively
X83955.1.1314,0.031871073196322174,facultatively
X81906.1.1324,0.03618260699872893,aerobic
EU377663.1.1474,0.005294057826200548,anaerobic
AJ430347.1.1345,0.025966084060437242,aerobic
EU410376.1.1482,0.010621945540175922,anaerobic
AJ508452.1.1498,-0.02337777426769345,anaerobic
AB023972.1.1377,-0.03721045259363049,anaerobic
X76739.8.1448,0.05223781925684751,anaerobic
X76748.1.1473,0.08615702213238054,anaerobic
X66002.1.1400,0.07427951988881508,anaerobic
X83953.1.1342,0.010504475397154102,anaerobic
AJ540309.1.1413,0.04388910602833334,facultatively
AJ421779.1.1522,0.06429838224522251,facultatively
X78720.1.1453,0.016051898920761528,facultatively
X72867.1.1547,-0.02591219442395206,anaerobic
X65935.1.1488,-0.003708796143183439,anaerobic
AY230217.1.1440,0.008220243476215267,anaerobic
JQ388596.1.1363,0.021481823165039018,anaerobic
EU483153.1.1362,-0.035945226851520476,anaerobic
X95624.1.1458,-0.016334941873040024,anaerobic
EU526291.1.1420,-0.057406494151770154,anaerobic
Y13105.1.1454,0.05025631278996836,anaerobic
AJ586614.1.1468,0.08930363599813382,facultatively
AY253658.1.1550,0.10493357460417285,facultatively
AY253657.1.1555,0.04378958487630802,anaerobic
AJ621555.1.1472,0.033388921025461496,facultatively
AJ558133.1.1467,0.0874498396201404,facultatively
AB036759.1.1480,0.062349217429793755,anaerobic
X96961.1.1474,-0.02553395338455071,anaerobic
Y11466.1.1391,-0.05797889576229453,anaerobic
Y18355.1.1409,0.08438902029910832,facultatively
Y18274.1.1429,0.060942025304046236,facultatively
EF012366.1.1251,0.035866613242427965,facultatively
EU626561.1.1381,0.10176884692768008,aerobic
Y18181.1.1435,-0.004460511274086855,anaerobic
Y18188.1.1489,0.06967376149701943,anaerobic
Y09911.1.1476,0.04048906553023613,aerobic
JQ354968.1.1364,0.027388433119623475,facultatively
EU484334.1.1464,0.09583598111402326,anaerobic
AJ697609.1.1517,0.07395734871064895,anaerobic
JQ608324.1.1434,0.03171643977562532,aerobic
JQ746476.1.1309,0.0276825610359412,aerobic
EU718058.1.1391,0.08349115611187835,facultatively
JQ780830.1.1329,0.0062465298151423605,anaerobic
JQ650245.1.1439,0.09588463122449098,facultatively
JQ809697.1.1447,-0.05524360593800007,anaerobic
