"","results.valid_p","q_value","LR_stat","ko","ko_descript"
"1",7.5140495563706e-35,2.4939130477594e-31,383.779050870261,"K01547","kdpB; potassium-transporting ATPase ATP-binding subunit [EC:7.2.2.6]"
"2",4.77101548073689e-34,7.91750019028287e-31,378.815386889206,"K01548","kdpC; potassium-transporting ATPase KdpC subunit"
"3",7.30350207582014e-34,8.08010779654902e-31,377.668806279513,"K01546","kdpA; potassium-transporting ATPase potassium-binding subunit"
"4",5.13700261312175e-23,4.26242791823777e-20,307.844006173458,"K07646","kdpD; two-component system, OmpR family, sensor histidine kinase KdpD [EC:2.7.13.3]"
"5",1.47078404061962e-22,9.76306446163306e-20,304.763934228411,"K03320","amt, AMT, MEP; ammonium transporter, Amt family"
"6",5.00141516414129e-21,2.76661615496416e-18,294.329902080288,"K05846","opuBD; osmoprotectant transport system permease protein"
"7",1.20781476006799e-20,5.72676741237953e-18,291.693585136141,"K14698","irtA, ybtP; ATP-binding cassette, subfamily B, bacterial IrtA/YbtP [EC:7.-.-.-]"
"8",2.08436338415179e-20,7.74541836911216e-18,290.056161361357,"K05845","opuC; osmoprotectant transport system substrate-binding protein"
"9",2.10029422482704e-20,7.74541836911216e-18,290.033280628877,"K14699","irtB, ybtQ; ATP-binding cassette, subfamily B, bacterial IrtB/YbtQ [EC:7.-.-.-]"
"10",1.81040491718494e-19,6.00873392013682e-17,283.523278856056,"K06400","spoIVCA; site-specific DNA recombinase"
"11",1.62847852219661e-18,4.91356383197321e-16,276.804646267353,"K05847","opuA; osmoprotectant transport system ATP-binding protein [EC:7.6.2.9]"
"12",1.30316212735887e-17,3.60432925058674e-15,270.363054744557,"K21739","rclA; probable pyridine nucleotide-disulfide oxidoreductase"
"13",2.23337588983829e-17,5.70198044490252e-15,268.680830915394,"K02038","pstA; phosphate transport system permease protein"
"14",4.59983810519114e-17,1.09049019079496e-14,266.415489010118,"K18220","tetM, tetO; ribosomal protection tetracycline resistance protein"
"15",3.93028996588985e-14,8.69642159785894e-12,244.673851891733,"K01607","pcaC; 4-carboxymuconolactone decarboxylase [EC:4.1.1.44]"
"16",5.20262278998109e-14,1.0792190649967e-11,243.745153155572,"K00986","ltrA; RNA-directed DNA polymerase [EC:2.7.7.49]"
"17",9.24971440882915e-14,1.805870713112e-11,241.832449663704,"K00012","UGDH, ugd; UDPglucose 6-dehydrogenase [EC:1.1.1.22]"
"18",2.77181197595054e-13,5.11091330454436e-11,238.156675775154,"K00265","gltB; glutamate synthase (NADPH) large chain [EC:1.4.1.13]"
"19",3.45606445511583e-13,6.03719890869971e-11,237.413185334265,"K14059","int; integrase"
"20",1.11760474948495e-12,1.85466508177028e-10,233.431356538586,"K06909","xtmB; phage terminase large subunit"
"21",2.09498726045612e-12,3.31107748450183e-10,231.280225849984,"K07133","K07133; uncharacterized protein"
"22",2.5224618868758e-12,3.80547772842762e-10,230.641864435541,"K04751","glnB; nitrogen regulatory protein P-II 1"
"23",7.92777783431887e-12,1.14401281009149e-09,226.677020777346,"K07171","mazF, ndoA, chpA; mRNA interferase MazF [EC:3.1.-.-]"
"24",8.47242403702562e-12,1.171665640787e-09,226.44544444594,"K02510","hpaI, hpcH; 4-hydroxy-2-oxoheptanedioate aldolase [EC:4.1.2.52]"
