,query_gene,BiGG_gene,score
0,gene_0,STM_v1_0.STM0042,188
1,gene_1,STM_v1_0.STM0047,48
2,gene_2,STM_v1_0.STM0054,355
3,gene_3,STM_v1_0.STM0055,436
4,gene_4,STM_v1_0.STM0101,293
5,gene_5,STM_v1_0.STM0102,496
6,gene_6,STM_v1_0.STM0170,189
7,gene_7,STM_v1_0.STM0192,148
8,gene_8,STM_v1_0.STM0203,189
9,gene_9,STM_v1_0.STM0235,79
10,gene_10,STM_v1_0.STM0247,177
11,gene_11,STM_v1_0.STM0386,255
12,gene_12,STM_v1_0.STM0401,252
13,gene_13,STM_v1_0.STM0431,383
14,gene_14,STM_v1_0.STM0472,159
15,gene_15,STM_v1_0.STM0518,51
16,gene_16,STM_v1_0.STM0527,137
17,gene_17,STM_v1_0.STM0590,162
18,gene_18,STM_v1_0.STM0644,221
19,gene_19,STM_v1_0.STM0659,281
20,gene_20,STM_v1_0.STM0661,163
21,gene_21,STM_v1_0.STM0705,797
23,gene_23,STM_v1_0.STM0828,110
24,gene_24,STM_v1_0.STM0830,98
25,gene_25,STM_v1_0.STM0843,446
26,gene_26,STM_v1_0.STM0844,216
27,gene_27,STM_v1_0.STM0848,402
28,gene_28,STM_v1_0.STM0849,153
29,gene_29,STM_v1_0.STM0850,206
30,gene_30,STM_v1_0.STM0851,201
31,gene_31,STM_v1_0.STM0878,112
32,gene_32,STM_v1_0.STM0956,176
33,gene_33,STM_v1_0.STM0958,223
34,gene_34,STM_v1_0.STM0963,240
35,gene_35,STM_v1_0.STM0973,879
36,gene_36,STM_v1_0.STM0984,295
37,gene_37,STM_v1_0.STM1076,154
38,gene_38,STM_v1_0.STM1196,47
39,gene_39,STM_v1_0.STM1221,103
40,gene_40,STM_v1_0.STM1255,323
41,gene_41,STM_v1_0.STM1256,229
42,gene_42,STM_v1_0.STM1257,182
43,gene_43,STM_v1_0.STM1259,160
45,gene_45,STM_v1_0.STM1301,45
46,gene_46,STM_v1_0.STM1349,43
47,gene_47,STM_v1_0.STM1359,158
48,gene_48,STM_v1_0.STM1449,327
49,gene_49,STM_v1_0.STM1490,72
50,gene_50,STM_v1_0.STM1517,76
51,gene_51,STM_v1_0.STM1557,211
52,gene_52,STM_v1_0.STM1582,95
53,gene_53,STM_v1_0.STM1679,213
54,gene_54,STM_v1_0.STM1731,117
55,gene_55,STM_v1_0.STM1743,298
57,gene_57,STM_v1_0.STM1780,110
58,gene_58,STM_v1_0.STM1830,128
60,gene_60,STM_v1_0.STM1909,328
61,gene_61,STM_v1_0.STM1954,93
62,gene_62,STM_v1_0.STM2026,115
63,gene_63,STM_v1_0.STM2027,224
64,gene_64,STM_v1_0.STM2032,274
65,gene_65,STM_v1_0.STM2034,245
66,gene_66,STM_v1_0.STM2035,296
67,gene_67,STM_v1_0.STM2040,725
68,gene_68,STM_v1_0.STM2041,187
69,gene_69,STM_v1_0.STM2042,110
70,gene_70,STM_v1_0.STM2043,590
71,gene_71,STM_v1_0.STM2044,42
72,gene_72,STM_v1_0.STM2047,190
73,gene_73,STM_v1_0.STM2050,100
74,gene_74,STM_v1_0.STM2051,380
75,gene_75,STM_v1_0.STM2074,203
77,gene_77,STM_v1_0.STM2081,504
78,gene_78,STM_v1_0.STM2082,146
79,gene_79,STM_v1_0.STM2085,188
80,gene_80,STM_v1_0.STM2095,395
81,gene_81,STM_v1_0.STM2163,112
82,gene_82,STM_v1_0.STM2188,45
83,gene_83,STM_v1_0.STM2189,427
84,gene_84,STM_v1_0.STM2204,194
85,gene_85,STM_v1_0.STM2206,59
86,gene_86,STM_v1_0.STM2276,48
87,gene_87,STM_v1_0.STM2284,329
88,gene_88,STM_v1_0.STM2356,178
89,gene_89,STM_v1_0.STM2384,308
90,gene_90,STM_v1_0.STM2431,65
91,gene_91,STM_v1_0.STM2432,472
92,gene_92,STM_v1_0.STM2433,108
93,gene_93,STM_v1_0.STM2463,335
94,gene_94,STM_v1_0.STM2474,613
95,gene_95,STM_v1_0.STM2497,435
96,gene_96,STM_v1_0.STM2550,313
97,gene_97,STM_v1_0.STM2555,496
98,gene_98,STM_v1_0.STM2649,80
99,gene_99,STM_v1_0.STM2774,210
100,gene_100,STM_v1_0.STM2791,326
101,gene_101,STM_v1_0.STM2820,62
102,gene_102,STM_v1_0.STM2840,179
103,gene_103,STM_v1_0.STM2851,155
104,gene_104,STM_v1_0.STM2916,80
105,gene_105,STM_v1_0.STM2973,443
106,gene_106,STM_v1_0.STM2974,75
107,gene_107,STM_v1_0.STM2976,719
108,gene_108,STM_v1_0.STM3039,99
109,gene_109,STM_v1_0.STM3051,740
110,gene_110,STM_v1_0.STM3091,51
111,gene_111,STM_v1_0.STM3190,70
113,gene_113,STM_v1_0.STM3244,201
114,gene_114,STM_v1_0.STM3248,385
115,gene_115,STM_v1_0.STM3253,228
116,gene_116,STM_v1_0.STM3259,52
117,gene_117,STM_v1_0.STM3261,260
118,gene_118,STM_v1_0.STM3314,174
119,gene_119,STM_v1_0.STM3333,119
120,gene_120,STM_v1_0.STM3351,353
121,gene_121,STM_v1_0.STM3352,436
122,gene_122,STM_v1_0.STM3379,97
123,gene_123,STM_v1_0.STM3409,220
124,gene_124,STM_v1_0.STM3493,139
125,gene_125,STM_v1_0.STM3506,49
126,gene_126,STM_v1_0.STM3514,490
127,gene_127,STM_v1_0.STM3534,499
128,gene_128,STM_v1_0.STM3538,624
129,gene_129,STM_v1_0.STM3562,155
130,gene_130,STM_v1_0.STM3627,232
131,gene_131,STM_v1_0.STM3630,137
132,gene_132,STM_v1_0.STM3671,48
133,gene_133,STM_v1_0.STM3672,207
134,gene_134,STM_v1_0.STM3673,155
135,gene_135,STM_v1_0.STM3674,329
136,gene_136,STM_v1_0.STM3677,285
137,gene_137,STM_v1_0.STM3680,479
138,gene_138,STM_v1_0.STM3694,110
139,gene_139,STM_v1_0.STM3697,148
140,gene_140,STM_v1_0.STM3708,392
141,gene_141,STM_v1_0.STM3709,465
143,gene_143,STM_v1_0.STM3733,199
144,gene_144,STM_v1_0.STM3864,67
145,gene_145,STM_v1_0.STM3865,588
146,gene_146,STM_v1_0.STM3881,126
147,gene_147,STM_v1_0.STM3882,441
148,gene_148,STM_v1_0.STM3883,220
149,gene_149,STM_v1_0.STM3884,127
150,gene_150,STM_v1_0.STM3885,88
151,gene_151,STM_v1_0.STM3915,94
152,gene_152,STM_v1_0.STM3922,382
153,gene_153,STM_v1_0.STM3938,201
154,gene_154,STM_v1_0.STM3968,165
155,gene_155,STM_v1_0.STM3978,193
156,gene_156,STM_v1_0.STM4007,401
157,gene_157,STM_v1_0.STM4046,466
158,gene_158,STM_v1_0.STM4047,342
159,gene_159,STM_v1_0.STM4066,138
160,gene_160,STM_v1_0.STM4086,640
161,gene_161,STM_v1_0.STM4114,201
162,gene_162,STM_v1_0.STM4166,127
163,gene_163,STM_v1_0.STM4229,55
164,gene_164,STM_v1_0.STM4230,191
165,gene_165,STM_v1_0.STM4283,228
166,gene_166,STM_v1_0.STM4298,287
167,gene_167,STM_v1_0.STM4323,58
168,gene_168,STM_v1_0.STM4382,492
169,gene_169,STM_v1_0.STM4384,70
170,gene_170,STM_v1_0.STM4387,243
171,gene_171,STM_v1_0.STM4388,310
172,gene_172,STM_v1_0.STM4425,98
173,gene_173,STM_v1_0.STM4433,94
174,gene_174,STM_v1_0.STM4451,110
175,gene_175,STM_v1_0.STM4452,296
176,gene_176,STM_v1_0.STM4453,605
177,gene_177,STM_v1_0.STM4465,396
178,gene_179,iAF692.Mbar_A0057,128
179,gene_180,iAF692.Mbar_A0083,48
180,gene_181,iAF692.Mbar_A0086,253
181,gene_182,iAF692.Mbar_A0141,245
183,gene_184,iAF692.Mbar_A0171,46
184,gene_185,iAF692.Mbar_A0186,600
185,gene_186,iAF692.Mbar_A0192,79
186,gene_187,iAF692.Mbar_A0210,103
187,gene_188,iAF692.Mbar_A0218,574
188,gene_189,iAF692.Mbar_A0219,152
190,gene_191,iAF692.Mbar_A0227,231
191,gene_192,iAF692.Mbar_A0232,181
192,gene_193,iAF692.Mbar_A0291,76
193,gene_194,iAF692.Mbar_A0309,94
194,gene_195,iAF692.Mbar_A0352,77
195,gene_196,iAF692.Mbar_A0384,85
196,gene_197,iAF692.Mbar_A0385,474
