SampleID,TrueLabel,PredictedProbability
SRS1386884,0.0,0.7729444
SRS1386887,0.0,0.40932354
SRS1386889,1.0,0.7993255
SRS1386892,0.0,0.530656
SRS1386893,1.0,0.8184803
SRS1386894,0.0,0.122574896
SRS1386895,1.0,0.8242199
SRS1386896,1.0,0.8122813
SRS1386898,0.0,0.20961522
SRS1386899,1.0,0.8205381
SRS1386901,0.0,0.1942709
SRS1386903,0.0,0.41887534
SRS1386904,1.0,0.7196644
SRS1386911,0.0,0.13563259
SRS1386915,1.0,0.84448457
SRS1386916,0.0,0.13501531
SRS1386917,0.0,0.13126639
SRS1386919,0.0,0.12638134
SRS1386921,0.0,0.58492374
SRS1386922,1.0,0.1444502
SRS1386923,0.0,0.14569847
SRS1386928,0.0,0.6702996
SRS1386929,0.0,0.16031072
SRS1386930,0.0,0.45702392
SRS1386931,0.0,0.14008798
SRS1386932,0.0,0.40248427
SRS1386933,0.0,0.43707493
SRS1386934,0.0,0.802573
SRS1386936,0.0,0.37414655
SRS1386939,0.0,0.1122364
SRS1386943,0.0,0.8567186
SRS1386947,0.0,0.20229514
SRS1386951,0.0,0.55886585
SRS1386953,0.0,0.43726796
SRS1386954,0.0,0.45278034
SRS1386955,0.0,0.21803711
SRS1386956,0.0,0.7498114
SRS1386957,0.0,0.351747
SRS1386958,0.0,0.72307485
SRS1386959,0.0,0.20771974
SRS1386960,0.0,0.1356543
SRS1386961,0.0,0.5919463
SRS1386963,0.0,0.37259078
SRS1386968,0.0,0.3309864
SRS1386969,0.0,0.6777597
SRS1386971,0.0,0.18767641
SRS1386972,1.0,0.81432647
SRS1386975,0.0,0.14568762
SRS1386976,0.0,0.12696613
SRS1386977,1.0,0.81713384
SRS1386978,0.0,0.30901337
SRS1386979,0.0,0.44704643
SRS1386983,0.0,0.35375023
SRS1387018,0.0,0.70978713
SRS1387019,0.0,0.37927696
SRS1387021,0.0,0.3290577
SRS1387023,1.0,0.7825714
SRS1387025,1.0,0.35348925
SRS1387026,1.0,0.49875972
SRS1387027,1.0,0.80143076
SRS1387028,0.0,0.35172543
