,query_gene,BiGG_gene,score
0,gene_0,STM_v1_0.STM0047,47
1,gene_1,STM_v1_0.STM0054,350
2,gene_2,STM_v1_0.STM0055,60
4,gene_4,STM_v1_0.STM0106,103
5,gene_5,STM_v1_0.STM0124,239
7,gene_7,STM_v1_0.STM0170,180
9,gene_9,STM_v1_0.STM0247,252
10,gene_10,STM_v1_0.STM0386,260
11,gene_11,STM_v1_0.STM0457,81
12,gene_12,STM_v1_0.STM0472,139
13,gene_13,STM_v1_0.STM0542,279
15,gene_15,STM_v1_0.STM0644,203
16,gene_16,STM_v1_0.STM0659,281
18,gene_18,STM_v1_0.STM0837,45
22,gene_22,STM_v1_0.STM0978,236
23,gene_23,STM_v1_0.STM0984,278
24,gene_24,STM_v1_0.STM1004,275
25,gene_25,STM_v1_0.STM1196,45
26,gene_26,STM_v1_0.STM1221,104
28,gene_28,STM_v1_0.STM1303,302
29,gene_29,STM_v1_0.STM1340,136
31,gene_31,STM_v1_0.STM1449,308
32,gene_32,STM_v1_0.STM1718,63
33,gene_33,STM_v1_0.STM1742,314
34,gene_34,STM_v1_0.STM1745,226
35,gene_35,STM_v1_0.STM1750,156
36,gene_36,STM_v1_0.STM1780,98
37,gene_37,STM_v1_0.STM1909,348
38,gene_38,STM_v1_0.STM1954,56
39,gene_39,STM_v1_0.STM2018,46
40,gene_40,STM_v1_0.STM2019,439
41,gene_41,STM_v1_0.STM2029,254
45,gene_45,STM_v1_0.STM2082,159
46,gene_46,STM_v1_0.STM2095,380
48,gene_48,STM_v1_0.STM2189,303
49,gene_49,STM_v1_0.STM2190,117
50,gene_50,STM_v1_0.STM2297,196
52,gene_52,STM_v1_0.STM2351,232
55,gene_55,STM_v1_0.STM2501,352
56,gene_56,STM_v1_0.STM2555,474
57,gene_57,STM_v1_0.STM2662,76
60,gene_60,STM_v1_0.STM3190,74
61,gene_61,STM_v1_0.STM3261,164
62,gene_62,STM_v1_0.STM3314,154
63,gene_63,STM_v1_0.STM3315,232
64,gene_64,STM_v1_0.STM3351,347
65,gene_65,STM_v1_0.STM3352,438
68,gene_68,STM_v1_0.STM3409,214
70,gene_70,STM_v1_0.STM3482,43
71,gene_71,STM_v1_0.STM3486,226
72,gene_72,STM_v1_0.STM3500,730
74,gene_74,STM_v1_0.STM3556,115
76,gene_76,STM_v1_0.STM3563,44
77,gene_77,STM_v1_0.STM3673,113
78,gene_78,STM_v1_0.STM3677,292
79,gene_79,STM_v1_0.STM3685,486
80,gene_80,STM_v1_0.STM3733,172
81,gene_81,STM_v1_0.STM3746,265
82,gene_82,STM_v1_0.STM3864,58
83,gene_83,STM_v1_0.STM3865,571
84,gene_84,STM_v1_0.STM3883,55
85,gene_85,STM_v1_0.STM3884,52
86,gene_86,STM_v1_0.STM3915,91
89,gene_89,STM_v1_0.STM3968,179
90,gene_90,STM_v1_0.STM4086,632
92,gene_92,STM_v1_0.STM4166,113
94,gene_94,STM_v1_0.STM4221,290
95,gene_95,STM_v1_0.STM4299,227
97,gene_97,STM_v1_0.STM4425,104
98,gene_98,STM_v1_0.STM4451,126
99,gene_99,STM_v1_0.STM4452,426
100,gene_100,STM_v1_0.STM4453,47
101,gene_101,STM_v1_0.STM4465,398
102,gene_102,STM_v1_0.STM4469,382
103,gene_104,iAF692.Mbar_A0086,246
104,gene_105,iAF692.Mbar_A0147,70
105,gene_106,iAF692.Mbar_A0152,348
106,gene_107,iAF692.Mbar_A0218,553
109,gene_110,iAF692.Mbar_A0291,165
110,gene_111,iAF692.Mbar_A0408,55
111,gene_112,iAF692.Mbar_A0541,248
112,gene_113,iAF692.Mbar_A0543,79
114,gene_115,iAF692.Mbar_A0666,520
115,gene_116,iAF692.Mbar_A0760,250
117,gene_118,iAF692.Mbar_A0871,285
118,gene_119,iAF692.Mbar_A0995,114
120,gene_121,iAF692.Mbar_A1138,90
121,gene_122,iAF692.Mbar_A1181,253
122,gene_123,iAF692.Mbar_A1195,380
123,gene_124,iAF692.Mbar_A1219,89
124,gene_125,iAF692.Mbar_A1238,87
125,gene_126,iAF692.Mbar_A1305,113
127,gene_128,iAF692.Mbar_A1365,70
128,gene_129,iAF692.Mbar_A1431,207
129,gene_130,iAF692.Mbar_A1438,375
131,gene_132,iAF692.Mbar_A1586,485
132,gene_133,iAF692.Mbar_A1587,456
133,gene_134,iAF692.Mbar_A1588,215
134,gene_135,iAF692.Mbar_A1776,48
135,gene_136,iAF692.Mbar_A1820,442
136,gene_137,iAF692.Mbar_A1871,134
137,gene_138,iAF692.Mbar_A2020,62
138,gene_139,iAF692.Mbar_A2022,489
139,gene_140,iAF692.Mbar_A2079,40
140,gene_141,iAF692.Mbar_A2092,103
142,gene_143,iAF692.Mbar_A2149,81
143,gene_144,iAF692.Mbar_A2179,147
144,gene_145,iAF692.Mbar_A2221,102
145,gene_146,iAF692.Mbar_A2261,126
146,gene_147,iAF692.Mbar_A2281,60
147,gene_148,iAF692.Mbar_A2376,93
149,gene_150,iAF692.Mbar_A2398,133
150,gene_151,iAF692.Mbar_A2517,525
152,gene_153,iAF692.Mbar_A2894,49
154,gene_155,iAF692.Mbar_A3045,434
155,gene_156,iAF692.Mbar_A3182,77
156,gene_157,iAF692.Mbar_A3183,106
157,gene_158,iAF692.Mbar_A3319,152
158,gene_159,iAF692.Mbar_A3353,144
160,gene_161,iAF692.Mbar_A3423,319
161,gene_162,iAF692.Mbar_A3429,310
162,gene_163,iAF692.Mbar_A3463,423
163,gene_164,iAF692.Mbar_A3476,182
166,gene_167,iAF987.Gmet_0018,163
167,gene_168,iAF987.Gmet_0043,95
168,gene_169,iAF987.Gmet_0059,201
169,gene_170,iAF987.Gmet_0067,245
170,gene_171,iAF987.Gmet_0069,101
172,gene_173,iAF987.Gmet_0075,499
173,gene_174,iAF987.Gmet_0076,75
174,gene_175,iAF987.Gmet_0104,456
176,gene_177,iAF987.Gmet_0118,48
178,gene_179,iAF987.Gmet_0204,316
180,gene_181,iAF987.Gmet_0209,489
181,gene_182,iAF987.Gmet_0211,296
182,gene_183,iAF987.Gmet_0301,44
183,gene_184,iAF987.Gmet_0337,159
185,gene_186,iAF987.Gmet_0383,197
187,gene_188,iAF987.Gmet_0387,191
188,gene_189,iAF987.Gmet_0389,328
189,gene_190,iAF987.Gmet_0406,265
190,gene_191,iAF987.Gmet_0408,254
191,gene_192,iAF987.Gmet_0415,207
192,gene_193,iAF987.Gmet_0467,228
193,gene_194,iAF987.Gmet_0470,252
194,gene_195,iAF987.Gmet_0477,158
195,gene_196,iAF987.Gmet_0481,144
197,gene_198,iAF987.Gmet_0486,250
198,gene_199,iAF987.Gmet_0487,193
199,gene_200,iAF987.Gmet_0491,81
200,gene_201,iAF987.Gmet_0492,145
202,gene_203,iAF987.Gmet_0497,263
204,gene_205,iAF987.Gmet_0549,583
205,gene_206,iAF987.Gmet_0602,356
206,gene_207,iAF987.Gmet_0608,308
207,gene_208,iAF987.Gmet_0662,51
208,gene_209,iAF987.Gmet_0684,295
209,gene_210,iAF987.Gmet_0700,299
210,gene_211,iAF987.Gmet_0782,281
211,gene_212,iAF987.Gmet_0816,55
212,gene_213,iAF987.Gmet_0819,448
213,gene_214,iAF987.Gmet_0849,146
214,gene_215,iAF987.Gmet_0865,181
215,gene_216,iAF987.Gmet_0880,96
216,gene_217,iAF987.Gmet_0885,168
217,gene_218,iAF987.Gmet_0902,437
218,gene_219,iAF987.Gmet_0903,394
219,gene_220,iAF987.Gmet_0916,318
220,gene_221,iAF987.Gmet_0928,153
221,gene_222,iAF987.Gmet_0940,825
222,gene_223,iAF987.Gmet_0941,158
223,gene_224,iAF987.Gmet_0957,306
224,gene_225,iAF987.Gmet_0977,109
225,gene_226,iAF987.Gmet_0978,232
227,gene_228,iAF987.Gmet_0987,277
228,gene_229,iAF987.Gmet_1036,122
229,gene_230,iAF987.Gmet_1043,73
230,gene_231,iAF987.Gmet_1046,241
231,gene_232,iAF987.Gmet_1053,219
234,gene_235,iAF987.Gmet_1168,138
235,gene_236,iAF987.Gmet_1179,101
236,gene_237,iAF987.Gmet_1186,494
237,gene_238,iAF987.Gmet_1216,265
238,gene_239,iAF987.Gmet_1254,230
239,gene_240,iAF987.Gmet_1256,358
240,gene_241,iAF987.Gmet_1260,526
241,gene_242,iAF987.Gmet_1261,97
242,gene_243,iAF987.Gmet_1262,388
245,gene_246,iAF987.Gmet_1298,110
246,gene_247,iAF987.Gmet_1353,411
247,gene_248,iAF987.Gmet_1357,625
248,gene_249,iAF987.Gmet_1415,365
249,gene_250,iAF987.Gmet_1416,425
251,gene_252,iAF987.Gmet_1487,481
253,gene_254,iAF987.Gmet_1558,366
254,gene_255,iAF987.Gmet_1601,254
255,gene_256,iAF987.Gmet_1603,421
256,gene_257,iAF987.Gmet_1605,533
257,gene_258,iAF987.Gmet_1629,260
258,gene_259,iAF987.Gmet_1640,271
259,gene_260,iAF987.Gmet_1657,63
260,gene_261,iAF987.Gmet_1671,224
261,gene_262,iAF987.Gmet_1676,603
262,gene_263,iAF987.Gmet_1706,79
263,gene_264,iAF987.Gmet_1716,219
264,gene_265,iAF987.Gmet_1759,163
265,gene_266,iAF987.Gmet_1762,228
266,gene_267,iAF987.Gmet_1790,77
267,gene_268,iAF987.Gmet_1815,67
268,gene_269,iAF987.Gmet_1832,52
269,gene_270,iAF987.Gmet_1841,315
270,gene_271,iAF987.Gmet_1888,144
271,gene_272,iAF987.Gmet_1899,252
272,gene_273,iAF987.Gmet_1903,275
274,gene_275,iAF987.Gmet_1906,317
275,gene_276,iAF987.Gmet_1914,78
276,gene_277,iAF987.Gmet_1917,84
277,gene_278,iAF987.Gmet_1919,105
278,gene_279,iAF987.Gmet_1934,580
279,gene_280,iAF987.Gmet_1939,452
280,gene_281,iAF987.Gmet_1953,88
282,gene_283,iAF987.Gmet_1991,56
284,gene_285,iAF987.Gmet_2054,281
285,gene_286,iAF987.Gmet_2066,297
287,gene_288,iAF987.Gmet_2095,48
288,gene_289,iAF987.Gmet_2257,303
290,gene_291,iAF987.Gmet_2349,339
291,gene_292,iAF987.Gmet_2391,437
292,gene_293,iAF987.Gmet_2425,89
293,gene_294,iAF987.Gmet_2439,84
295,gene_296,iAF987.Gmet_2444,56
297,gene_298,iAF987.Gmet_2475,248
298,gene_299,iAF987.Gmet_2476,239
299,gene_300,iAF987.Gmet_2477,217
300,gene_301,iAF987.Gmet_2482,500
301,gene_302,iAF987.Gmet_2494,185
302,gene_303,iAF987.Gmet_2495,278
303,gene_304,iAF987.Gmet_2496,210
304,gene_305,iAF987.Gmet_2497,360
