,query_gene,BiGG_gene,score
0,gene_0,STM_v1_0.STM0042,402
1,gene_1,STM_v1_0.STM0047,66
2,gene_2,STM_v1_0.STM0051,268
4,gene_4,STM_v1_0.STM0106,104
5,gene_5,STM_v1_0.STM0168,254
6,gene_6,STM_v1_0.STM0207,199
7,gene_7,STM_v1_0.STM0235,102
8,gene_8,STM_v1_0.STM0247,280
9,gene_9,STM_v1_0.STM0380,242
10,gene_10,STM_v1_0.STM0489,266
11,gene_11,STM_v1_0.STM0534,180
12,gene_12,STM_v1_0.STM0659,256
13,gene_13,STM_v1_0.STM0661,146
14,gene_14,STM_v1_0.STM0685,246
15,gene_15,STM_v1_0.STM0758,175
16,gene_16,STM_v1_0.STM0772,224
17,gene_17,STM_v1_0.STM0828,194
18,gene_18,STM_v1_0.STM0891,220
21,gene_21,STM_v1_0.STM0984,265
22,gene_22,STM_v1_0.STM1195,103
23,gene_23,STM_v1_0.STM1221,108
24,gene_24,STM_v1_0.STM1226,109
25,gene_25,STM_v1_0.STM1310,340
26,gene_26,STM_v1_0.STM1313,79
27,gene_27,STM_v1_0.STM1358,132
28,gene_28,STM_v1_0.STM1469,422
30,gene_30,STM_v1_0.STM1517,62
31,gene_31,STM_v1_0.STM1522,141
33,gene_33,STM_v1_0.STM1954,153
35,gene_35,STM_v1_0.STM2081,610
36,gene_36,STM_v1_0.STM2082,162
37,gene_37,STM_v1_0.STM2095,387
38,gene_38,STM_v1_0.STM2200,534
39,gene_39,STM_v1_0.STM2298,141
40,gene_40,STM_v1_0.STM2332,66
41,gene_41,STM_v1_0.STM2351,115
42,gene_42,STM_v1_0.STM2441,114
44,gene_44,STM_v1_0.STM2818,170
45,gene_45,STM_v1_0.STM3002,98
46,gene_46,STM_v1_0.STM3051,591
47,gene_47,STM_v1_0.STM3054,65
49,gene_49,STM_v1_0.STM3165,201
51,gene_51,STM_v1_0.STM3334,464
53,gene_53,STM_v1_0.STM3379,82
54,gene_54,STM_v1_0.STM3380,339
55,gene_55,STM_v1_0.STM3482,60
56,gene_56,STM_v1_0.STM3506,45
57,gene_57,STM_v1_0.STM3529,271
58,gene_58,STM_v1_0.STM3560,236
59,gene_59,STM_v1_0.STM3561,234
60,gene_60,STM_v1_0.STM3646,128
61,gene_61,STM_v1_0.STM3674,233
62,gene_62,STM_v1_0.STM3719,197
