,query_gene,BiGG_gene,score
0,gene_0,STM_v1_0.STM0006,248
1,gene_1,STM_v1_0.STM0039,276
2,gene_2,STM_v1_0.STM0047,53
3,gene_3,STM_v1_0.STM0067,1170
5,gene_5,STM_v1_0.STM0129,330
6,gene_6,STM_v1_0.STM0130,224
7,gene_7,STM_v1_0.STM0222,103
8,gene_8,STM_v1_0.STM0242,506
9,gene_9,STM_v1_0.STM0247,172
10,gene_10,STM_v1_0.STM0321,225
11,gene_11,STM_v1_0.STM0353,425
12,gene_12,STM_v1_0.STM0386,231
13,gene_13,STM_v1_0.STM0399,204
14,gene_14,STM_v1_0.STM0428,77
15,gene_15,STM_v1_0.STM0483,148
16,gene_16,STM_v1_0.STM0489,194
18,gene_18,STM_v1_0.STM0537,382
19,gene_19,STM_v1_0.STM0590,164
20,gene_20,STM_v1_0.STM0659,280
21,gene_21,STM_v1_0.STM0705,743
22,gene_22,STM_v1_0.STM0706,390
23,gene_23,STM_v1_0.STM0740,273
24,gene_24,STM_v1_0.STM0774,94
25,gene_25,STM_v1_0.STM0828,193
26,gene_26,STM_v1_0.STM0830,68
27,gene_27,STM_v1_0.STM0832,53
28,gene_28,STM_v1_0.STM0849,113
29,gene_29,STM_v1_0.STM0850,119
30,gene_30,STM_v1_0.STM0878,91
31,gene_31,STM_v1_0.STM0964,748
32,gene_32,STM_v1_0.STM0965,243
33,gene_33,STM_v1_0.STM0974,178
34,gene_34,STM_v1_0.STM0980,176
35,gene_35,STM_v1_0.STM0984,303
36,gene_36,STM_v1_0.STM1125,337
37,gene_37,STM_v1_0.STM1194,145
38,gene_38,STM_v1_0.STM1221,94
39,gene_39,STM_v1_0.STM1255,300
40,gene_40,STM_v1_0.STM1256,219
41,gene_41,STM_v1_0.STM1257,193
42,gene_42,STM_v1_0.STM1258,127
43,gene_43,STM_v1_0.STM1259,148
44,gene_44,STM_v1_0.STM1294,251
45,gene_45,STM_v1_0.STM1299,518
46,gene_46,STM_v1_0.STM1338,466
47,gene_47,STM_v1_0.STM1350,436
48,gene_48,STM_v1_0.STM1359,96
49,gene_49,STM_v1_0.STM1385,152
50,gene_50,STM_v1_0.STM1496,107
51,gene_51,STM_v1_0.STM1497,249
52,gene_52,STM_v1_0.STM1498,735
53,gene_53,STM_v1_0.STM1499,756
54,gene_54,STM_v1_0.STM1511,78
55,gene_55,STM_v1_0.STM1517,50
56,gene_56,STM_v1_0.STM1539,201
58,gene_58,STM_v1_0.STM1686,61
59,gene_59,STM_v1_0.STM1712,848
60,gene_60,STM_v1_0.STM1786,201
61,gene_61,STM_v1_0.STM1792,273
62,gene_62,STM_v1_0.STM1954,93
63,gene_63,STM_v1_0.STM2064,143
64,gene_64,STM_v1_0.STM2065,285
65,gene_65,STM_v1_0.STM2075,120
67,gene_67,STM_v1_0.STM2146,175
68,gene_68,STM_v1_0.STM2147,140
69,gene_69,STM_v1_0.STM2155,136
70,gene_70,STM_v1_0.STM2253,46
71,gene_71,STM_v1_0.STM2257,137
72,gene_72,STM_v1_0.STM2258,147
73,gene_73,STM_v1_0.STM2259,648
