,query_gene,BiGG_gene,score
1,gene_1,STM_v1_0.STM0047,41
2,gene_2,STM_v1_0.STM0054,355
3,gene_3,STM_v1_0.STM0055,441
4,gene_4,STM_v1_0.STM0101,273
5,gene_5,STM_v1_0.STM0137,39
6,gene_6,STM_v1_0.STM0247,270
8,gene_8,STM_v1_0.STM0506,41
9,gene_9,STM_v1_0.STM0523,47
10,gene_10,STM_v1_0.STM0644,215
11,gene_11,STM_v1_0.STM0659,268
13,gene_13,STM_v1_0.STM0828,126
16,gene_16,STM_v1_0.STM0956,173
19,gene_19,STM_v1_0.STM0977,310
20,gene_20,STM_v1_0.STM0978,235
21,gene_21,STM_v1_0.STM0984,296
22,gene_22,STM_v1_0.STM1076,143
23,gene_23,STM_v1_0.STM1125,332
24,gene_24,STM_v1_0.STM1221,92
26,gene_26,STM_v1_0.STM1301,49
27,gene_27,STM_v1_0.STM1340,147
29,gene_29,STM_v1_0.STM1358,270
30,gene_30,STM_v1_0.STM1449,316
32,gene_32,STM_v1_0.STM1731,119
33,gene_33,STM_v1_0.STM1743,301
34,gene_34,STM_v1_0.STM1780,105
35,gene_35,STM_v1_0.STM1909,328
36,gene_36,STM_v1_0.STM1933,202
37,gene_37,STM_v1_0.STM2017,73
38,gene_38,STM_v1_0.STM2018,43
41,gene_41,STM_v1_0.STM2029,243
43,gene_43,STM_v1_0.STM2035,275
44,gene_44,STM_v1_0.STM2080,488
45,gene_45,STM_v1_0.STM2082,167
46,gene_46,STM_v1_0.STM2085,186
47,gene_47,STM_v1_0.STM2091,369
48,gene_48,STM_v1_0.STM2092,274
49,gene_49,STM_v1_0.STM2095,393
50,gene_50,STM_v1_0.STM2109,427
51,gene_51,STM_v1_0.STM2188,228
52,gene_52,STM_v1_0.STM2189,497
53,gene_53,STM_v1_0.STM2190,202
54,gene_54,STM_v1_0.STM2206,59
55,gene_55,STM_v1_0.STM2384,334
56,gene_56,STM_v1_0.STM2427,479
57,gene_57,STM_v1_0.STM2431,56
59,gene_59,STM_v1_0.STM2555,478
62,gene_62,STM_v1_0.STM2840,181
63,gene_63,STM_v1_0.STM2956,42
65,gene_65,STM_v1_0.STM3002,111
66,gene_66,STM_v1_0.STM3137,508
67,gene_67,STM_v1_0.STM3190,76
69,gene_69,STM_v1_0.STM3351,352
70,gene_70,STM_v1_0.STM3352,441
73,gene_73,STM_v1_0.STM3486,234
74,gene_74,STM_v1_0.STM3500,727
75,gene_75,STM_v1_0.STM3525,48
77,gene_77,STM_v1_0.STM3538,623
80,gene_80,STM_v1_0.STM3576,48
81,gene_81,STM_v1_0.STM3627,305
83,gene_83,STM_v1_0.STM3672,232
84,gene_84,STM_v1_0.STM3673,119
85,gene_85,STM_v1_0.STM3677,283
87,gene_87,STM_v1_0.STM3733,176
88,gene_88,STM_v1_0.STM3865,601
89,gene_89,STM_v1_0.STM3882,295
90,gene_90,STM_v1_0.STM3884,58
91,gene_91,STM_v1_0.STM3915,81
95,gene_95,STM_v1_0.STM4063,346
96,gene_96,STM_v1_0.STM4086,641
97,gene_97,STM_v1_0.STM4166,113
98,gene_98,STM_v1_0.STM4221,290
99,gene_99,STM_v1_0.STM4229,48
100,gene_100,STM_v1_0.STM4299,194
101,gene_101,STM_v1_0.STM4388,301
102,gene_102,STM_v1_0.STM4451,142
103,gene_103,STM_v1_0.STM4452,402
104,gene_104,STM_v1_0.STM4465,422
105,gene_105,STM_v1_0.STM4469,385
106,gene_106,STM_v1_0.STM4483,236
107,gene_107,STM_v1_0.STM4585,73
108,gene_109,iAF692.Mbar_A0034,448
110,gene_111,iAF692.Mbar_A0086,248
111,gene_112,iAF692.Mbar_A0218,562
112,gene_113,iAF692.Mbar_A0219,102
113,gene_114,iAF692.Mbar_A0227,222
114,gene_115,iAF692.Mbar_A0229,39
116,gene_117,iAF692.Mbar_A0352,45
117,gene_118,iAF692.Mbar_A0408,98
118,gene_119,iAF692.Mbar_A0541,250
119,gene_120,iAF692.Mbar_A0543,83
121,gene_122,iAF692.Mbar_A0559,156
122,gene_123,iAF692.Mbar_A0666,514
124,gene_125,iAF692.Mbar_A0760,257
125,gene_126,iAF692.Mbar_A0762,134
126,gene_127,iAF692.Mbar_A0883,498
127,gene_128,iAF692.Mbar_A1187,243
128,gene_129,iAF692.Mbar_A1195,479
130,gene_131,iAF692.Mbar_A1238,84
131,gene_132,iAF692.Mbar_A1369,368
132,gene_133,iAF692.Mbar_A1414,48
134,gene_135,iAF692.Mbar_A1438,358
135,gene_136,iAF692.Mbar_A1586,481
136,gene_137,iAF692.Mbar_A1588,43
137,gene_138,iAF692.Mbar_A1602,43
138,gene_139,iAF692.Mbar_A1641,505
139,gene_140,iAF692.Mbar_A1731,65
140,gene_141,iAF692.Mbar_A1776,47
141,gene_142,iAF692.Mbar_A1781,336
142,gene_143,iAF692.Mbar_A1823,108
143,gene_144,iAF692.Mbar_A1871,142
144,gene_145,iAF692.Mbar_A2020,63
146,gene_147,iAF692.Mbar_A2079,37
148,gene_149,iAF692.Mbar_A2179,191
149,gene_150,iAF692.Mbar_A2221,98
152,gene_153,iAF692.Mbar_A2317,194
153,gene_154,iAF692.Mbar_A2517,512
154,gene_155,iAF692.Mbar_A2518,202
156,gene_157,iAF692.Mbar_A2656,394
157,gene_158,iAF692.Mbar_A2894,58
158,gene_159,iAF692.Mbar_A2943,133
159,gene_160,iAF692.Mbar_A2983,86
160,gene_161,iAF692.Mbar_A3045,422
161,gene_162,iAF692.Mbar_A3173,298
163,gene_164,iAF692.Mbar_A3183,118
164,gene_165,iAF692.Mbar_A3252,233
165,gene_166,iAF692.Mbar_A3319,137
166,gene_167,iAF692.Mbar_A3423,333
167,gene_168,iAF692.Mbar_A3429,323
168,gene_169,iAF692.Mbar_A3463,413
171,gene_172,iAF692.Mbar_A3653,409
172,gene_173,iAF987.Gmet_0018,157
173,gene_174,iAF987.Gmet_0043,101
174,gene_175,iAF987.Gmet_0060,204
175,gene_176,iAF987.Gmet_0067,236
176,gene_177,iAF987.Gmet_0069,105
177,gene_178,iAF987.Gmet_0072,299
178,gene_179,iAF987.Gmet_0073,481
179,gene_180,iAF987.Gmet_0075,501
180,gene_181,iAF987.Gmet_0076,79
182,gene_183,iAF987.Gmet_0116,79
183,gene_184,iAF987.Gmet_0120,191
184,gene_185,iAF987.Gmet_0203,253
185,gene_186,iAF987.Gmet_0204,321
187,gene_188,iAF987.Gmet_0209,494
188,gene_189,iAF987.Gmet_0211,302
189,gene_190,iAF987.Gmet_0300,70
190,gene_191,iAF987.Gmet_0301,47
192,gene_193,iAF987.Gmet_0337,55
193,gene_194,iAF987.Gmet_0383,197
194,gene_195,iAF987.Gmet_0384,406
195,gene_196,iAF987.Gmet_0386,226
197,gene_198,iAF987.Gmet_0389,327
198,gene_199,iAF987.Gmet_0406,290
199,gene_200,iAF987.Gmet_0408,273
201,gene_202,iAF987.Gmet_0415,210
202,gene_203,iAF987.Gmet_0467,232
203,gene_204,iAF987.Gmet_0470,254
204,gene_205,iAF987.Gmet_0481,150
205,gene_206,iAF987.Gmet_0485,208
206,gene_207,iAF987.Gmet_0486,229
207,gene_208,iAF987.Gmet_0487,186
208,gene_209,iAF987.Gmet_0492,80
209,gene_210,iAF987.Gmet_0497,286
210,gene_211,iAF987.Gmet_0549,558
211,gene_212,iAF987.Gmet_0608,329
212,gene_213,iAF987.Gmet_0684,321
214,gene_215,iAF987.Gmet_0698,385
215,gene_216,iAF987.Gmet_0699,369
216,gene_217,iAF987.Gmet_0700,196
217,gene_218,iAF987.Gmet_0782,207
218,gene_219,iAF987.Gmet_0816,52
219,gene_220,iAF987.Gmet_0819,487
220,gene_221,iAF987.Gmet_0822,73
221,gene_222,iAF987.Gmet_0865,176
222,gene_223,iAF987.Gmet_0866,219
223,gene_224,iAF987.Gmet_0870,192
224,gene_225,iAF987.Gmet_0880,123
225,gene_226,iAF987.Gmet_0885,146
226,gene_227,iAF987.Gmet_0886,150
227,gene_228,iAF987.Gmet_0902,473
228,gene_229,iAF987.Gmet_0903,410
229,gene_230,iAF987.Gmet_0916,315
230,gene_231,iAF987.Gmet_0928,164
231,gene_232,iAF987.Gmet_0940,807
232,gene_233,iAF987.Gmet_0941,160
233,gene_234,iAF987.Gmet_0957,235
234,gene_235,iAF987.Gmet_0977,107
235,gene_236,iAF987.Gmet_0978,238
236,gene_237,iAF987.Gmet_0987,296
238,gene_239,iAF987.Gmet_1062,75
241,gene_242,iAF987.Gmet_1168,139
242,gene_243,iAF987.Gmet_1179,67
243,gene_244,iAF987.Gmet_1186,500
244,gene_245,iAF987.Gmet_1188,41
246,gene_247,iAF987.Gmet_1260,551
247,gene_248,iAF987.Gmet_1261,110
248,gene_249,iAF987.Gmet_1262,389
249,gene_250,iAF987.Gmet_1293,263
250,gene_251,iAF987.Gmet_1298,98
251,gene_252,iAF987.Gmet_1300,214
252,gene_253,iAF987.Gmet_1311,421
253,gene_254,iAF987.Gmet_1312,386
254,gene_255,iAF987.Gmet_1350,95
255,gene_256,iAF987.Gmet_1353,427
256,gene_257,iAF987.Gmet_1357,653
257,gene_258,iAF987.Gmet_1365,98
258,gene_259,iAF987.Gmet_1416,533
259,gene_260,iAF987.Gmet_1431,126
260,gene_261,iAF987.Gmet_1558,373
263,gene_264,iAF987.Gmet_1568,369
264,gene_265,iAF987.Gmet_1599,290
265,gene_266,iAF987.Gmet_1601,247
266,gene_267,iAF987.Gmet_1605,511
267,gene_268,iAF987.Gmet_1629,274
268,gene_269,iAF987.Gmet_1640,264
269,gene_270,iAF987.Gmet_1706,76
270,gene_271,iAF987.Gmet_1759,167
271,gene_272,iAF987.Gmet_1762,234
272,gene_273,iAF987.Gmet_1770,387
273,gene_274,iAF987.Gmet_1790,48
274,gene_275,iAF987.Gmet_1819,254
275,gene_276,iAF987.Gmet_1841,328
276,gene_277,iAF987.Gmet_1844,340
277,gene_278,iAF987.Gmet_1854,73
278,gene_279,iAF987.Gmet_1875,164
279,gene_280,iAF987.Gmet_1888,140
281,gene_282,iAF987.Gmet_1903,275
282,gene_283,iAF987.Gmet_1905,211
283,gene_284,iAF987.Gmet_1906,176
284,gene_285,iAF987.Gmet_1914,78
285,gene_286,iAF987.Gmet_1917,102
286,gene_287,iAF987.Gmet_1919,155
287,gene_288,iAF987.Gmet_1934,604
288,gene_289,iAF987.Gmet_1939,452
289,gene_290,iAF987.Gmet_1953,120
290,gene_291,iAF987.Gmet_1991,68
291,gene_292,iAF987.Gmet_2054,279
292,gene_293,iAF987.Gmet_2066,304
293,gene_294,iAF987.Gmet_2072,244
295,gene_296,iAF987.Gmet_2257,313
296,gene_297,iAF987.Gmet_2349,324
298,gene_299,iAF987.Gmet_2372,507
299,gene_300,iAF987.Gmet_2391,463
300,gene_301,iAF987.Gmet_2425,92
301,gene_302,iAF987.Gmet_2439,234
302,gene_303,iAF987.Gmet_2444,52
303,gene_304,iAF987.Gmet_2472,205
304,gene_305,iAF987.Gmet_2475,238
305,gene_306,iAF987.Gmet_2482,468
306,gene_307,iAF987.Gmet_2494,174
307,gene_308,iAF987.Gmet_2495,287
308,gene_309,iAF987.Gmet_2496,212
309,gene_310,iAF987.Gmet_2497,355
310,gene_311,iAF987.Gmet_2559,171
311,gene_312,iAF987.Gmet_2629,296
312,gene_313,iAF987.Gmet_2633,164
313,gene_314,iAF987.Gmet_2634,223
314,gene_315,iAF987.Gmet_2673,354
315,gene_316,iAF987.Gmet_2714,75
316,gene_317,iAF987.Gmet_2721,89
317,gene_318,iAF987.Gmet_2727,57
318,gene_319,iAF987.Gmet_2767,734
319,gene_320,iAF987.Gmet_2822,617
320,gene_321,iAF987.Gmet_2823,48
322,gene_323,iAF987.Gmet_2853,388
324,gene_325,iAF987.Gmet_2904,431
325,gene_326,iAF987.Gmet_2992,322
326,gene_327,iAF987.Gmet_2999,168
327,gene_328,iAF987.Gmet_3012,67
328,gene_329,iAF987.Gmet_3020,95
330,gene_331,iAF987.Gmet_3085,322
331,gene_332,iAF987.Gmet_3156,66
332,gene_333,iAF987.Gmet_3199,413
333,gene_334,iAF987.Gmet_3203,576
334,gene_335,iAF987.Gmet_3241,42
335,gene_336,iAF987.Gmet_3259,191
336,gene_337,iAF987.Gmet_3260,360
337,gene_338,iAF987.Gmet_3262,107
338,gene_339,iAF987.Gmet_3275,152
339,gene_340,iAF987.Gmet_3294,306
340,gene_341,iAF987.Gmet_3304,288
341,gene_342,iAF987.Gmet_3339,290
342,gene_343,iAF987.Gmet_3406,640
343,gene_344,iAF987.Gmet_3408,660
344,gene_345,iAF987.Gmet_3470,99
345,gene_346,iAF987.Gmet_3476,52
346,gene_347,iAF987.Gmet_3508,66
347,gene_348,iAF987.Gmet_3509,256
348,gene_349,iAF987.Gmet_3528,243
349,gene_350,iAF987.Gmet_3529,180
350,gene_351,iAM_Pb448.PBANKA_083310,164
351,gene_352,iAM_Pb448.PBANKA_091170,62
353,gene_354,iAM_Pb448.PBANKA_100880,281
355,gene_356,iAM_Pb448.PBANKA_112620,97
356,gene_357,iAM_Pb448.PBANKA_113700,273
357,gene_358,iAM_Pb448.PBANKA_131810,263
358,gene_359,iAM_Pb448.PBANKA_145030,587
359,gene_360,iAM_Pb448.PBANKA_146280,109
360,gene_361,iAM_Pc455.PCYB_073980,167
361,gene_362,iAM_Pc455.PCYB_111980,310
362,gene_363,iAM_Pc455.PCYB_113330,102
364,gene_365,iAM_Pc455.PCYB_126090,255
365,gene_366,iAM_Pc455.PCYB_143210,40
366,gene_367,iAM_Pc455.PCYB_146140,589
367,gene_368,iAM_Pc455.PCYB_147430,102
369,gene_370,iAM_Pf480.PF3D7_0507200,63
370,gene_371,iAM_Pf480.PF3D7_1235700,591
371,gene_372,iAM_Pf480.PF3D7_1249900,108
372,gene_373,iAM_Pf480.PF3D7_1436000,282
373,gene_374,iAM_Pf480.PF3D7_1454400,270
374,gene_375,iAM_Pv461.PVX_000935,481
375,gene_376,iAM_Pv461.PVX_080215,39
377,gene_378,iAM_Pv461.PVX_087090,166
378,gene_379,iAM_Pv461.PVX_091405,69
380,gene_381,iAM_Pv461.PVX_100735,587
381,gene_382,iAM_Pv461.PVX_101390,100
383,gene_384,iAM_Pv461.PVX_115000,305
385,gene_386,iAM_Pv461.PVX_117760,239
387,gene_388,iAT_PLT_636.2582,429
388,gene_389,iAT_PLT_636.2821,290
389,gene_390,iAT_PLT_636.2987,45
390,gene_391,iAT_PLT_636.4905,132
391,gene_392,iAT_PLT_636.506,589
392,gene_393,iAT_PLT_636.5834,766
393,gene_394,iAT_PLT_636.6532,129
395,gene_396,iCHOv1.100682535,219
397,gene_398,iCHOv1.100689468,288
398,gene_399,iCHOv1.100751791,177
399,gene_400,iCHOv1.100752162,335
401,gene_402,iCHOv1.100753544,94
404,gene_405,iCHOv1.100754792,199
405,gene_406,iCHOv1.100757328,47
406,gene_407,iCHOv1.100757350,748
407,gene_408,iCHOv1.100757362,448
408,gene_409,iCHOv1.100757665,40
409,gene_410,iCHOv1.100758982,51
410,gene_411,iCHOv1.100759306,431
411,gene_412,iCHOv1.100760751,316
412,gene_413,iCHOv1.100761226,137
413,gene_414,iCHOv1.100761450,120
415,gene_416,iCHOv1.100762274,39
416,gene_417,iCHOv1.100763024,587
417,gene_418,iCHOv1.100763471,139
419,gene_420,iCHOv1.100767455,83
420,gene_421,iCHOv1.100767837,139
421,gene_422,iCHOv1.100768154,251
422,gene_423,iCHOv1.100769146,40
424,gene_425,iCHOv1.100770033,348
425,gene_426,iCHOv1.100771350,244
426,gene_427,iCHOv1.100771604,43
427,gene_428,iCHOv1.100773599,99
429,gene_430,iCHOv1.100774782,46
432,gene_433,iCN718.ABAYE_RS00975,87
433,gene_434,iCN718.ABAYE_RS01780,176
434,gene_435,iCN718.ABAYE_RS02015,248
435,gene_436,iCN718.ABAYE_RS03665,171
436,gene_437,iCN718.ABAYE_RS04050,477
437,gene_438,iCN718.ABAYE_RS04295,55
438,gene_439,iCN718.ABAYE_RS04335,261
440,gene_441,iCN718.ABAYE_RS04470,363
442,gene_443,iCN718.ABAYE_RS04905,331
443,gene_444,iCN718.ABAYE_RS05140,266
444,gene_445,iCN718.ABAYE_RS05150,232
445,gene_446,iCN718.ABAYE_RS05160,322
446,gene_447,iCN718.ABAYE_RS06050,214
447,gene_448,iCN718.ABAYE_RS06300,474
448,gene_449,iCN718.ABAYE_RS07235,171
449,gene_450,iCN718.ABAYE_RS10010,322
451,gene_452,iCN718.ABAYE_RS11025,180
452,gene_453,iCN718.ABAYE_RS12465,67
453,gene_454,iCN718.ABAYE_RS12870,81
454,gene_455,iCN718.ABAYE_RS13080,79
455,gene_456,iCN718.ABAYE_RS13345,123
456,gene_457,iCN718.ABAYE_RS13845,102
458,gene_459,iCN718.ABAYE_RS14110,236
459,gene_460,iCN718.ABAYE_RS14570,260
460,gene_461,iCN718.ABAYE_RS14785,154
461,gene_462,iCN718.ABAYE_RS14895,139
463,gene_464,iCN718.ABAYE_RS15095,163
464,gene_465,iCN718.ABAYE_RS15590,334
465,gene_466,iCN718.ABAYE_RS15865,45
466,gene_467,iCN718.ABAYE_RS16270,55
469,gene_470,iCN718.ABAYE_RS16490,83
471,gene_472,iCN718.ABAYE_RS17470,474
473,gene_474,iCN718.ABAYE_RS18625,60
474,gene_475,iCN718.ABAYE_RS18875,353
475,gene_476,iCN718.ABAYE_RS19060,90
478,gene_479,iCN900.CD630_00470,131
479,gene_480,iCN900.CD630_00480,229
480,gene_481,iCN900.CD630_00500,572
481,gene_482,iCN900.CD630_00520,332
482,gene_483,iCN900.CD630_00910,260
483,gene_484,iCN900.CD630_01000,298
484,gene_485,iCN900.CD630_01010,298
485,gene_486,iCN900.CD630_01020,276
486,gene_487,iCN900.CD630_01030,205
487,gene_488,iCN900.CD630_01200,667
488,gene_489,iCN900.CD630_01230,418
489,gene_490,iCN900.CD630_01300,529
490,gene_491,iCN900.CD630_01840,365
492,gene_493,iCN900.CD630_01980,643
493,gene_494,iCN900.CD630_02210,352
494,gene_495,iCN900.CD630_02220,189
495,gene_496,iCN900.CD630_02240,443
496,gene_497,iCN900.CD630_02250,1392
498,gene_499,iCN900.CD630_02510,464
500,gene_501,iCN900.CD630_03130,632
501,gene_502,iCN900.CD630_03960,109
502,gene_503,iCN900.CD630_04050,229
503,gene_504,iCN900.CD630_04310,96
504,gene_505,iCN900.CD630_05570,439
505,gene_506,iCN900.CD630_05910,426
506,gene_507,iCN900.CD630_06960,330
507,gene_508,iCN900.CD630_06970,175
508,gene_509,iCN900.CD630_06990,428
509,gene_510,iCN900.CD630_07080,363
510,gene_511,iCN900.CD630_07170,43
511,gene_512,iCN900.CD630_07180,744
512,gene_513,iCN900.CD630_07520,315
513,gene_514,iCN900.CD630_07530,334
514,gene_515,iCN900.CD630_07540,366
515,gene_516,iCN900.CD630_07590,998
516,gene_517,iCN900.CD630_08000,248
517,gene_518,iCN900.CD630_08160,136
518,gene_519,iCN900.CD630_08330,232
519,gene_520,iCN900.CD630_08410,612
521,gene_522,iCN900.CD630_08820,380
522,gene_523,iCN900.CD630_08840,444
523,gene_524,iCN900.CD630_08850,769
524,gene_525,iCN900.CD630_08880,424
525,gene_526,iCN900.CD630_08900,320
526,gene_527,iCN900.CD630_08930,319
527,gene_528,iCN900.CD630_08940,321
528,gene_529,iCN900.CD630_09000,105
529,gene_530,iCN900.CD630_09890,535
530,gene_531,iCN900.CD630_09900,617
531,gene_532,iCN900.CD630_09910,230
532,gene_533,iCN900.CD630_09920,411
533,gene_534,iCN900.CD630_10030,314
534,gene_535,iCN900.CD630_10050,449
535,gene_536,iCN900.CD630_10110,251
536,gene_537,iCN900.CD630_10240,435
537,gene_538,iCN900.CD630_10250,234
538,gene_539,iCN900.CD630_10260,211
539,gene_540,iCN900.CD630_10270,265
540,gene_541,iCN900.CD630_10540,497
541,gene_542,iCN900.CD630_10550,301
542,gene_543,iCN900.CD630_10560,332
543,gene_544,iCN900.CD630_10570,236
544,gene_545,iCN900.CD630_10580,264
545,gene_546,iCN900.CD630_10590,443
546,gene_547,iCN900.CD630_10600,195
547,gene_548,iCN900.CD630_10690,195
548,gene_549,iCN900.CD630_10870,80
549,gene_550,iCN900.CD630_11530,158
550,gene_551,iCN900.CD630_11750,503
551,gene_552,iCN900.CD630_11780,291
552,gene_553,iCN900.CD630_11790,266
553,gene_554,iCN900.CD630_11800,358
554,gene_555,iCN900.CD630_11810,275
555,gene_556,iCN900.CD630_11820,83
556,gene_557,iCN900.CD630_11840,457
558,gene_559,iCN900.CD630_12050,270
559,gene_560,iCN900.CD630_12070,580
561,gene_562,iCN900.CD630_12230,411
562,gene_563,iCN900.CD630_12240,249
563,gene_564,iCN900.CD630_12250,455
564,gene_565,iCN900.CD630_12790,477
565,gene_566,iCN900.CD630_12820,870
566,gene_567,iCN900.CD630_13150,197
567,gene_568,iCN900.CD630_13270,156
568,gene_569,iCN900.CD630_13320,247
569,gene_570,iCN900.CD630_13340,580
570,gene_571,iCN900.CD630_13820,677
571,gene_572,iCN900.CD630_14450,206
572,gene_573,iCN900.CD630_14770,82
573,gene_574,iCN900.CD630_14780,108
574,gene_575,iCN900.CD630_14790,787
575,gene_576,iCN900.CD630_14890,166
576,gene_577,iCN900.CD630_14900,178
577,gene_578,iCN900.CD630_14910,217
578,gene_579,iCN900.CD630_14950,293
579,gene_580,iCN900.CD630_15120,328
580,gene_581,iCN900.CD630_15130,329
581,gene_582,iCN900.CD630_15140,141
582,gene_583,iCN900.CD630_15260,363
583,gene_584,iCN900.CD630_15360,418
584,gene_585,iCN900.CD630_15370,649
585,gene_586,iCN900.CD630_15480,202
586,gene_587,iCN900.CD630_15540,214
587,gene_588,iCN900.CD630_15590,124
588,gene_589,iCN900.CD630_15770,556
590,gene_591,iCN900.CD630_15870,99
591,gene_592,iCN900.CD630_15950,197
592,gene_593,iCN900.CD630_16000,156
593,gene_594,iCN900.CD630_16140,134
594,gene_595,iCN900.CD630_16150,105
596,gene_597,iCN900.CD630_16490,94
597,gene_598,iCN900.CD630_16590,595
598,gene_599,iCN900.CD630_16740,209
599,gene_600,iCN900.CD630_16910,275
601,gene_602,iCN900.CD630_16970,224
603,gene_604,iCN900.CD630_17020,548
605,gene_606,iCN900.CD630_17040,291
606,gene_607,iCN900.CD630_17050,282
607,gene_608,iCN900.CD630_17230,75
608,gene_609,iCN900.CD630_17290,368
609,gene_610,iCN900.CD630_17760,113
610,gene_611,iCN900.CD630_17850,424
611,gene_612,iCN900.CD630_18060,197
612,gene_613,iCN900.CD630_18140,96
613,gene_614,iCN900.CD630_18180,249
614,gene_615,iCN900.CD630_18200,569
615,gene_616,iCN900.CD630_18240,553
616,gene_617,iCN900.CD630_18250,443
617,gene_618,iCN900.CD630_18330,258
618,gene_619,iCN900.CD630_19360,288
619,gene_620,iCN900.CD630_19370,259
620,gene_621,iCN900.CD630_19470,209
621,gene_622,iCN900.CD630_20140,660
622,gene_623,iCN900.CD630_20200,911
623,gene_624,iCN900.CD630_20300,399
624,gene_625,iCN900.CD630_20320,264
625,gene_626,iCN900.CD630_20330,358
626,gene_627,iCN900.CD630_20500,125
627,gene_628,iCN900.CD630_20590,690
629,gene_630,iCN900.CD630_21000,169
630,gene_631,iCN900.CD630_21150,706
631,gene_632,iCN900.CD630_21180,561
632,gene_633,iCN900.CD630_21220,275
633,gene_634,iCN900.CD630_21280,405
634,gene_635,iCN900.CD630_21300,390
635,gene_636,iCN900.CD630_21350,127
636,gene_637,iCN900.CD630_21360,252
637,gene_638,iCN900.CD630_21380,224
638,gene_639,iCN900.CD630_21550,372
639,gene_640,iCN900.CD630_21560,455
640,gene_641,iCN900.CD630_21680,787
641,gene_642,iCN900.CD630_21720,227
642,gene_643,iCN900.CD630_21890,145
643,gene_644,iCN900.CD630_22170,299
644,gene_645,iCN900.CD630_22450,669
646,gene_647,iCN900.CD630_22690,669
647,gene_648,iCN900.CD630_22700,325
648,gene_649,iCN900.CD630_22760,447
649,gene_650,iCN900.CD630_22780,298
650,gene_651,iCN900.CD630_23210,363
651,gene_652,iCN900.CD630_23220,345
652,gene_653,iCN900.CD630_23290,287
653,gene_654,iCN900.CD630_23390,280
654,gene_655,iCN900.CD630_23700,304
655,gene_656,iCN900.CD630_23710,376
656,gene_657,iCN900.CD630_23720,288
657,gene_658,iCN900.CD630_23770,36
658,gene_659,iCN900.CD630_24100,1016
659,gene_660,iCN900.CD630_24640,288
660,gene_661,iCN900.CD630_24910,321
661,gene_662,iCN900.CD630_24930,85
662,gene_663,iCN900.CD630_25000,490
663,gene_664,iCN900.CD630_25030,664
664,gene_665,iCN900.CD630_25240,119
665,gene_666,iCN900.CD630_25320,409
666,gene_667,iCN900.CD630_25490,131
667,gene_668,iCN900.CD630_25740,102
668,gene_669,iCN900.CD630_25750,246
669,gene_670,iCN900.CD630_25770,207
670,gene_671,iCN900.CD630_25840,293
671,gene_672,iCN900.CD630_25870,375
672,gene_673,iCN900.CD630_25880,186
673,gene_674,iCN900.CD630_25940,307
674,gene_675,iCN900.CD630_25960,334
675,gene_676,iCN900.CD630_26230,214
676,gene_677,iCN900.CD630_26270,78
677,gene_678,iCN900.CD630_26300,328
678,gene_679,iCN900.CD630_26530,369
679,gene_680,iCN900.CD630_26540,255
680,gene_681,iCN900.CD630_26640,298
681,gene_682,iCN900.CD630_26760,419
682,gene_683,iCN900.CD630_26820,1256
683,gene_684,iCN900.CD630_26910,204
684,gene_685,iCN900.CD630_26920,279
685,gene_686,iCN900.CD630_26950,413
686,gene_687,iCN900.CD630_26960,322
687,gene_688,iCN900.CD630_27080,382
688,gene_689,iCN900.CD630_27140,460
689,gene_690,iCN900.CD630_27260,498
690,gene_691,iCN900.CD630_27330,361
691,gene_692,iCN900.CD630_27390,408
692,gene_693,iCN900.CD630_27410,374
693,gene_694,iCN900.CD630_27420,125
694,gene_695,iCN900.CD630_27440,746
695,gene_696,iCN900.CD630_27550,476
696,gene_697,iCN900.CD630_27800,577
697,gene_698,iCN900.CD630_28280,461
698,gene_699,iCN900.CD630_28320,306
699,gene_700,iCN900.CD630_28750,295
704,gene_705,iCN900.CD630_29670,227
705,gene_706,iCN900.CD630_29710,42
707,gene_708,iCN900.CD630_30840,399
709,gene_710,iCN900.CD630_31100,337
710,gene_711,iCN900.CD630_31250,129
713,gene_714,iCN900.CD630_31690,173
714,gene_715,iCN900.CD630_31700,525
715,gene_716,iCN900.CD630_31710,631
716,gene_717,iCN900.CD630_31730,475
717,gene_718,iCN900.CD630_31740,400
719,gene_720,iCN900.CD630_31950,525
720,gene_721,iCN900.CD630_32150,108
721,gene_722,iCN900.CD630_32230,293
722,gene_723,iCN900.CD630_32250,293
723,gene_724,iCN900.CD630_32530,243
724,gene_725,iCN900.CD630_32560,1141
725,gene_726,iCN900.CD630_32610,359
726,gene_727,iCN900.CD630_32620,232
727,gene_728,iCN900.CD630_32630,257
728,gene_729,iCN900.CD630_32680,102
730,gene_731,iCN900.CD630_32740,50
731,gene_732,iCN900.CD630_32810,276
732,gene_733,iCN900.CD630_32860,333
733,gene_734,iCN900.CD630_33080,168
