,query_gene,BiGG_gene,score
0,gene_0,STM_v1_0.STM0039,245
1,gene_1,STM_v1_0.STM0047,57
2,gene_2,STM_v1_0.STM0054,402
3,gene_3,STM_v1_0.STM0203,197
4,gene_4,STM_v1_0.STM0247,168
5,gene_5,STM_v1_0.STM0399,234
7,gene_7,STM_v1_0.STM0590,177
8,gene_8,STM_v1_0.STM0659,284
9,gene_9,STM_v1_0.STM0705,778
10,gene_10,STM_v1_0.STM0706,533
11,gene_11,STM_v1_0.STM0830,125
12,gene_12,STM_v1_0.STM0842,100
13,gene_13,STM_v1_0.STM0850,213
14,gene_14,STM_v1_0.STM0970,270
15,gene_15,STM_v1_0.STM0984,273
16,gene_16,STM_v1_0.STM1221,100
17,gene_17,STM_v1_0.STM1255,385
18,gene_18,STM_v1_0.STM1256,247
19,gene_19,STM_v1_0.STM1257,199
21,gene_21,STM_v1_0.STM1502,59
22,gene_22,STM_v1_0.STM1686,55
23,gene_23,STM_v1_0.STM1731,135
24,gene_24,STM_v1_0.STM1743,139
25,gene_25,STM_v1_0.STM2047,176
26,gene_26,STM_v1_0.STM2058,128
28,gene_28,STM_v1_0.STM2082,155
29,gene_29,STM_v1_0.STM2189,309
30,gene_30,STM_v1_0.STM2276,39
31,gene_31,STM_v1_0.STM2297,145
32,gene_32,STM_v1_0.STM2356,173
33,gene_33,STM_v1_0.STM2840,213
34,gene_34,STM_v1_0.STM3002,92
35,gene_35,STM_v1_0.STM3091,57
36,gene_36,STM_v1_0.STM3225,447
37,gene_37,STM_v1_0.STM3253,326
38,gene_38,STM_v1_0.STM3314,158
39,gene_39,STM_v1_0.STM3351,398
41,gene_41,STM_v1_0.STM3474,38
42,gene_42,STM_v1_0.STM3486,214
43,gene_43,STM_v1_0.STM3493,125
44,gene_44,STM_v1_0.STM3627,255
45,gene_45,STM_v1_0.STM3629,207
46,gene_46,STM_v1_0.STM3630,140
47,gene_47,STM_v1_0.STM3746,277
48,gene_48,STM_v1_0.STM3793,220
