,query_gene,BiGG_gene,score
0,gene_0,STM_v1_0.STM0039,225
1,gene_1,STM_v1_0.STM0047,52
6,gene_6,STM_v1_0.STM0130,181
7,gene_7,STM_v1_0.STM0137,40
9,gene_9,STM_v1_0.STM0207,140
10,gene_10,STM_v1_0.STM0242,407
11,gene_11,STM_v1_0.STM0247,272
13,gene_13,STM_v1_0.STM0368,232
14,gene_14,STM_v1_0.STM0386,157
16,gene_16,STM_v1_0.STM0464,171
18,gene_18,STM_v1_0.STM0518,124
19,gene_19,STM_v1_0.STM0519,197
20,gene_20,STM_v1_0.STM0525,327
22,gene_22,STM_v1_0.STM0537,344
23,gene_23,STM_v1_0.STM0590,275
25,gene_25,STM_v1_0.STM0659,275
27,gene_27,STM_v1_0.STM0663,97
28,gene_28,STM_v1_0.STM0684,198
29,gene_29,STM_v1_0.STM0685,343
31,gene_31,STM_v1_0.STM0828,251
32,gene_32,STM_v1_0.STM0830,85
34,gene_34,STM_v1_0.STM0848,424
35,gene_35,STM_v1_0.STM0849,148
36,gene_36,STM_v1_0.STM0850,184
37,gene_37,STM_v1_0.STM0851,164
38,gene_38,STM_v1_0.STM0878,185
40,gene_40,STM_v1_0.STM0964,971
41,gene_41,STM_v1_0.STM0965,259
43,gene_43,STM_v1_0.STM0970,186
44,gene_44,STM_v1_0.STM0973,944
45,gene_45,STM_v1_0.STM0984,268
46,gene_46,STM_v1_0.STM1101,149
49,gene_49,STM_v1_0.STM1106,236
50,gene_50,STM_v1_0.STM1195,135
51,gene_51,STM_v1_0.STM1196,60
52,gene_52,STM_v1_0.STM1197,301
53,gene_53,STM_v1_0.STM1203,69
54,gene_54,STM_v1_0.STM1209,122
55,gene_55,STM_v1_0.STM1221,67
56,gene_56,STM_v1_0.STM1232,402
57,gene_57,STM_v1_0.STM1235,42
58,gene_58,STM_v1_0.STM1338,352
59,gene_59,STM_v1_0.STM1358,224
60,gene_60,STM_v1_0.STM1463,93
65,gene_65,STM_v1_0.STM1569,155
68,gene_68,STM_v1_0.STM1679,122
69,gene_69,STM_v1_0.STM1742,199
70,gene_70,STM_v1_0.STM1743,209
71,gene_71,STM_v1_0.STM1750,119
72,gene_72,STM_v1_0.STM1884,153
73,gene_73,STM_v1_0.STM1901,506
75,gene_75,STM_v1_0.STM2082,157
77,gene_77,STM_v1_0.STM2189,419
78,gene_78,STM_v1_0.STM2388,270
79,gene_79,STM_v1_0.STM2427,476
81,gene_81,STM_v1_0.STM2441,120
