fid,cosine,Type
AJ305238.1.1505,-0.056509108365441464,anaerobic
ABQR01000074.101.1610,0.00910583954652276,anaerobic
Y18181.1.1435,-0.013612824491577758,anaerobic
ACON01000003.712136.713636,0.0919460296948907,anaerobic
AJ239289.1.1355,0.0697252553019875,aerobic
CP007065.253054.254560,0.07736641604485385,anaerobic
JX424767.1.1450,-0.0566832475991197,anaerobic
ATWA01000156.1.1244,0.060497834243865185,anaerobic
HE681338.1.1507,0.08588675906452331,anaerobic
AY608697.1.1413,-0.02161009890444976,anaerobic
EU126661.1.1453,0.10584723024240605,anaerobic
KF443808.1.1339,0.009199173144935607,anaerobic
HQ335006.1.1414,0.0964957881738947,facultatively
FR749936.1.1524,0.01316718976193291,anaerobic
HM249549.1.1366,0.09084248565983742,facultatively
AJ006963.1.1453,0.060912962231951424,anaerobic
AYZT01025737.5596.7065,0.045323220864959636,aerobic
LGYU01000045.758.2266,0.04646996081895978,aerobic
BCAA01000057.220.1714,-0.04528412820172217,anaerobic
EU767694.1.1360,-0.015115526263343159,anaerobic
LSCT01000005.26.1546,0.015897410039644667,anaerobic
LSCS01000002.27.1548,-0.011821122942317078,anaerobic
LSCX01000005.274.1770,0.0015740473564084957,anaerobic
LSDR01000051.85.1641,0.010404710734219455,anaerobic
LC428297.1.1229,0.07269980271477838,facultatively
FJ816610.1.1409,0.048074387241158506,aerobic
HE681341.1.1520,0.09276858095818911,anaerobic
CVUG01000013.3917.5427,-0.08247551661317398,anaerobic
FWCH01000011.36791.38284,-0.0273649911735153,anaerobic
DQ279737.1.1420,-0.024183668496378232,anaerobic
FJ366838.1.1357,-0.017597874814137025,anaerobic
FJ366724.1.1358,-0.025226736752088263,anaerobic
CXRK01001744.867.2406,0.08656454342229146,facultatively
GQ449088.1.1384,-0.0019166534110404672,anaerobic
CYPT01000006.3586.5077,-0.01881400932481513,anaerobic
HQ761707.1.1433,-0.004375894539565902,anaerobic
AB238927.1.1486,-0.019168006886832643,anaerobic
KP966092.1.1345,-0.002482172804560661,anaerobic
FJ369153.1.1365,-0.05488098723716573,anaerobic
ABGD02000021.1868.3380,0.0013083124827439458,anaerobic
FJ369934.1.1360,-0.004548399162429203,anaerobic
FJ372234.1.1374,-0.021579424767712897,anaerobic
HM007578.1.1344,0.028296108429192748,anaerobic
HQ774224.1.1417,-0.013215537741095757,anaerobic
HQ789383.1.1443,0.018067477263822837,anaerobic
AB595132.1.1457,0.027604142170991185,anaerobic
AY151398.1.1400,0.006924622278521747,anaerobic
HQ787308.1.1451,-0.012695229502437486,anaerobic
AB601001.1.1469,0.00526415750019089,anaerobic
D86187.1.1513,0.009323167690793487,anaerobic
GQ491661.1.1347,0.025087863182439274,anaerobic
FJ509958.1.1383,-0.007381246201143057,anaerobic
GQ898414.1.1490,0.01399240768829142,anaerobic
KF990498.1.1449,-0.039412756399731595,anaerobic
KF147852.1.1523,-0.019662308050766214,anaerobic
FJ363169.1.1353,0.022146327663135956,anaerobic
HQ768433.1.1402,0.034082451883564825,anaerobic
FJ365362.1.1347,-0.004975010651494281,anaerobic
CP001853.563211.564442,0.01878559928901769,anaerobic
HQ807118.1.1422,-0.0053221036701487446,anaerobic
FJ363562.1.1364,-0.0509081910024247,anaerobic
HQ807131.1.1274,-0.005102670628266914,anaerobic
AY979504.1.1362,0.01745563153665264,anaerobic
CDZC01018442.2079.3583,-0.012539959529283157,anaerobic
AGXQ01000010.543.2059,0.006570325324476401,anaerobic
JN787191.1.1404,0.052549249879671925,facultatively
JF163825.1.1359,-0.019018555904662365,anaerobic
LN824133.260327.261854,0.07735972086912273,facultatively
HQ751509.1.1444,0.01920482246951794,anaerobic
LT622246.5345680.5347196,-0.0033327203482577824,anaerobic
CP012801.4518451.4519968,0.007441909025470072,anaerobic
FJ154797.1.1435,0.0323100638897642,facultatively
JN713312.1.1522,0.0234223744478315,anaerobic
JQ083407.1.1518,0.00689615469637622,anaerobic
HQ777715.1.1440,-0.005459597896819576,anaerobic
EF405400.1.1491,-0.04766203227139601,anaerobic
FJ366051.1.1366,-0.03448741704722495,anaerobic
EU765990.1.1358,-0.019157592550619194,anaerobic
HQ779582.1.1438,-0.00418901501323323,anaerobic
AB490804.1.1482,-0.004023482271989074,anaerobic
EU766073.1.1358,-0.0840823071279301,anaerobic
DQ905075.1.1402,-0.010808369176281621,anaerobic
FJ511229.1.1372,0.03392092710544302,anaerobic
FJ366749.1.1313,-0.0022369525661395497,anaerobic
AB554233.1.1486,-0.011477630012975361,anaerobic
FJ369857.1.1343,0.02812014533707184,anaerobic
JF161006.1.1350,-0.06041506327102554,anaerobic
JQ189818.1.1366,-0.007651673193165431,anaerobic
LT906459.1477099.1478610,-0.06871093736071365,anaerobic
KF843378.1.1402,-0.006524110473716874,anaerobic
FJ370437.1.1363,-0.0007212468336294966,anaerobic
EU763365.1.1358,-0.04455772279776833,anaerobic
FJ371227.1.1374,0.016174669228686323,anaerobic
AY571668.1.1382,0.09208773641114072,anaerobic
JN012913.1.1445,-0.037854255515396444,anaerobic
JQ189008.1.1369,0.06117062075751662,facultatively
FJ507772.1.1371,-0.004577155686715109,anaerobic
JX006410.1.1422,0.050627339394609575,anaerobic
HQ748409.1.1436,0.002277484113284911,anaerobic
JQ940705.1.1452,0.015689442415475607,anaerobic
EU156766.1.1269,0.03523726568071446,facultatively
HQ778902.1.1445,-0.01908226849955298,anaerobic
AB064919.1.1492,0.016651057675650074,anaerobic
GQ491919.1.1299,0.022755396705119342,anaerobic
EU763050.1.1359,0.012688183206307695,anaerobic
DQ803578.1.1379,-0.039166261638013206,anaerobic
CP026799.318192.319713,0.0877340967574184,facultatively
AY980959.1.1365,0.0025307786816574644,anaerobic
HQ770013.1.1422,0.0007033841644203415,anaerobic
EU767269.1.1364,-0.03785668582132245,anaerobic
EF401853.1.1491,0.012744204039370865,anaerobic
FJ363277.1.1367,-0.004932974678746431,anaerobic
AF371544.1.1441,-0.018952276058026598,anaerobic
HQ786260.1.1434,0.03559699394895719,anaerobic
CXSE01001446.1371.2879,0.017422915871950842,anaerobic
HQ794655.1.1423,-0.05159330624611164,anaerobic
CP026831.867103.868624,0.03485850408256235,facultatively
HQ775268.1.1445,0.012176129734541496,anaerobic
AY608696.1.1419,-0.06555335116301919,anaerobic
HQ793351.1.1455,0.004955533034011056,anaerobic
GQ493505.1.1359,-0.04090658699474985,anaerobic
EF402450.1.1486,-0.03809418671400402,anaerobic
AY981913.1.1349,-0.027808034322397212,anaerobic
CP025401.228528.230064,0.06979039406941838,facultatively
FJ558463.1.1408,0.07134082709659142,facultatively
BABG01001111.245.1757,0.004198386596753015,anaerobic
HG941718.4584016.4585545,0.06410547718392824,facultatively
HQ772111.1.1472,0.05564891707634613,facultatively
CP027766.3801242.3802763,0.06285907780727903,facultatively
AB506232.1.1522,0.018115210101554913,anaerobic
EF399604.1.1493,0.0111492293812313,anaerobic
AB680374.1.1442,0.07320268541631036,facultatively
EF401817.1.1484,-0.04558304112910569,anaerobic
HQ818476.1.1435,0.0008898577102093861,anaerobic
HQ778643.1.1430,0.021576902415740222,anaerobic
AF275894.1.1267,-0.010093254905583701,anaerobic
CP027593.484447.485968,0.08445886079836283,facultatively
CP018757.1943194.1944702,0.015345813471024462,anaerobic
FJ363012.1.1338,-0.03352090180994523,anaerobic
HQ794846.1.1268,-0.023645004184070742,anaerobic
EF404703.1.1494,-0.00812673283938209,anaerobic
EF400878.1.1492,-0.021581034881365837,anaerobic
FJ679915.1.1389,-0.030588397638609842,anaerobic
FJ879055.1.1485,-0.018815474998959407,anaerobic
