SampleID,TrueLabel,PredictedProbability
ERR1369163,1,0.98332316
ERR1369166,1,0.9839679
ERR1369168,1,0.9509188
ERR1369170,1,0.98761636
ERR1369171,1,0.9847407
ERR1369173,1,0.9838441
ERR1369174,1,0.9874835
ERR1369176,1,0.98640823
ERR1369177,1,0.9722254
ERR1369178,1,0.9807731
ERR1369180,1,0.9814595
ERR1369181,1,0.9844081
ERR1369182,1,0.97438735
ERR1369183,0,0.9509916
ERR1369184,1,0.99001604
ERR1369186,1,0.98062897
ERR1369188,0,0.90591264
ERR1369192,1,0.9695533
ERR1369193,1,0.9850684
ERR1369195,1,0.9679824
ERR1369197,1,0.98506457
ERR1369198,1,0.9847172
ERR1369199,1,0.9829292
ERR1369200,1,0.9859812
ERR1369201,1,0.9866796
ERR1369202,1,0.967607
ERR1369204,1,0.97693425
ERR1369206,1,0.8947947
ERR1369207,1,0.98270535
ERR1369214,1,0.98012644
ERR1369220,1,0.97296673
ERR1369221,1,0.98634094
ERR1369223,1,0.9869676
ERR1369224,1,0.9799653
ERR1369226,0,0.96796876
ERR1369229,1,0.98590094
ERR1369230,0,0.9754043
ERR1369231,1,0.9811643
ERR1369233,0,0.83561754
ERR1369235,1,0.9837505
ERR1369236,1,0.976732
ERR1369238,1,0.97666115
ERR1369241,1,0.9863381
ERR1369246,0,0.9822129
ERR1369247,1,0.98440754
ERR1369248,1,0.9655862
ERR1369249,1,0.98568374
ERR1369250,0,0.94884866
ERR1369253,1,0.98146844
ERR1369254,1,0.98106486
ERR1369255,1,0.98882025
ERR1369256,1,0.9426174
ERR1369259,1,0.98430866
ERR1369260,1,0.98670816
ERR1369261,1,0.9839295
ERR1369262,1,0.98722583
ERR1369263,1,0.98668796
ERR1369264,1,0.9873541
ERR1369265,1,0.9872181
ERR1369266,1,0.9818709
ERR1369267,1,0.9878106
ERR1369268,1,0.9889776
ERR1369269,1,0.98246586
ERR1369270,0,0.9732357
ERR1369271,0,0.9755393
ERR1369272,0,0.9872844
ERR1369275,1,0.98866874
ERR1369276,1,0.98882675
ERR1369277,1,0.9887533
ERR1369278,0,0.98704964
ERR1369279,1,0.98891896
ERR1369280,1,0.9881016
ERR1369282,1,0.97849417
ERR1369283,1,0.98929065
ERR1369284,1,0.9845464
ERR1369285,1,0.9841463
ERR1369287,1,0.9887354
ERR1369288,1,0.98731184
ERR1369289,1,0.9796007
ERR1369290,1,0.9862114
ERR1369292,0,0.98480356
ERR1369293,0,0.9510861
ERR1369294,1,0.9879709
ERR1369295,1,0.98784167
ERR1369296,1,0.98490256
ERR1369297,1,0.97923636
ERR1369298,1,0.9797662
ERR1369299,1,0.98111194
ERR1369300,1,0.98693085
ERR1369301,1,0.985782
ERR1369302,1,0.9858086
ERR1369303,1,0.9691627
ERR1369304,1,0.9807715
ERR1369305,0,0.9782858
ERR1369306,1,0.962054
ERR1369307,1,0.9881102
ERR1369308,1,0.9892888
ERR1369309,0,0.980978
ERR1369310,0,0.97880006
ERR1369311,1,0.9800544
ERR1369312,1,0.98526704
ERR1369313,1,0.9859076
ERR1369314,0,0.9669147
ERR1369315,1,0.95831233
ERR1369317,1,0.9821927
ERR1369318,1,0.9578632
ERR1369319,1,0.9849828
ERR1369320,0,0.9804239
ERR1369321,0,0.9744734
ERR1369322,1,0.9874171
ERR1369323,0,0.95932955
ERR1369324,1,0.9827617
ERR1369325,1,0.9815586
ERR1369326,1,0.98696196
ERR1369327,1,0.9805861
ERR1369328,0,0.97527426
ERR1369329,1,0.96859854
ERR1369330,1,0.9819598
ERR1369331,1,0.9743853
ERR1369332,1,0.9885578
ERR1369333,1,0.9851858
ERR1369334,1,0.9872822
ERR1369335,1,0.98897636
ERR1369336,1,0.98813766
ERR1369337,0,0.98668903
ERR1369338,1,0.9880648
ERR1369339,0,0.97086316
ERR1369340,1,0.9875135
ERR1369341,0,0.9882569
ERR1369342,1,0.98943454
ERR1369343,1,0.979005
ERR1369344,1,0.98794705
ERR1369346,1,0.98782504
ERR1369348,1,0.9886413
ERR1369349,1,0.98844403
ERR1369350,1,0.9681284
ERR1369351,1,0.9886432
ERR1369352,1,0.98695254
ERR1369353,0,0.98136616
ERR1369355,1,0.9838757
ERR1369356,0,0.9827177
ERR1369357,0,0.9753821
ERR1369359,1,0.98567563
ERR1369360,0,0.95618206
ERR1369361,0,0.9794685
ERR1369362,0,0.9560904
ERR1369363,1,0.96719354
ERR1369364,1,0.9869192
ERR1369365,0,0.9680168
ERR1369366,1,0.98604476
ERR1369367,1,0.9288671
ERR1369368,1,0.9885533
ERR1369369,1,0.9881087
ERR1369371,1,0.9696814
ERR1369372,1,0.98399854
ERR1369373,1,0.9849103
ERR1369376,0,0.9855194
ERR1369377,1,0.98800594
ERR1369378,0,0.9853542
ERR1369379,1,0.9844817
ERR1369380,1,0.9867836
ERR1369381,0,0.9777484
ERR1369382,1,0.9828782
ERR1369383,1,0.98438305
ERR1369384,1,0.98808515
ERR1369385,1,0.9563644
ERR1369386,1,0.95162636
ERR1369387,1,0.9754976
ERR1369388,0,0.9691482
ERR1369390,1,0.98958194
ERR1369391,1,0.98783886
ERR1369392,1,0.9878385
ERR1369393,1,0.9885922
ERR1369394,1,0.97827965
ERR1369395,1,0.98011774
ERR1369396,1,0.9706616
ERR1369397,0,0.9621955
ERR1369398,1,0.98821974
ERR1369399,1,0.9854455
ERR1369400,1,0.98569983
ERR1369402,1,0.98648155
ERR1369403,1,0.98089886
ERR1369405,1,0.90537804
ERR1369406,1,0.9186671
ERR1369407,0,0.9836553
ERR1369408,0,0.98205954
ERR1369409,1,0.9675414
ERR1369410,1,0.9873444
ERR1369412,1,0.95257026
ERR1369413,1,0.9508873
ERR1369414,1,0.9758827
ERR1369415,1,0.98788387
ERR1369416,1,0.98741513
ERR1369417,1,0.98201597
ERR1369418,1,0.98740315
ERR1369419,0,0.9517045
ERR1369420,0,0.9885634
ERR1369421,1,0.9872979
ERR1369422,1,0.9836219
ERR1369423,1,0.988847
ERR1369424,0,0.9773235
ERR1369425,1,0.9787502
ERR1369427,0,0.98647404
ERR1369428,0,0.984354
ERR1369429,1,0.9856716
ERR1369430,1,0.97709763
ERR1369431,1,0.9868493
ERR1369432,1,0.98562074
ERR1369433,1,0.9879701
ERR1369434,1,0.9822192
ERR1369435,1,0.98930174
ERR1369436,0,0.94853806
ERR1369437,0,0.9815184
ERR1369438,1,0.9695803
ERR1369439,1,0.9653179
ERR1369440,0,0.96590745
ERR1369441,0,0.9668013
ERR1369442,0,0.9726705
ERR1369443,0,0.9777018
ERR1369444,0,0.9852938
ERR1369446,1,0.9837077
ERR1369447,1,0.9835458
ERR1369448,1,0.9853897
ERR1369449,0,0.87782216
ERR1369450,1,0.98680705
ERR1369451,1,0.9887211
ERR1369452,0,0.9858994
ERR1369454,1,0.9764054
ERR1369455,1,0.97972953
ERR1369456,1,0.98761564
ERR1369457,0,0.9773057
ERR1369458,0,0.9803642
ERR1369459,1,0.9890844
