0,t-SNE1,t-SNE2
AAAA02020714.1.1202,-24.117052,37.537415
AAFJ01000001.39328.40836,30.611559,-62.08182
AAQK01001555.694.2198,23.542273,-52.273712
AAQK01003909.1492.2988,7.17785,-41.980263
AATC01000018.2.1513,-88.402756,19.035686
AATF01002564.10.1217,-88.31615,21.662886
AAXA02000007.1.1294,19.594366,6.478419
AB002518.1.1416,-19.708002,40.682434
AB006120.1.1355,-13.724321,16.102827
AB006125.1.1294,62.906143,-7.5033455
AB006127.1.1290,43.370308,6.7201076
AB006769.1.1456,-31.952827,83.40217
AB008514.1.1214,-46.7162,40.18699
AB008531.1.1246,-49.11844,41.02987
AB009222.1.1414,-34.770737,-50.91135
AB011816.1.1463,47.173634,-41.846466
AB012207.1.1299,-35.269012,45.172325
AB012589.1.1484,-6.502643,91.62769
AB022925.1.1450,6.537631,31.040968
AB023972.1.1377,-38.373795,-5.2306256
AB023973.1.1445,2.0297332,-0.061436716
AB027362.1.1386,-38.172115,54.33774
AB030220.1.1486,52.95614,-21.816021
AB034121.1.1264,19.863977,-4.346984
AB036759.1.1480,-6.156451,50.258766
AB062283.1.1345,-27.227024,44.839954
AB064919.1.1492,6.1446714,-4.7835426
AB071950.1.1341,-42.12782,46.400364
AB071953.1.1312,-38.76212,45.39876
AB074617.1.1332,-43.417336,52.36912
AB088984.1.1396,-6.7642837,-65.36223
AB108825.1.1490,-0.31578258,48.83765
AB128872.1.1589,-51.688503,42.135727
AB174795.1.1258,-38.723488,59.37925
AB176365.1.1240,23.742533,63.369637
AB182483.1.1494,-11.089992,63.91715
AB185742.1.1529,-45.803284,-56.358074
AB185776.1.1501,-13.671638,-32.38487
AB185810.1.1527,16.450468,21.211592
AB192177.1.1438,-0.6843435,-44.491714
AB200414.1.1491,-8.542911,67.04162
AB214328.1.1484,77.82587,-20.769505
AB218288.1.1449,-54.048008,14.981102
AB218300.1.1457,-16.98327,-67.31115
AB218322.1.1456,-54.345245,-22.596918
AB218324.1.1551,36.70562,-18.051558
AB218325.1.1438,-47.64054,-9.272817
AB218332.1.1445,16.20785,-31.140068
AB218334.1.1446,-50.89374,16.669193
AB218338.1.1457,-55.615093,-21.225805
AB220083.1.1360,-50.13542,42.483173
AB221358.1.1238,-14.301429,2.240472
AB222699.1.1485,63.67617,-33.43687
AB231038.1.1365,-13.803367,0.44777653
AB233029.1.1493,52.058144,-7.0047307
AB234418.1.1355,18.338522,-3.6631842
AB234447.1.1351,-1.2274821,-13.203863
AB234451.1.1349,-8.9221325,-72.43429
AB234463.1.1349,-12.571573,-14.361851
AB234520.1.1316,-37.80907,-57.503647
AB234524.1.1350,26.566181,61.331894
AB234525.1.1348,-43.597893,52.149662
AB237713.1.1455,-4.0114408,-13.792328
AB238924.1.1486,3.0560308,-30.344322
AB238927.1.1486,86.99224,-1.481069
AB238928.1.1492,74.01351,2.7485301
AB241130.1.1446,-52.718563,28.088184
AB243992.1.1538,-35.86285,81.21602
AB255081.1.1485,-33.872303,82.40112
AB259061.1.1545,-4.5415316,22.565401
AB261128.1.1492,12.944,-31.12624
AB264066.1.1465,-32.90839,-15.943206
AB264069.1.1447,12.636026,-29.252247
AB264073.1.1456,-53.26657,-22.820374
AB264082.1.1445,-47.946796,-20.457157
AB264126.1.1422,-50.688698,30.202042
AB266102.1.1428,5.818872,-30.557163
AB267809.1.1461,27.431217,-34.324497
AB270083.1.1322,-54.20726,4.1795077
AB272322.1.1204,-49.07717,49.157803
AB272335.1.1200,-49.613003,25.212679
AB272364.1.1268,-44.70539,55.212093
AB272373.1.1283,-47.21876,36.044834
AB286023.1.1473,-40.7218,58.008495
AB288920.1.1350,20.16686,-4.222794
AB294138.1.1215,-25.60175,18.120123
