,query_gene,BiGG_gene,score
0,gene_0,STM_v1_0.STM0047,62
2,gene_2,STM_v1_0.STM0247,298
5,gene_5,STM_v1_0.STM0659,280
8,gene_8,STM_v1_0.STM0984,265
22,gene_22,STM_v1_0.STM4453,508
27,gene_28,iAF692.Mbar_A1138,62
30,gene_31,iAF692.Mbar_A1452,67
35,gene_36,iAF987.Gmet_0043,76
36,gene_37,iAF987.Gmet_0069,72
39,gene_40,iAF987.Gmet_0858,127
40,gene_41,iAF987.Gmet_0885,160
43,gene_44,iAF987.Gmet_1706,73
45,gene_46,iAF987.Gmet_1888,157
46,gene_47,iAF987.Gmet_1914,60
47,gene_48,iAF987.Gmet_1919,67
48,gene_49,iAF987.Gmet_2349,285
49,gene_50,iAF987.Gmet_2352,64
50,gene_51,iAF987.Gmet_2444,52
53,gene_54,iAF987.Gmet_2999,70
54,gene_55,iAM_Pb448.PBANKA_145350,105
55,gene_56,iAM_Pb448.PBANKA_146280,99
56,gene_57,iAM_Pc455.PCYB_061470,55
57,gene_58,iAM_Pc455.PCYB_113330,92
58,gene_59,iAM_Pc455.PCYB_147430,99
60,gene_61,iAM_Pf480.PF3D7_1239000,114
63,gene_64,iAM_Pv461.PVX_100900,101
64,gene_65,iAM_Pv461.PVX_101390,101
65,gene_66,iAT_PLT_636.290,284
69,gene_70,iAT_PLT_636.4905,130
74,gene_75,iCHOv1.100762211,272
85,gene_86,iCN718.ABAYE_RS13845,77
87,gene_88,iCN900.CD630_01000,226
88,gene_89,iCN900.CD630_01010,235
89,gene_90,iCN900.CD630_01020,208
94,gene_95,iCN900.CD630_03960,102
95,gene_96,iCN900.CD630_04050,235
96,gene_97,iCN900.CD630_04310,87
98,gene_99,iCN900.CD630_07520,264
99,gene_100,iCN900.CD630_07530,249
100,gene_101,iCN900.CD630_07540,276
106,gene_107,iCN900.CD630_12260,137
107,gene_108,iCN900.CD630_12790,244
109,gene_110,iCN900.CD630_14780,79
110,gene_111,iCN900.CD630_14790,46
111,gene_112,iCN900.CD630_14890,164
114,gene_115,iCN900.CD630_15880,57
115,gene_116,iCN900.CD630_16140,139
120,gene_121,iCN900.CD630_18240,504
121,gene_122,iCN900.CD630_19470,182
122,gene_123,iCN900.CD630_20200,890
125,gene_126,iCN900.CD630_21220,103
127,gene_128,iCN900.CD630_21660,172
128,gene_129,iCN900.CD630_21720,261
130,gene_131,iCN900.CD630_22360,141
131,gene_132,iCN900.CD630_24930,80
132,gene_133,iCN900.CD630_25030,589
135,gene_136,iCN900.CD630_25950,184
136,gene_137,iCN900.CD630_26230,166
140,gene_141,iCN900.CD630_27420,111
143,gene_144,iCN900.CD630_28830,224
144,gene_145,iCN900.CD630_29710,82
148,gene_149,iCN900.CD630_30960,697
150,gene_151,iCN900.CD630_31240,696
153,gene_154,iCN900.CD630_31950,503
156,gene_157,iCN900.CD630_34400,192
157,gene_158,iCN900.CD630_35170,190
158,gene_159,iCN900.CD630_35980,153
162,gene_163,iEK1008.Rv0125,90
163,gene_164,iEK1008.Rv0386,48
164,gene_165,iEK1008.Rv0684,811
169,gene_170,iEK1008.Rv2581c,105
171,gene_172,iEK1008.Rv2936,127
174,gene_175,iHN637.CLJU_RS00620,317
181,gene_182,iHN637.CLJU_RS06465,108
183,gene_184,iHN637.CLJU_RS10465,233
189,gene_190,iIT341.HP0824,106
192,gene_193,iIT341.HP1576,169
195,gene_196,iJN1463.PP_0118,80
203,gene_204,iJN1463.PP_1336,144
205,gene_206,iJN1463.PP_1645,55
208,gene_209,iJN1463.PP_1779,181
209,gene_210,iJN1463.PP_1877,117
216,gene_217,iJN1463.PP_4210,183
218,gene_219,iJN1463.PP_4893,235
219,gene_220,iJN1463.PP_4935,226
223,gene_224,iLJ478.TM0115,317
231,gene_232,iLJ478.TM1564,60
233,gene_234,iLJ478.TM1724,108
234,gene_235,iML1515.b0089,149
236,gene_237,iML1515.b0199,162
237,gene_238,iML1515.b0355,57
240,gene_241,iML1515.b0493,100
243,gene_244,iML1515.b0650,275
244,gene_245,iML1515.b0808,59
246,gene_247,iML1515.b0822,135
248,gene_249,iML1515.b0914,261
252,gene_253,iML1515.b1103,63
255,gene_256,iML1515.b1584,43
256,gene_257,iML1515.b1759,42
257,gene_258,iML1515.b1858,79
260,gene_261,iML1515.b1985,106
268,gene_269,iML1515.b2430,87
274,gene_275,iML1515.b3291,85
276,gene_277,iML1515.b3590,75
277,gene_278,iML1515.b3697,248
282,gene_283,iML1515.b4173,239
283,gene_284,iML1515.b4230,47
287,gene_288,iML1515.b4390,129
290,gene_291,iMM1415.16790,273
293,gene_294,iMM1415.18195,130
298,gene_299,iMM904.YCR083W,52
300,gene_301,iNF517.LLMG_RS00090,278
305,gene_306,iNF517.LLMG_RS00390,587
306,gene_307,iNF517.LLMG_RS00395,707
307,gene_308,iNF517.LLMG_RS00400,482
308,gene_309,iNF517.LLMG_RS00405,662
309,gene_310,iNF517.LLMG_RS00415,262
310,gene_311,iNF517.LLMG_RS00430,577
311,gene_312,iNF517.LLMG_RS00605,1127
312,gene_313,iNF517.LLMG_RS00635,259
313,gene_314,iNF517.LLMG_RS00665,533
314,gene_315,iNF517.LLMG_RS00670,150
315,gene_316,iNF517.LLMG_RS00675,1019
320,gene_321,iNF517.LLMG_RS00930,108
321,gene_322,iNF517.LLMG_RS00935,687
322,gene_323,iNF517.LLMG_RS00940,792
323,gene_324,iNF517.LLMG_RS00960,182
324,gene_325,iNF517.LLMG_RS01005,819
325,gene_326,iNF517.LLMG_RS01010,218
327,gene_328,iNF517.LLMG_RS01040,390
328,gene_329,iNF517.LLMG_RS01055,779
329,gene_330,iNF517.LLMG_RS01090,498
330,gene_331,iNF517.LLMG_RS01095,369
331,gene_332,iNF517.LLMG_RS01105,611
332,gene_333,iNF517.LLMG_RS01110,476
334,gene_335,iNF517.LLMG_RS01210,882
335,gene_336,iNF517.LLMG_RS01240,191
336,gene_337,iNF517.LLMG_RS01325,673
339,gene_340,iNF517.LLMG_RS01465,1120
342,gene_343,iNF517.LLMG_RS01565,476
344,gene_345,iNF517.LLMG_RS01685,617
345,gene_346,iNF517.LLMG_RS01730,313
346,gene_347,iNF517.LLMG_RS01735,156
347,gene_348,iNF517.LLMG_RS01755,446
348,gene_349,iNF517.LLMG_RS01760,147
353,gene_354,iNF517.LLMG_RS01830,378
354,gene_355,iNF517.LLMG_RS01845,766
356,gene_357,iNF517.LLMG_RS01860,599
358,gene_359,iNF517.LLMG_RS01960,291
359,gene_360,iNF517.LLMG_RS01965,325
360,gene_361,iNF517.LLMG_RS01970,297
364,gene_365,iNF517.LLMG_RS01995,725
367,gene_368,iNF517.LLMG_RS02055,707
369,gene_370,iNF517.LLMG_RS02125,307
374,gene_375,iNF517.LLMG_RS02190,320
375,gene_376,iNF517.LLMG_RS02225,77
376,gene_377,iNF517.LLMG_RS02230,90
378,gene_379,iNF517.LLMG_RS02245,868
379,gene_380,iNF517.LLMG_RS02275,1689
380,gene_381,iNF517.LLMG_RS02290,766
382,gene_383,iNF517.LLMG_RS02315,283
383,gene_384,iNF517.LLMG_RS02350,292
385,gene_386,iNF517.LLMG_RS02375,847
386,gene_387,iNF517.LLMG_RS02585,473
387,gene_388,iNF517.LLMG_RS02600,670
388,gene_389,iNF517.LLMG_RS02625,278
389,gene_390,iNF517.LLMG_RS02630,643
391,gene_392,iNF517.LLMG_RS02790,340
395,gene_396,iNF517.LLMG_RS02840,223
396,gene_397,iNF517.LLMG_RS02890,337
397,gene_398,iNF517.LLMG_RS02930,606
401,gene_402,iNF517.LLMG_RS03045,844
402,gene_403,iNF517.LLMG_RS03160,293
403,gene_404,iNF517.LLMG_RS03215,657
404,gene_405,iNF517.LLMG_RS03285,1430
405,gene_406,iNF517.LLMG_RS03290,209
406,gene_407,iNF517.LLMG_RS03310,1762
410,gene_411,iNF517.LLMG_RS03735,656
411,gene_412,iNF517.LLMG_RS03755,404
412,gene_413,iNF517.LLMG_RS03760,380
413,gene_414,iNF517.LLMG_RS03765,541
414,gene_415,iNF517.LLMG_RS03780,325
420,gene_421,iNF517.LLMG_RS03850,1134
423,gene_424,iNF517.LLMG_RS03940,363
424,gene_425,iNF517.LLMG_RS03945,447
426,gene_427,iNF517.LLMG_RS04035,131
427,gene_428,iNF517.LLMG_RS04040,768
428,gene_429,iNF517.LLMG_RS04060,328
430,gene_431,iNF517.LLMG_RS04440,1204
434,gene_435,iNF517.LLMG_RS04525,444
435,gene_436,iNF517.LLMG_RS04530,665
436,gene_437,iNF517.LLMG_RS04555,667
437,gene_438,iNF517.LLMG_RS04560,405
438,gene_439,iNF517.LLMG_RS04565,641
440,gene_441,iNF517.LLMG_RS04655,613
441,gene_442,iNF517.LLMG_RS04660,439
442,gene_443,iNF517.LLMG_RS04735,384
448,gene_449,iNF517.LLMG_RS04905,533
449,gene_450,iNF517.LLMG_RS04950,404
453,gene_454,iNF517.LLMG_RS04970,789
455,gene_456,iNF517.LLMG_RS05025,181
456,gene_457,iNF517.LLMG_RS05055,777
461,gene_462,iNF517.LLMG_RS05125,906
471,gene_472,iNF517.LLMG_RS05335,45
472,gene_473,iNF517.LLMG_RS05370,399
473,gene_474,iNF517.LLMG_RS05380,494
474,gene_475,iNF517.LLMG_RS05390,286
475,gene_476,iNF517.LLMG_RS05395,181
476,gene_477,iNF517.LLMG_RS05525,180
477,gene_478,iNF517.LLMG_RS05530,1779
479,gene_480,iNF517.LLMG_RS05580,792
480,gene_481,iNF517.LLMG_RS05610,243
481,gene_482,iNF517.LLMG_RS05615,409
482,gene_483,iNF517.LLMG_RS05620,335
483,gene_484,iNF517.LLMG_RS05635,469
484,gene_485,iNF517.LLMG_RS05650,493
485,gene_486,iNF517.LLMG_RS05655,590
486,gene_487,iNF517.LLMG_RS05670,530
487,gene_488,iNF517.LLMG_RS05680,595
488,gene_489,iNF517.LLMG_RS05685,786
489,gene_490,iNF517.LLMG_RS05690,528
494,gene_495,iNF517.LLMG_RS05980,540
498,gene_499,iNF517.LLMG_RS06010,336
499,gene_500,iNF517.LLMG_RS06045,345
500,gene_501,iNF517.LLMG_RS06160,644
506,gene_507,iNF517.LLMG_RS06200,532
508,gene_509,iNF517.LLMG_RS06465,266
523,gene_524,iNF517.LLMG_RS06630,837
524,gene_525,iNF517.LLMG_RS06715,446
525,gene_526,iNF517.LLMG_RS06720,398
526,gene_527,iNF517.LLMG_RS06725,404
527,gene_528,iNF517.LLMG_RS06730,664
528,gene_529,iNF517.LLMG_RS06735,380
532,gene_533,iNF517.LLMG_RS06760,343
533,gene_534,iNF517.LLMG_RS06770,154
