SampleID,TrueLabel,PredictedProbability
SRR27720353,0.0,0.55059874
SRR27720354,0.0,0.57680994
SRR27720355,0.0,0.55154246
SRR27720356,0.0,0.6126685
SRR27720357,0.0,0.5610589
SRR27720358,0.0,0.5433539
SRR27720359,0.0,0.5058554
SRR27720360,0.0,0.59149486
SRR27720361,1.0,0.5487384
SRR27720362,0.0,0.60596097
SRR27720363,0.0,0.5504204
SRR27720364,0.0,0.54841423
SRR27720365,0.0,0.52201355
SRR27720366,0.0,0.5633222
SRR27720367,0.0,0.5666687
SRR27720368,0.0,0.5042232
SRR27720369,0.0,0.5869927
SRR27720370,0.0,0.55796117
SRR27720371,0.0,0.55978215
SRR27720372,1.0,0.59334517
SRR27720373,0.0,0.5391222
SRR27720374,0.0,0.54170895
SRR27720375,0.0,0.54070735
SRR27720376,0.0,0.5484068
SRR27720377,0.0,0.6193201
SRR27720378,0.0,0.5628401
SRR27720379,0.0,0.5721062
SRR27720380,0.0,0.5437814
SRR27720381,0.0,0.578254
SRR27720382,0.0,0.5576491
SRR27720383,1.0,0.54739434
SRR27720384,0.0,0.5814209
SRR27720385,0.0,0.5860864
SRR27720386,0.0,0.54203016
SRR27720387,0.0,0.55226946
SRR27720388,1.0,0.5802954
SRR27720389,0.0,0.57010615
SRR27720390,0.0,0.5403298
SRR27720391,0.0,0.59852356
SRR27720392,0.0,0.54450047
SRR27720393,0.0,0.59087557
SRR27720394,0.0,0.55283654
SRR27720395,0.0,0.5151321
SRR27720396,0.0,0.5640602
SRR27720397,0.0,0.60729617
SRR27720398,1.0,0.5620889
SRR27720399,0.0,0.56765825
SRR27720400,0.0,0.5403537
SRR27720401,0.0,0.574783
SRR27720402,0.0,0.5612693
SRR27720403,0.0,0.5414915
SRR27720404,1.0,0.59197617
SRR27720405,1.0,0.61567736
SRR27720406,1.0,0.62277067
SRR27720407,1.0,0.61366665
SRR27720408,1.0,0.55645335
SRR27720409,1.0,0.55772126
SRR27720410,1.0,0.5375629
SRR27720411,1.0,0.54643285
SRR27720412,1.0,0.5891922
SRR27720413,1.0,0.5819352
SRR27720414,1.0,0.54423827
SRR27720415,1.0,0.5687993
SRR27720416,1.0,0.50533783
SRR27720417,1.0,0.6006427
SRR27720418,1.0,0.6041009
SRR27720419,1.0,0.60697
SRR27720420,1.0,0.6029172
SRR27720421,1.0,0.59658235
SRR27720422,1.0,0.5976377
SRR27720423,1.0,0.56179655
SRR27720424,1.0,0.5789684
SRR27720425,1.0,0.5420656
SRR27720426,1.0,0.6074779
SRR27720427,1.0,0.60547113
SRR27720428,1.0,0.57163256
SRR27720429,1.0,0.5796848
SRR27720430,1.0,0.598185
SRR27720431,1.0,0.56919116
SRR27720432,1.0,0.5964559
SRR27720433,1.0,0.595796
SRR27720434,1.0,0.5471884
SRR27720435,1.0,0.5945196
SRR27720436,1.0,0.5759118
SRR27720437,1.0,0.6012222
SRR27720438,1.0,0.62077844
SRR27720439,1.0,0.6193662
SRR27720440,1.0,0.61326766
