SampleID,TrueLabel,PredictedProbability
ERR1368879,1.0,0.5768554
ERR1368880,1.0,0.5609192
ERR1368882,1.0,0.53868634
ERR1368885,1.0,0.5746072
ERR1368890,1.0,0.585554
ERR1368891,1.0,0.57482517
ERR1368892,1.0,0.5703441
ERR1368894,1.0,0.5844845
ERR1368898,1.0,0.5918654
ERR1368899,1.0,0.55557865
ERR1368900,1.0,0.619089
ERR1368901,1.0,0.5461682
ERR1368904,1.0,0.5535437
ERR1368905,1.0,0.5547756
ERR1368907,1.0,0.58920085
ERR1368908,1.0,0.55564463
ERR1368911,1.0,0.5654191
ERR1368912,1.0,0.54258573
ERR1368916,1.0,0.61050993
ERR1368917,1.0,0.55949986
ERR1368918,1.0,0.5750893
ERR1368920,1.0,0.5370904
ERR1368922,1.0,0.5364887
ERR1368924,1.0,0.6222461
ERR1368927,1.0,0.55311793
ERR1368928,1.0,0.608805
ERR1368929,1.0,0.52261984
ERR1368931,1.0,0.5752683
ERR1368932,1.0,0.6216299
ERR1368934,1.0,0.52506113
ERR1368939,1.0,0.60984343
ERR1368941,1.0,0.5636478
ERR1368942,1.0,0.5249699
ERR1368943,1.0,0.6167084
ERR1368944,1.0,0.5419725
ERR1368946,1.0,0.5853124
ERR1368947,1.0,0.59148467
ERR1368948,1.0,0.55849963
ERR1368949,1.0,0.55296487
ERR1368951,1.0,0.5691877
ERR1368953,1.0,0.5396721
ERR1368954,1.0,0.6221308
ERR1368957,1.0,0.549099
ERR1368960,1.0,0.5518154
ERR1368964,1.0,0.5916827
ERR1368965,1.0,0.5492046
ERR1368969,1.0,0.5721658
ERR1368970,0.0,0.5334216
ERR1368971,0.0,0.5681586
ERR1368972,0.0,0.5435241
ERR1368973,0.0,0.55935925
ERR1368974,1.0,0.54488987
ERR1368976,1.0,0.576913
ERR1368977,1.0,0.56025475
ERR1368978,1.0,0.5993462
ERR1368979,1.0,0.621486
ERR1368981,1.0,0.58659923
ERR1368984,1.0,0.5706029
ERR1368988,1.0,0.56177795
ERR1368989,1.0,0.6031378
ERR1368990,1.0,0.5751615
ERR1368991,1.0,0.5798482
ERR1368993,1.0,0.6024826
ERR1368995,1.0,0.6174764
ERR1368997,1.0,0.5902267
ERR1369000,1.0,0.588442
ERR1369001,1.0,0.6256671
ERR1369002,1.0,0.588191
ERR1369003,1.0,0.60453033
ERR1369004,1.0,0.54497224
ERR1369005,1.0,0.6155686
ERR1369006,1.0,0.62243974
ERR1369007,1.0,0.5817479
ERR1369008,1.0,0.61398524
ERR1369011,1.0,0.5792254
ERR1369012,1.0,0.6003627
ERR1369014,1.0,0.57697135
ERR1369015,1.0,0.6267656
ERR1369016,1.0,0.618296
ERR1369017,1.0,0.55738366
ERR1369018,1.0,0.6444049
ERR1369019,1.0,0.5697254
ERR1369020,1.0,0.6050224
ERR1369021,1.0,0.6368522
ERR1369022,1.0,0.63388216
ERR1369028,1.0,0.57262665
ERR1369030,1.0,0.6093489
ERR1369031,1.0,0.57049054
ERR1369032,1.0,0.6194908
ERR1369033,1.0,0.6279043
ERR1369034,1.0,0.6133979
ERR1369035,1.0,0.57605416
ERR1369036,1.0,0.58553404
ERR1369037,1.0,0.5687581
ERR1369038,0.0,0.536299
ERR1369041,1.0,0.6152111
ERR1369042,1.0,0.5645465
ERR1369043,1.0,0.6105725
ERR1369044,1.0,0.6304722
ERR1369048,1.0,0.59178245
ERR1369049,1.0,0.5551454
ERR1369051,1.0,0.63023055
ERR1369053,1.0,0.59309655
ERR1369054,1.0,0.6127772
ERR1369056,1.0,0.5834665
ERR1369057,1.0,0.56070155
ERR1369058,1.0,0.59422815
