SampleID,TrueLabel,PredictedProbability
DRR305656,1.0,0.25308496
DRR305657,1.0,0.87568897
DRR305658,1.0,0.6285047
DRR305659,1.0,0.36187187
DRR305660,1.0,0.7281652
DRR305661,1.0,0.29217654
DRR305662,1.0,0.20944072
DRR305663,1.0,0.5673849
DRR305664,1.0,0.10144199
DRR305665,1.0,0.5751006
DRR305666,1.0,0.9467661
DRR305667,1.0,0.54054093
DRR305668,1.0,0.2967689
DRR305669,1.0,0.18061873
DRR305670,1.0,0.10988351
DRR305671,1.0,0.71899575
DRR305672,1.0,0.3979165
DRR305673,1.0,0.8746838
DRR305674,1.0,0.20926411
DRR305675,1.0,0.18301909
DRR305676,1.0,0.48343307
DRR305677,1.0,0.8289692
DRR305678,1.0,0.22445695
DRR305679,1.0,0.17257053
DRR305680,1.0,0.4287976
DRR305681,1.0,0.1336082
DRR305682,1.0,0.16535105
DRR305683,1.0,0.16644734
DRR305684,1.0,0.45495847
DRR305685,1.0,0.4905091
DRR305686,1.0,0.26146618
DRR305687,1.0,0.2559492
DRR305688,1.0,0.8800634
DRR305689,1.0,0.43351254
DRR305690,1.0,0.34168756
DRR305691,1.0,0.1892094
DRR305692,1.0,0.24899678
DRR305693,1.0,0.1747435
DRR305694,1.0,0.18584436
DRR305695,1.0,0.74231356
DRR305696,1.0,0.38304904
DRR305697,1.0,0.21349122
DRR305698,1.0,0.16834898
DRR305699,1.0,0.26756448
DRR305700,1.0,0.52671444
DRR305701,1.0,0.283748
DRR305702,1.0,0.34570238
DRR305703,1.0,0.28720948
DRR305704,1.0,0.87784886
DRR305705,1.0,0.81730425
DRR305706,1.0,0.17936733
DRR305707,1.0,0.35559037
DRR305708,0.0,0.25332916
DRR305709,0.0,0.12403864
DRR305710,0.0,0.1975801
DRR305711,0.0,0.14215997
DRR305712,0.0,0.08615592
DRR305713,0.0,0.10792793
DRR305714,0.0,0.13674673
DRR305715,0.0,0.15413184
DRR305716,0.0,0.08052725
DRR305717,0.0,0.6818042
DRR305718,0.0,0.13740298
DRR305719,0.0,0.1142123
DRR305720,0.0,0.21746644
DRR305721,0.0,0.38078535
DRR305722,0.0,0.12824509
DRR305723,0.0,0.09619663
DRR305724,0.0,0.13978076
DRR305725,0.0,0.14952588
DRR305726,0.0,0.13363491
DRR305727,0.0,0.15519902
DRR305728,0.0,0.591781
DRR305729,0.0,0.31097797
DRR305730,0.0,0.154977
DRR305731,0.0,0.08888627
DRR305732,0.0,0.22097015
DRR305733,0.0,0.15545696
DRR305734,0.0,0.1334659
DRR305735,0.0,0.09905417
DRR305736,0.0,0.110415995
DRR305737,0.0,0.13127224
DRR305738,0.0,0.12522845
DRR305739,0.0,0.20675427
DRR305740,0.0,0.09050043
DRR305741,0.0,0.12909107
DRR305742,0.0,0.092741184
DRR305743,0.0,0.85018235
DRR305744,0.0,0.16065207
DRR305745,0.0,0.07977104
DRR305746,0.0,0.51345074
DRR305747,0.0,0.32011887
DRR305748,0.0,0.11721914
DRR305749,0.0,0.16403194
DRR305750,0.0,0.1182355
DRR305751,0.0,0.16945502
DRR305752,0.0,0.38195434
DRR305753,0.0,0.116273105
DRR305754,0.0,0.09180134
DRR305755,0.0,0.108472
DRR305757,0.0,0.16425663
DRR305758,0.0,0.13605794
