SampleID,TrueLabel,PredictedProbability
SRR21530562,1.0,0.67662525
SRR21530563,1.0,0.6734928
SRR21530564,1.0,0.6798686
SRR21530565,0.0,0.6568779
SRR21530566,0.0,0.664902
SRR21530567,0.0,0.6658746
SRR21530568,0.0,0.6611838
SRR21530569,1.0,0.67700094
SRR21530570,0.0,0.6665658
SRR21530571,1.0,0.6761967
SRR21530572,1.0,0.6817429
SRR21530573,1.0,0.6744846
SRR21530574,1.0,0.67457706
SRR21530575,1.0,0.6701763
SRR21530576,1.0,0.6672955
SRR21530577,1.0,0.6718797
SRR21530578,1.0,0.6747069
SRR21530579,1.0,0.67868716
SRR21530580,1.0,0.6713615
SRR21530581,0.0,0.66179335
SRR21530582,0.0,0.6594484
