,query_gene,BiGG_gene,score
0,gene_0,STM_v1_0.STM0002,1345
2,gene_2,STM_v1_0.STM0004,707
3,gene_3,STM_v1_0.STM0006,490
4,gene_4,STM_v1_0.STM0007,565
5,gene_5,STM_v1_0.STM0047,258
6,gene_6,STM_v1_0.STM0049,523
8,gene_8,STM_v1_0.STM0064,414
9,gene_9,STM_v1_0.STM0066,679
10,gene_10,STM_v1_0.STM0067,2006
12,gene_12,STM_v1_0.STM0087,268
13,gene_13,STM_v1_0.STM0088,472
16,gene_16,STM_v1_0.STM0107,744
17,gene_17,STM_v1_0.STM0108,526
18,gene_18,STM_v1_0.STM0110,342
19,gene_19,STM_v1_0.STM0111,813
20,gene_20,STM_v1_0.STM0112,625
21,gene_21,STM_v1_0.STM0113,857
22,gene_22,STM_v1_0.STM0122,996
23,gene_23,STM_v1_0.STM0123,830
24,gene_24,STM_v1_0.STM0125,682
25,gene_25,STM_v1_0.STM0126,746
26,gene_26,STM_v1_0.STM0128,586
27,gene_27,STM_v1_0.STM0129,856
28,gene_28,STM_v1_0.STM0130,446
29,gene_29,STM_v1_0.STM0134,567
30,gene_30,STM_v1_0.STM0140,256
31,gene_31,STM_v1_0.STM0141,589
32,gene_32,STM_v1_0.STM0145,444
33,gene_33,STM_v1_0.STM0150,677
34,gene_34,STM_v1_0.STM0152,1649
35,gene_35,STM_v1_0.STM0153,953
36,gene_36,STM_v1_0.STM0154,899
37,gene_37,STM_v1_0.STM0158,1611
38,gene_38,STM_v1_0.STM0165,481
39,gene_39,STM_v1_0.STM0168,710
41,gene_41,STM_v1_0.STM0170,319
42,gene_42,STM_v1_0.STM0171,363
43,gene_43,STM_v1_0.STM0182,407
46,gene_46,STM_v1_0.STM0202,767
48,gene_48,STM_v1_0.STM0213,475
49,gene_49,STM_v1_0.STM0218,436
50,gene_50,STM_v1_0.STM0220,552
51,gene_51,STM_v1_0.STM0221,398
52,gene_52,STM_v1_0.STM0222,454
53,gene_53,STM_v1_0.STM0226,366
54,gene_54,STM_v1_0.STM0227,286
55,gene_55,STM_v1_0.STM0228,352
56,gene_56,STM_v1_0.STM0229,617
57,gene_57,STM_v1_0.STM0232,565
59,gene_59,STM_v1_0.STM0235,214
60,gene_60,STM_v1_0.STM0242,993
61,gene_61,STM_v1_0.STM0245,493
62,gene_62,STM_v1_0.STM0246,286
63,gene_63,STM_v1_0.STM0247,556
64,gene_64,STM_v1_0.STM0248,310
66,gene_66,STM_v1_0.STM0261,311
68,gene_68,STM_v1_0.STM0310,350
69,gene_69,STM_v1_0.STM0316,760
70,gene_70,STM_v1_0.STM0317,286
71,gene_71,STM_v1_0.STM0320,439
72,gene_72,STM_v1_0.STM0321,626
74,gene_74,STM_v1_0.STM0380,513
76,gene_76,STM_v1_0.STM0399,649
77,gene_77,STM_v1_0.STM0402,362
78,gene_78,STM_v1_0.STM0413,465
79,gene_79,STM_v1_0.STM0416,573
82,gene_82,STM_v1_0.STM0422,1094
83,gene_83,STM_v1_0.STM0423,420
84,gene_84,STM_v1_0.STM0425,798
87,gene_87,STM_v1_0.STM0439,506
88,gene_88,STM_v1_0.STM0441,325
89,gene_89,STM_v1_0.STM0442,1180
92,gene_92,STM_v1_0.STM0483,297
93,gene_93,STM_v1_0.STM0488,379
95,gene_95,STM_v1_0.STM0494,848
96,gene_96,STM_v1_0.STM0498,1154
98,gene_98,STM_v1_0.STM0534,257
100,gene_100,STM_v1_0.STM0537,790
101,gene_101,STM_v1_0.STM0542,506
103,gene_103,STM_v1_0.STM0585,1041
105,gene_105,STM_v1_0.STM0588,1431
106,gene_106,STM_v1_0.STM0590,318
107,gene_107,STM_v1_0.STM0591,323
108,gene_108,STM_v1_0.STM0592,342
109,gene_109,STM_v1_0.STM0593,497
111,gene_111,STM_v1_0.STM0595,402
112,gene_112,STM_v1_0.STM0596,770
113,gene_113,STM_v1_0.STM0597,424
114,gene_114,STM_v1_0.STM0598,293
122,gene_122,STM_v1_0.STM0628,261
123,gene_123,STM_v1_0.STM0637,681
124,gene_124,STM_v1_0.STM0640,1053
125,gene_125,STM_v1_0.STM0648,1519
126,gene_126,STM_v1_0.STM0659,263
128,gene_128,STM_v1_0.STM0663,374
129,gene_129,STM_v1_0.STM0664,442
130,gene_130,STM_v1_0.STM0665,496
131,gene_131,STM_v1_0.STM0680,1046
132,gene_132,STM_v1_0.STM0684,473
133,gene_133,STM_v1_0.STM0686,1008
135,gene_135,STM_v1_0.STM0694,324
136,gene_136,STM_v1_0.STM0698,932
138,gene_138,STM_v1_0.STM0730,751
139,gene_139,STM_v1_0.STM0734,1136
140,gene_140,STM_v1_0.STM0735,453
141,gene_141,STM_v1_0.STM0736,1686
142,gene_142,STM_v1_0.STM0737,651
143,gene_143,STM_v1_0.STM0738,693
144,gene_144,STM_v1_0.STM0739,540
145,gene_145,STM_v1_0.STM0740,907
146,gene_146,STM_v1_0.STM0756,607
147,gene_147,STM_v1_0.STM0760,619
148,gene_148,STM_v1_0.STM0772,476
149,gene_149,STM_v1_0.STM0773,430
153,gene_153,STM_v1_0.STM0791,734
154,gene_154,STM_v1_0.STM0793,652
155,gene_155,STM_v1_0.STM0794,591
156,gene_156,STM_v1_0.STM0797,330
157,gene_157,STM_v1_0.STM0828,436
158,gene_158,STM_v1_0.STM0829,392
159,gene_159,STM_v1_0.STM0830,445
160,gene_160,STM_v1_0.STM0832,382
161,gene_161,STM_v1_0.STM0837,436
164,gene_164,STM_v1_0.STM0847,409
165,gene_165,STM_v1_0.STM0848,808
166,gene_166,STM_v1_0.STM0849,775
167,gene_167,STM_v1_0.STM0850,518
168,gene_168,STM_v1_0.STM0851,463
169,gene_169,STM_v1_0.STM0863,565
170,gene_170,STM_v1_0.STM0866,85
171,gene_171,STM_v1_0.STM0872,171
176,gene_176,STM_v1_0.STM0887,375
177,gene_177,STM_v1_0.STM0888,322
178,gene_178,STM_v1_0.STM0889,389
179,gene_179,STM_v1_0.STM0890,399
180,gene_180,STM_v1_0.STM0891,408
181,gene_181,STM_v1_0.STM0956,693
182,gene_182,STM_v1_0.STM0957,759
183,gene_183,STM_v1_0.STM0958,539
184,gene_184,STM_v1_0.STM0963,741
185,gene_185,STM_v1_0.STM0970,472
186,gene_186,STM_v1_0.STM0973,1384
187,gene_187,STM_v1_0.STM0974,490
188,gene_188,STM_v1_0.STM0977,588
189,gene_189,STM_v1_0.STM0978,685
190,gene_190,STM_v1_0.STM0980,367
191,gene_191,STM_v1_0.STM0984,951
193,gene_193,STM_v1_0.STM0988,396
194,gene_194,STM_v1_0.STM0998,686
195,gene_195,STM_v1_0.STM1000,844
196,gene_196,STM_v1_0.STM1004,610
197,gene_197,STM_v1_0.STM1057,1401
198,gene_198,STM_v1_0.STM1058,577
199,gene_199,STM_v1_0.STM1067,314
200,gene_200,STM_v1_0.STM1076,246
204,gene_204,STM_v1_0.STM1102,894
205,gene_205,STM_v1_0.STM1104,209
209,gene_209,STM_v1_0.STM1117,521
210,gene_210,STM_v1_0.STM1125,801
212,gene_212,STM_v1_0.STM1155,457
215,gene_215,STM_v1_0.STM1193,518
216,gene_216,STM_v1_0.STM1194,501
217,gene_217,STM_v1_0.STM1195,404
218,gene_218,STM_v1_0.STM1196,129
219,gene_219,STM_v1_0.STM1197,731
220,gene_220,STM_v1_0.STM1203,854
221,gene_221,STM_v1_0.STM1209,536
222,gene_222,STM_v1_0.STM1211,714
223,gene_223,STM_v1_0.STM1215,343
224,gene_224,STM_v1_0.STM1220,407
225,gene_225,STM_v1_0.STM1221,415
230,gene_230,STM_v1_0.STM1232,826
231,gene_231,STM_v1_0.STM1235,238
232,gene_232,STM_v1_0.STM1238,778
234,gene_234,STM_v1_0.STM1290,591
235,gene_235,STM_v1_0.STM1291,222
237,gene_237,STM_v1_0.STM1294,560
239,gene_239,STM_v1_0.STM1299,757
244,gene_244,STM_v1_0.STM1314,88
245,gene_245,STM_v1_0.STM1333,1196
246,gene_246,STM_v1_0.STM1337,602
247,gene_247,STM_v1_0.STM1338,1353
248,gene_248,STM_v1_0.STM1341,233
249,gene_249,STM_v1_0.STM1347,580
250,gene_250,STM_v1_0.STM1349,1347
252,gene_252,STM_v1_0.STM1377,101
253,gene_253,STM_v1_0.STM1378,790
254,gene_254,STM_v1_0.STM1426,328
255,gene_255,STM_v1_0.STM1427,654
257,gene_257,STM_v1_0.STM1433,211
258,gene_258,STM_v1_0.STM1440,238
260,gene_260,STM_v1_0.STM1449,734
262,gene_262,STM_v1_0.STM1463,531
263,gene_263,STM_v1_0.STM1467,573
264,gene_264,STM_v1_0.STM1468,1022
266,gene_266,STM_v1_0.STM1473,543
268,gene_268,STM_v1_0.STM1479,806
269,gene_269,STM_v1_0.STM1480,786
270,gene_270,STM_v1_0.STM1489,298
272,gene_272,STM_v1_0.STM1502,290
273,gene_273,STM_v1_0.STM1511,379
274,gene_274,STM_v1_0.STM1517,315
276,gene_276,STM_v1_0.STM1525,446
278,gene_278,STM_v1_0.STM1570,1348
285,gene_285,STM_v1_0.STM1647,541
287,gene_287,STM_v1_0.STM1679,796
288,gene_288,STM_v1_0.STM1680,357
289,gene_289,STM_v1_0.STM1681,439
290,gene_290,STM_v1_0.STM1695,582
291,gene_291,STM_v1_0.STM1707,350
292,gene_292,STM_v1_0.STM1710,362
293,gene_293,STM_v1_0.STM1711,365
295,gene_295,STM_v1_0.STM1718,308
296,gene_296,STM_v1_0.STM1724,505
297,gene_297,STM_v1_0.STM1725,674
298,gene_298,STM_v1_0.STM1726,730
299,gene_299,STM_v1_0.STM1727,405
301,gene_301,STM_v1_0.STM1739,835
302,gene_302,STM_v1_0.STM1742,591
303,gene_303,STM_v1_0.STM1743,565
304,gene_304,STM_v1_0.STM1744,474
305,gene_305,STM_v1_0.STM1745,533
306,gene_306,STM_v1_0.STM1749,1566
307,gene_307,STM_v1_0.STM1750,298
308,gene_308,STM_v1_0.STM1752,486
309,gene_309,STM_v1_0.STM1756,499
316,gene_316,STM_v1_0.STM1772,504
319,gene_319,STM_v1_0.STM1780,595
321,gene_321,STM_v1_0.STM1803,691
322,gene_322,STM_v1_0.STM1806,721
324,gene_324,STM_v1_0.STM1818,889
326,gene_326,STM_v1_0.STM1826,811
327,gene_327,STM_v1_0.STM1830,491
328,gene_328,STM_v1_0.STM1831,414
329,gene_329,STM_v1_0.STM1832,496
330,gene_330,STM_v1_0.STM1883,597
331,gene_331,STM_v1_0.STM1884,366
332,gene_332,STM_v1_0.STM1885,972
333,gene_333,STM_v1_0.STM1886,880
334,gene_334,STM_v1_0.STM1888,854
335,gene_335,STM_v1_0.STM1889,474
336,gene_336,STM_v1_0.STM1893,405
337,gene_337,STM_v1_0.STM1901,978
338,gene_338,STM_v1_0.STM1909,933
340,gene_340,STM_v1_0.STM1954,414
342,gene_342,STM_v1_0.STM2009,810
344,gene_344,STM_v1_0.STM2071,513
345,gene_345,STM_v1_0.STM2072,697
346,gene_346,STM_v1_0.STM2073,543
347,gene_347,STM_v1_0.STM2074,591
349,gene_349,STM_v1_0.STM2076,390
350,gene_350,STM_v1_0.STM2077,473
351,gene_351,STM_v1_0.STM2078,330
352,gene_352,STM_v1_0.STM2081,817
355,gene_355,STM_v1_0.STM2093,52
357,gene_357,STM_v1_0.STM2121,360
358,gene_358,STM_v1_0.STM2122,389
360,gene_360,STM_v1_0.STM2146,387
361,gene_361,STM_v1_0.STM2147,285
362,gene_362,STM_v1_0.STM2155,1203
364,gene_364,STM_v1_0.STM2165,430
