SampleID,TrueLabel,PredictedProbability
ERR2172357,1.0,0.559109
ERR2172358,1.0,0.5513661
ERR2172359,1.0,0.55334985
ERR2172360,1.0,0.5546756
ERR2172361,1.0,0.55249035
ERR2172362,1.0,0.55319196
ERR2172363,1.0,0.5512642
ERR2172364,1.0,0.552125
ERR2172365,1.0,0.55244315
ERR2172366,1.0,0.5543384
ERR2172367,1.0,0.5571513
ERR2172368,1.0,0.55398595
ERR2172369,1.0,0.552432
ERR2172370,1.0,0.5560005
ERR2172371,0.0,0.5440023
ERR2172373,0.0,0.5521127
ERR2172374,0.0,0.54652214
ERR2172375,0.0,0.54322326
ERR2172376,0.0,0.5441366
ERR2172377,0.0,0.5466319
ERR2172378,0.0,0.54459816
ERR2172381,0.0,0.5433565
ERR2172382,0.0,0.5476397
ERR2172384,0.0,0.54512197
ERR2172385,0.0,0.5461416
ERR2172386,0.0,0.5485933
ERR2172387,0.0,0.54640293
ERR2172388,0.0,0.54590213
ERR2172389,0.0,0.5471452
ERR2172390,0.0,0.54363525
ERR2172391,0.0,0.54870826
ERR2172392,0.0,0.5456473
ERR2172393,0.0,0.54326177
ERR2172394,0.0,0.54717237
ERR2172395,0.0,0.5441923
ERR2172396,0.0,0.546659
ERR2172397,0.0,0.548058
ERR2172398,0.0,0.54828244
ERR2172399,0.0,0.56124645
ERR2172400,0.0,0.5521606
ERR2172401,0.0,0.55489147
ERR2172402,0.0,0.5651425
ERR2172403,0.0,0.5552871
ERR2172404,0.0,0.55798596
ERR2172405,0.0,0.56243306
ERR2172406,0.0,0.56002295
ERR2172408,0.0,0.56267536
ERR2172409,0.0,0.5556687
ERR2172410,0.0,0.55661505
ERR2172411,0.0,0.5564925
ERR2172412,0.0,0.55586725
ERR2172413,0.0,0.5513622
ERR2172414,0.0,0.5545313
ERR2172415,0.0,0.5553001
ERR2172416,0.0,0.556029
ERR2172417,0.0,0.55767906
ERR2172418,0.0,0.5549846
ERR2172420,0.0,0.5551344
ERR2172421,0.0,0.55779254
ERR2172422,0.0,0.55448675
ERR2172423,0.0,0.55645573
ERR2172425,0.0,0.5550127
ERR2172426,0.0,0.55310595
ERR2172427,0.0,0.5532011
ERR2172429,0.0,0.55316305
ERR2172430,0.0,0.5523056
ERR2172431,0.0,0.55378896
ERR2172432,0.0,0.5528565
ERR2172433,0.0,0.55552465
ERR2172435,0.0,0.5540434
ERR2172436,0.0,0.5527863
ERR2172437,0.0,0.55352974
ERR2172438,0.0,0.5536973
ERR2172439,0.0,0.55314505
ERR2172440,0.0,0.5528404
ERR2172442,0.0,0.55377704
ERR2172443,0.0,0.55392367
ERR2172444,0.0,0.5534409
ERR2172445,0.0,0.5552482
ERR2172446,1.0,0.56010246
ERR2172447,1.0,0.561615
ERR2172448,1.0,0.5589061
ERR2172449,1.0,0.5568551
ERR2172450,1.0,0.5583663
ERR2172451,1.0,0.56079626
ERR2172452,1.0,0.54421616
ERR2172453,1.0,0.5566009
ERR2172454,1.0,0.5579833
ERR2172455,1.0,0.558984
ERR2172456,1.0,0.55936176
ERR2172457,1.0,0.5587337
ERR2172458,1.0,0.55971235
ERR2172459,1.0,0.5563226
ERR2172460,1.0,0.5605731
ERR2172461,1.0,0.5580767
ERR2172462,1.0,0.553668
ERR2172463,1.0,0.5479808
ERR2172464,1.0,0.5525655
ERR2172465,1.0,0.55785453
ERR2172466,1.0,0.548074
ERR2172467,1.0,0.5450895
ERR2172468,1.0,0.55594856
ERR2172469,1.0,0.5508661
ERR2172470,1.0,0.5540497
ERR2172471,1.0,0.55270934
ERR2172472,1.0,0.5589001
ERR2172473,1.0,0.55623406
ERR2172474,1.0,0.5569893
ERR2172475,0.0,0.5469526
ERR2172476,0.0,0.5492693
ERR2172477,0.0,0.55205995
ERR2172478,0.0,0.55169165
ERR2172479,0.0,0.54949564
ERR2172480,0.0,0.551588
ERR2172481,0.0,0.54793537
ERR2172482,0.0,0.5504101
ERR2172483,0.0,0.54958427
ERR2172484,0.0,0.54968023
ERR2172485,0.0,0.55116
ERR2172487,0.0,0.5502979
ERR2172488,0.0,0.5551984
ERR2172490,0.0,0.552862
ERR2172491,0.0,0.551108
ERR2172492,0.0,0.5501524
ERR2172494,0.0,0.5519564
ERR2172496,0.0,0.55058473
ERR2172497,0.0,0.55333143
ERR2172498,0.0,0.55312794
ERR2172499,0.0,0.5524574
ERR2172500,0.0,0.55256546
ERR2172501,0.0,0.551924
ERR2172502,0.0,0.5522778
ERR2172503,0.0,0.5511625
ERR2172504,0.0,0.55299175
ERR2172505,0.0,0.55029553
ERR2172506,0.0,0.5526923
ERR2172507,0.0,0.5579821
ERR2172508,0.0,0.55671906
ERR2172509,0.0,0.5534365
ERR2172510,0.0,0.55448323
ERR2172511,0.0,0.5544434
ERR2172512,0.0,0.55227846
ERR2172513,0.0,0.5576874
ERR2172514,0.0,0.5513398
ERR2172515,0.0,0.55238307
ERR2172516,0.0,0.55219626
ERR2172517,0.0,0.5557352
ERR2172518,0.0,0.55153966
ERR2172519,0.0,0.55404365
ERR2172520,0.0,0.55381674
ERR2172522,0.0,0.55327153
ERR2172524,0.0,0.5524682
ERR2172525,0.0,0.5626496
ERR2172526,0.0,0.5530491
ERR2172527,0.0,0.5601582
ERR2172528,0.0,0.5675644
ERR2172531,0.0,0.5677748
ERR2172532,0.0,0.5569712
ERR2172533,0.0,0.55088896
ERR2172535,0.0,0.5530232
ERR2172536,0.0,0.5548057
ERR2172537,0.0,0.5564612
ERR2172539,0.0,0.5523631
ERR2172540,0.0,0.555098
ERR2172541,0.0,0.5552385
ERR2172542,0.0,0.55494666
ERR2172543,0.0,0.5511332
ERR2172544,0.0,0.5548919
ERR2172545,0.0,0.56061864
ERR2172546,0.0,0.558913
ERR2172548,1.0,0.55571043
ERR2172549,1.0,0.5675541
ERR2172550,1.0,0.5664061
ERR2172553,1.0,0.5707173
ERR2172554,1.0,0.5682633
ERR2172555,1.0,0.56753796
ERR2172558,1.0,0.56603634
ERR2172559,1.0,0.56567925
ERR2172562,1.0,0.56716686
ERR2172563,1.0,0.5656123
ERR2172565,1.0,0.5680347
ERR2172566,1.0,0.5707036
ERR2172567,1.0,0.5488318
ERR2172568,1.0,0.5634099
ERR2172569,1.0,0.56953675
ERR2172570,1.0,0.5661601
ERR2172571,1.0,0.56798786
ERR2172572,1.0,0.5666172
ERR2172573,1.0,0.5667229
ERR2172575,1.0,0.56600857
ERR2172576,1.0,0.563606
ERR2172577,1.0,0.5647224
ERR2172578,1.0,0.5659792
ERR2172579,1.0,0.5581104
ERR2172580,1.0,0.5672491
ERR2172581,1.0,0.5637758
ERR2172582,1.0,0.56652445
ERR2172583,1.0,0.55789953
ERR2172584,1.0,0.56509787
ERR2172585,1.0,0.5630692
ERR2172586,1.0,0.5562231
ERR2172587,1.0,0.5660309
ERR2172589,1.0,0.568495
ERR2172590,1.0,0.5647923
ERR2172591,1.0,0.5646875
ERR2172592,1.0,0.5690392
ERR2172593,1.0,0.5672153
ERR2172595,1.0,0.56020623
ERR2172596,1.0,0.5637758
ERR2172597,1.0,0.5655176
ERR2172598,1.0,0.56421137
ERR2172599,1.0,0.5679152
ERR2172600,1.0,0.5650968
ERR2172601,1.0,0.5639908
ERR2172602,1.0,0.5641065
ERR2172603,1.0,0.563995
ERR2172604,1.0,0.5644909
ERR2172605,0.0,0.5396933
ERR2172606,0.0,0.53869504
ERR2172607,0.0,0.5375504
ERR2172609,0.0,0.54136705
ERR2172610,0.0,0.5387208
ERR2172611,0.0,0.5395937
ERR2172612,0.0,0.54064953
ERR2172613,0.0,0.5395992
ERR2172614,0.0,0.538619
ERR2172615,0.0,0.53854984
ERR2172616,0.0,0.5382601
ERR2172617,0.0,0.53813195
ERR2172618,0.0,0.5367509
ERR2172619,0.0,0.5474299
ERR2172620,0.0,0.5386941
ERR2172621,0.0,0.53869313
ERR2172622,0.0,0.5377854
ERR2172623,0.0,0.5403753
ERR2172624,0.0,0.541983
ERR2172625,0.0,0.5425774
ERR2172626,0.0,0.53964454
ERR2172628,0.0,0.5376654
ERR2172629,0.0,0.54026616
ERR2172631,0.0,0.541167
ERR2172632,0.0,0.54034674
ERR2172633,0.0,0.5385002
ERR2172634,0.0,0.5482637
ERR2172635,0.0,0.5413901
ERR2172636,0.0,0.5399313
ERR2172637,0.0,0.5377734
ERR2172638,0.0,0.5394826
ERR2172639,0.0,0.5396598
ERR2172641,0.0,0.53744936
ERR2172642,0.0,0.5380982
ERR2172643,0.0,0.53884006
ERR2172644,0.0,0.5392403
ERR2172646,0.0,0.539988
ERR2172647,0.0,0.54025316
ERR2172649,0.0,0.54004294
ERR2172650,0.0,0.5417114
ERR2172651,0.0,0.5608925
ERR2172652,0.0,0.5398236
ERR2172653,0.0,0.54075116
ERR2172654,0.0,0.5428378
ERR2172655,0.0,0.54240805
ERR2172656,0.0,0.5390245
ERR2172657,0.0,0.5386243
ERR2172658,0.0,0.54091114
ERR2172659,0.0,0.5391884
ERR2172660,0.0,0.5382696
ERR2172661,0.0,0.54239684
ERR2172662,0.0,0.5596803
ERR2172663,0.0,0.5529019
ERR2172664,0.0,0.5551403
ERR2172665,0.0,0.5559387
ERR2172666,0.0,0.5600845
ERR2172667,0.0,0.55927604
ERR2172668,0.0,0.5564748
ERR2172669,0.0,0.55795
ERR2172670,0.0,0.5557931
ERR2172671,0.0,0.557066
ERR2172672,0.0,0.5537098
ERR2172673,0.0,0.5580432
ERR2172674,0.0,0.55643153
ERR2172675,0.0,0.55434704
ERR2172676,0.0,0.55472857
ERR2172677,0.0,0.5617604
ERR2172678,0.0,0.5555405
ERR2172679,0.0,0.55272645
ERR2172680,0.0,0.55488557
ERR2172681,0.0,0.5560158
ERR2172682,0.0,0.55698866
ERR2172683,0.0,0.553727
ERR2172684,0.0,0.55233014
ERR2172685,0.0,0.5548858
ERR2172686,0.0,0.55661964
ERR2172687,0.0,0.5554999
ERR2172688,0.0,0.55555433
ERR2172689,0.0,0.5548595
ERR2172691,0.0,0.5546366
ERR2172692,0.0,0.55798495
ERR2172693,0.0,0.55643964
ERR2172694,0.0,0.55776143
ERR2172695,0.0,0.5553669
ERR2172696,0.0,0.5552523
ERR2172697,0.0,0.5586847
ERR2172699,0.0,0.55583036
ERR2172700,0.0,0.5553341
ERR2172701,0.0,0.5413784
ERR2172703,0.0,0.553627
ERR2172704,0.0,0.552985
ERR2172705,0.0,0.55480963
ERR2172706,0.0,0.55616534
ERR2172707,0.0,0.5535507
ERR2172708,0.0,0.5561509
ERR2172709,0.0,0.55492306
ERR2172710,0.0,0.5537387
ERR2172711,0.0,0.55495566
ERR2172712,0.0,0.55614007
ERR2172713,0.0,0.5556316
ERR2172714,0.0,0.5553696
ERR2172715,0.0,0.55301785
ERR2172716,0.0,0.555268
ERR2172717,0.0,0.5517748
ERR2172718,0.0,0.5566393
ERR2172719,0.0,0.55163044
ERR2172720,0.0,0.55120987
ERR2172721,0.0,0.5562791
ERR2172722,0.0,0.5572886
ERR2172723,0.0,0.556342
ERR2172725,0.0,0.55690193
ERR2172726,0.0,0.55732733
ERR2172727,0.0,0.55519474
ERR2172728,0.0,0.55547833
ERR2172729,0.0,0.55828387
ERR2172730,0.0,0.5567083
ERR2172731,0.0,0.5567459
ERR2172732,0.0,0.55598915
ERR2172733,0.0,0.55467016
ERR2172734,0.0,0.55752164
ERR2172735,0.0,0.5570938
ERR2172736,0.0,0.5451137
ERR2172737,0.0,0.55768776
