,query_gene,BiGG_gene,score
0,gene_0,STM_v1_0.STM0047,67
5,gene_5,STM_v1_0.STM0207,135
7,gene_7,STM_v1_0.STM0247,302
9,gene_9,STM_v1_0.STM0380,195
10,gene_10,STM_v1_0.STM0431,357
14,gene_14,STM_v1_0.STM0659,326
15,gene_15,STM_v1_0.STM0828,228
19,gene_19,STM_v1_0.STM0878,215
21,gene_21,STM_v1_0.STM0973,888
22,gene_22,STM_v1_0.STM0984,300
23,gene_23,STM_v1_0.STM1221,92
24,gene_24,STM_v1_0.STM1226,224
26,gene_26,STM_v1_0.STM1313,235
27,gene_27,STM_v1_0.STM1358,286
29,gene_29,STM_v1_0.STM1731,139
31,gene_31,STM_v1_0.STM1830,100
33,gene_33,STM_v1_0.STM2074,197
34,gene_34,STM_v1_0.STM2080,456
35,gene_35,STM_v1_0.STM2081,469
36,gene_36,STM_v1_0.STM2082,188
37,gene_37,STM_v1_0.STM2095,295
38,gene_38,STM_v1_0.STM2189,301
40,gene_40,STM_v1_0.STM2433,103
45,gene_45,STM_v1_0.STM2820,76
46,gene_46,STM_v1_0.STM2840,265
48,gene_48,STM_v1_0.STM3002,86
49,gene_49,STM_v1_0.STM3051,632
51,gene_51,STM_v1_0.STM3190,81
52,gene_52,STM_v1_0.STM3247,252
53,gene_53,STM_v1_0.STM3253,228
61,gene_61,STM_v1_0.STM3506,296
62,gene_62,STM_v1_0.STM3561,248
64,gene_64,STM_v1_0.STM3629,202
68,gene_68,STM_v1_0.STM3725,145
71,gene_71,STM_v1_0.STM3915,96
72,gene_72,STM_v1_0.STM3972,176
73,gene_73,STM_v1_0.STM4062,342
74,gene_74,STM_v1_0.STM4086,579
75,gene_75,STM_v1_0.STM4166,68
76,gene_76,STM_v1_0.STM4230,233
77,gene_77,STM_v1_0.STM4385,99
83,gene_84,iAF692.Mbar_A0171,43
85,gene_86,iAF692.Mbar_A0219,109
87,gene_88,iAF692.Mbar_A0232,96
88,gene_89,iAF692.Mbar_A0291,124
90,gene_91,iAF692.Mbar_A0352,59
91,gene_92,iAF692.Mbar_A0384,86
92,gene_93,iAF692.Mbar_A0385,514
93,gene_94,iAF692.Mbar_A0386,577
95,gene_96,iAF692.Mbar_A0391,53
96,gene_97,iAF692.Mbar_A0408,83
97,gene_98,iAF692.Mbar_A0500,595
98,gene_99,iAF692.Mbar_A0541,248
100,gene_101,iAF692.Mbar_A0742,60
101,gene_102,iAF692.Mbar_A0883,301
103,gene_104,iAF692.Mbar_A1121,48
104,gene_105,iAF692.Mbar_A1138,59
105,gene_106,iAF692.Mbar_A1238,82
106,gene_107,iAF692.Mbar_A1305,114
108,gene_109,iAF692.Mbar_A1414,45
109,gene_110,iAF692.Mbar_A1452,58
110,gene_111,iAF692.Mbar_A1778,89
111,gene_112,iAF692.Mbar_A1781,350
113,gene_114,iAF692.Mbar_A2020,52
114,gene_115,iAF692.Mbar_A2179,182
115,gene_116,iAF692.Mbar_A2261,201
116,gene_117,iAF692.Mbar_A2262,145
117,gene_118,iAF692.Mbar_A2310,53
123,gene_124,iAF692.Mbar_A3353,283
125,gene_126,iAF692.Mbar_A3463,430
129,gene_130,iAF987.Gmet_0043,98
130,gene_131,iAF987.Gmet_0059,181
131,gene_132,iAF987.Gmet_0067,181
132,gene_133,iAF987.Gmet_0069,105
136,gene_137,iAF987.Gmet_0354,130
138,gene_139,iAF987.Gmet_0406,282
139,gene_140,iAF987.Gmet_0407,296
141,gene_142,iAF987.Gmet_0602,374
142,gene_143,iAF987.Gmet_0604,341
143,gene_144,iAF987.Gmet_0662,43
144,gene_145,iAF987.Gmet_0684,253
146,gene_147,iAF987.Gmet_0700,250
147,gene_148,iAF987.Gmet_0782,220
148,gene_149,iAF987.Gmet_0819,498
152,gene_153,iAF987.Gmet_0987,187
154,gene_155,iAF987.Gmet_1162,278
155,gene_156,iAF987.Gmet_1168,120
156,gene_157,iAF987.Gmet_1179,70
157,gene_158,iAF987.Gmet_1186,561
158,gene_159,iAF987.Gmet_1188,48
162,gene_163,iAF987.Gmet_1252,278
163,gene_164,iAF987.Gmet_1254,234
169,gene_170,iAF987.Gmet_1290,379
172,gene_173,iAF987.Gmet_1354,490
173,gene_174,iAF987.Gmet_1357,590
175,gene_176,iAF987.Gmet_1411,598
177,gene_178,iAF987.Gmet_1601,168
178,gene_179,iAF987.Gmet_1605,530
180,gene_181,iAF987.Gmet_1671,234
181,gene_182,iAF987.Gmet_1676,558
182,gene_183,iAF987.Gmet_1706,80
183,gene_184,iAF987.Gmet_1755,35
186,gene_187,iAF987.Gmet_1819,253
188,gene_189,iAF987.Gmet_1888,117
189,gene_190,iAF987.Gmet_1903,112
190,gene_191,iAF987.Gmet_1914,78
192,gene_193,iAF987.Gmet_1919,73
193,gene_194,iAF987.Gmet_1935,196
194,gene_195,iAF987.Gmet_1991,57
195,gene_196,iAF987.Gmet_2066,261
196,gene_197,iAF987.Gmet_2257,265
197,gene_198,iAF987.Gmet_2349,308
199,gene_200,iAF987.Gmet_2372,580
201,gene_202,iAF987.Gmet_2391,340
203,gene_204,iAF987.Gmet_2444,57
207,gene_208,iAF987.Gmet_2619,322
208,gene_209,iAF987.Gmet_2629,209
209,gene_210,iAF987.Gmet_2634,204
210,gene_211,iAF987.Gmet_2673,359
212,gene_213,iAF987.Gmet_2731,110
213,gene_214,iAF987.Gmet_2812,101
214,gene_215,iAF987.Gmet_2848,321
216,gene_217,iAF987.Gmet_2903,149
218,gene_219,iAF987.Gmet_2908,252
219,gene_220,iAF987.Gmet_2999,72
220,gene_221,iAF987.Gmet_3072,328
221,gene_222,iAF987.Gmet_3085,225
222,gene_223,iAF987.Gmet_3171,73
224,gene_225,iAF987.Gmet_3241,42
225,gene_226,iAF987.Gmet_3243,293
226,gene_227,iAF987.Gmet_3259,174
227,gene_228,iAF987.Gmet_3260,405
228,gene_229,iAF987.Gmet_3406,640
229,gene_230,iAF987.Gmet_3408,652
230,gene_231,iAF987.Gmet_3529,103
233,gene_234,iAM_Pb448.PBANKA_083310,191
234,gene_235,iAM_Pb448.PBANKA_083440,71
235,gene_236,iAM_Pb448.PBANKA_100380,512
236,gene_237,iAM_Pb448.PBANKA_122380,55
237,gene_238,iAM_Pb448.PBANKA_131810,248
238,gene_239,iAM_Pb448.PBANKA_143510,170
239,gene_240,iAM_Pb448.PBANKA_145350,91
245,gene_246,iAM_Pc455.PCYB_073980,166
246,gene_247,iAM_Pc455.PCYB_074100,67
247,gene_248,iAM_Pc455.PCYB_113330,99
249,gene_250,iAM_Pc455.PCYB_126090,249
250,gene_251,iAM_Pc455.PCYB_144570,182
251,gene_252,iAM_Pf480.PF3D7_0406100,511
257,gene_258,iAM_Pf480.PF3D7_1239000,106
258,gene_259,iAM_Pf480.PF3D7_1454400,241
259,gene_260,iAM_Pv461.PVX_000935,496
260,gene_261,iAM_Pv461.PVX_001880,47
262,gene_263,iAM_Pv461.PVX_085660,116
263,gene_264,iAM_Pv461.PVX_087035,68
264,gene_265,iAM_Pv461.PVX_087090,176
265,gene_266,iAM_Pv461.PVX_088205,56
267,gene_268,iAM_Pv461.PVX_099525,356
268,gene_269,iAM_Pv461.PVX_100900,92
270,gene_271,iAM_Pv461.PVX_117760,234
271,gene_272,iAM_Pv461.PVX_123635,182
272,gene_273,iAT_PLT_636.4905,131
275,gene_276,iAT_PLT_636.6539,133
278,gene_279,iCHOv1.100751291,79
279,gene_280,iCHOv1.100751791,184
282,gene_283,iCHOv1.100752445,140
283,gene_284,iCHOv1.100753544,108
284,gene_285,iCHOv1.100754017,94
285,gene_286,iCHOv1.100754792,410
287,gene_288,iCHOv1.100755966,209
288,gene_289,iCHOv1.100756094,510
290,gene_291,iCHOv1.100758089,350
291,gene_292,iCHOv1.100760370,136
292,gene_293,iCHOv1.100760573,52
293,gene_294,iCHOv1.100761226,100
295,gene_296,iCHOv1.100763024,615
296,gene_297,iCHOv1.100765478,130
297,gene_298,iCHOv1.100769585,45
300,gene_301,iCHOv1.100770033,109
302,gene_303,iCHOv1.100772070,208
303,gene_304,iCHOv1.100773599,91
304,gene_305,iCHOv1.100774665,519
305,gene_306,iCN718.ABAYE_RS00870,79
306,gene_307,iCN718.ABAYE_RS03670,77
307,gene_308,iCN718.ABAYE_RS04050,292
308,gene_309,iCN718.ABAYE_RS04335,265
309,gene_310,iCN718.ABAYE_RS04620,579
311,gene_312,iCN718.ABAYE_RS05140,217
315,gene_316,iCN718.ABAYE_RS11225,85
316,gene_317,iCN718.ABAYE_RS11715,358
317,gene_318,iCN718.ABAYE_RS12870,53
319,gene_320,iCN718.ABAYE_RS13345,58
320,gene_321,iCN718.ABAYE_RS13845,63
323,gene_324,iCN718.ABAYE_RS14710,160
326,gene_327,iCN718.ABAYE_RS17030,171
330,gene_331,iCN718.ABAYE_RS18875,325
331,gene_332,iCN718.ABAYE_RS19210,165
334,gene_335,iCN900.CD630_00430,267
336,gene_337,iCN900.CD630_00480,196
337,gene_338,iCN900.CD630_00490,542
338,gene_339,iCN900.CD630_00520,355
339,gene_340,iCN900.CD630_00910,229
340,gene_341,iCN900.CD630_01000,219
341,gene_342,iCN900.CD630_01010,245
342,gene_343,iCN900.CD630_01020,180
346,gene_347,iCN900.CD630_01200,78
347,gene_348,iCN900.CD630_01280,145
348,gene_349,iCN900.CD630_01300,538
349,gene_350,iCN900.CD630_01350,77
350,gene_351,iCN900.CD630_01360,121
351,gene_352,iCN900.CD630_01370,216
354,gene_355,iCN900.CD630_02200,186
356,gene_357,iCN900.CD630_02250,1209
357,gene_358,iCN900.CD630_02840,77
358,gene_359,iCN900.CD630_02870,138
359,gene_360,iCN900.CD630_02880,208
360,gene_361,iCN900.CD630_02890,219
362,gene_363,iCN900.CD630_03130,678
363,gene_364,iCN900.CD630_03880,237
364,gene_365,iCN900.CD630_03890,634
365,gene_366,iCN900.CD630_03960,115
366,gene_367,iCN900.CD630_04050,195
367,gene_368,iCN900.CD630_04300,84
368,gene_369,iCN900.CD630_04310,345
370,gene_371,iCN900.CD630_04910,102
372,gene_373,iCN900.CD630_04930,90
373,gene_374,iCN900.CD630_04940,176
374,gene_375,iCN900.CD630_05570,371
375,gene_376,iCN900.CD630_05740,655
377,gene_378,iCN900.CD630_06960,302
378,gene_379,iCN900.CD630_06970,169
380,gene_381,iCN900.CD630_07180,664
381,gene_382,iCN900.CD630_07520,261
382,gene_383,iCN900.CD630_07530,224
383,gene_384,iCN900.CD630_07540,314
384,gene_385,iCN900.CD630_07590,955
385,gene_386,iCN900.CD630_08000,247
386,gene_387,iCN900.CD630_08160,256
387,gene_388,iCN900.CD630_08180,256
388,gene_389,iCN900.CD630_08330,734
389,gene_390,iCN900.CD630_08340,332
392,gene_393,iCN900.CD630_08720,143
393,gene_394,iCN900.CD630_08820,385
394,gene_395,iCN900.CD630_08840,414
395,gene_396,iCN900.CD630_08850,749
396,gene_397,iCN900.CD630_08930,306
397,gene_398,iCN900.CD630_08940,308
398,gene_399,iCN900.CD630_09000,381
404,gene_405,iCN900.CD630_10000,108
405,gene_406,iCN900.CD630_10050,459
406,gene_407,iCN900.CD630_10100,133
407,gene_408,iCN900.CD630_10110,217
408,gene_409,iCN900.CD630_10240,414
409,gene_410,iCN900.CD630_10250,265
410,gene_411,iCN900.CD630_10260,227
411,gene_412,iCN900.CD630_10270,217
412,gene_413,iCN900.CD630_10540,547
413,gene_414,iCN900.CD630_10550,253
414,gene_415,iCN900.CD630_10560,273
415,gene_416,iCN900.CD630_10570,236
