,query_gene,BiGG_gene,score
0,gene_0,STM_v1_0.STM0042,236
1,gene_1,STM_v1_0.STM0051,249
2,gene_2,STM_v1_0.STM0101,271
3,gene_3,STM_v1_0.STM0137,48
4,gene_4,STM_v1_0.STM0192,92
6,gene_6,STM_v1_0.STM0207,159
7,gene_7,STM_v1_0.STM0380,217
8,gene_8,STM_v1_0.STM0416,159
9,gene_9,STM_v1_0.STM0423,137
11,gene_11,STM_v1_0.STM0534,166
12,gene_12,STM_v1_0.STM0542,199
13,gene_13,STM_v1_0.STM0659,259
14,gene_14,STM_v1_0.STM0661,135
15,gene_15,STM_v1_0.STM0705,524
16,gene_16,STM_v1_0.STM0706,416
17,gene_17,STM_v1_0.STM0757,57
18,gene_18,STM_v1_0.STM0772,256
19,gene_19,STM_v1_0.STM0773,129
20,gene_20,STM_v1_0.STM0828,206
21,gene_21,STM_v1_0.STM0842,116
22,gene_22,STM_v1_0.STM0848,242
23,gene_23,STM_v1_0.STM0878,93
24,gene_24,STM_v1_0.STM0887,106
25,gene_25,STM_v1_0.STM0984,233
26,gene_26,STM_v1_0.STM1196,60
27,gene_27,STM_v1_0.STM1221,84
28,gene_28,STM_v1_0.STM1226,94
29,gene_29,STM_v1_0.STM1235,48
30,gene_30,STM_v1_0.STM1310,300
31,gene_31,STM_v1_0.STM1313,49
32,gene_32,STM_v1_0.STM1359,149
33,gene_33,STM_v1_0.STM1710,42
34,gene_34,STM_v1_0.STM1742,237
35,gene_35,STM_v1_0.STM1954,112
37,gene_37,STM_v1_0.STM2082,173
38,gene_38,STM_v1_0.STM2095,385
39,gene_39,STM_v1_0.STM2167,498
40,gene_40,STM_v1_0.STM2188,58
41,gene_41,STM_v1_0.STM2189,299
42,gene_42,STM_v1_0.STM2200,520
43,gene_43,STM_v1_0.STM2351,77
44,gene_44,STM_v1_0.STM2355,105
45,gene_45,STM_v1_0.STM2441,79
46,gene_46,STM_v1_0.STM2573,277
47,gene_47,STM_v1_0.STM2774,202
